first_author,year,Journal,country,total_sample,hc_mean_age(sd),hc_smaple,patients_sample,hc_female,patients_female,patient_mean_age(sd),Disease_criteria,group_disorder_name,Comorbidity,meditation,scale_1,scale_2,scale_3,scale_4,scale_5
Holt,2011,Biological Psychiatry,USA,35,40(12.5）,17,18,6,6,35.9(13.7),DSM-IV,schizophrenia,NA,"clozapine(n=5),risperidone(n=1),olanzapine(n=2),quetiapine(n=3),aripirazole(n=5)",Positive and Negative Syndrome Scale,NA,NA,NA,NA
Belleau,2014,SCAN,USA,32,31.13(10.7),16,16,8,11,33.19(11.49),DSM-IV,depressive disorder,"social phobia(n=2),social and specific phobias(n=2),generalized anxiety disorder(n=2),generalized anxiety disorder and social phobia(n=2),generalized anxiety disorder and panic disorder(n=1),posttraumatic stress disorder(n=1),specific phobia(n=1),anxiety disorder not otherwise specified(n=1)","duloxetine hydrochloride/Cymbalta(n=2),bupropion hydrochloride/Wellbutrin XL(n=1),bupropion hydrochloride and fluoxetine hydrochloride/Prozac(n=1),risperidone/Risperdal(n=1)",Beck Depression Inventory-II, the rumination subscale of the Response Styles Questionnaire,NA,NA,NA
Kennedy,2008,SCAN,USA,25,27.5(10.9）,12,13,0,0,26.9(12.3）,ADOS,autism spectrum disorder,NA,NA,the Autism Diagnostic Interview-Revised,Autism Diagnostic Observation Schedule,Wechsler Adult Intelligence Scale (WAIS) or WAIS-R (Revised),NA,NA
Beeney,2016,Personal Disorder,USA,38,33.33(9.81),21,17,21,17,35.51(10.84),DSM-IV-TR,borderline personality disorder,"mood disorders(n=7),anxiety disorders(n=6),Post-Traumatic Stress Disorder(n=4),alcohol-related disorders(n=4),somatoform or eating disorders(n=3)","antidepressants(n=7),antipsychotics(n=4),mood stabilizers(n=5),anxiolytics(n=3)","McLean Screening
Instrument for Borderline Personality Disorder",Differentiation of Self Inventory,NA,NA,NA
Hur,2021,JMIR Ment Health,China,47,23.95(3.5）,22,25,10,10,23.04(3.35）,DSM-IV,social anxiety disorder,NA,NA,the Social Avoidance and Distress Scale,NA,NA,NA,NA
Brown,2019,Psychiatry Res Neuroimaging,USA,64,29.1(7.4）,13,51,8,24,27.3(6.00）,DSM-IV,social anxiety disorder,NA,"Current medications for emotional problem(n=8),Previous medications for emotional problem(n=23)",Liebowitz Social Anxiety Scale-Self Report Version,NA,NA,NA,NA
Pujol,2012,Psychological Medicine (2013),Spain,40,24.4(5.6),20,20,14,15,24.2(5.2),DSM-IV-TR,social anxiety disorder,NA,NA,Mini International Neuropsychiatric Interview,Leibowitz Social Anxiety Scale,STAI-S,State anxiety VAS,HAMD-17
Leménager,2014,Addict Behav,Germany,33,24.94(7.72),17,16,4,2,28.25(7.72),DSM-IV,Internet gaming disorder,NA,NA,the Assessment of Internet and Computer game Addiction ,NA,NA,NA,NA
Komeda,2015,SCAN,Japan,30,26.1(5.2）,15,15,2,1,26.7(5.8）,DSM-IV-TR,autism spectrum disorder ,"Asperger’s disorder(n=3),autistic disorder(n=12)",NA,Wechsler Adult Intelligence Scale III,the AutismSpectrum Quotient,NA,NA,NA
Bach,2021,European Archives of Psychiatry and Clinical Neuroscience,Germany,40,21.14(2.33）,29,11,0,0,21.45(3.05）,DSM-IV,Internet gaming disorder,NA,NA,the Rosenberg Self-Esteem Scale,the Scale for Social Anxiety and Social Competence Deficits,the Emotional Competence Questionnaire,the Empathy Quotient,the Assessment of Internet and Computer game Addiction-Checklist
Fuentes-Claramonte,2020,NeuroImage: Clinical,Spain,50,38.74(10.2),27,23,10,7,37(8.06),DSM-IV-TR,schizophrenia,NA,"chlorpromazine equivalent,daily dose in mg:498.77(490.27)",Positive and Negative Syndrome Scale (PANSS),The Clinical Global Impressions Scale,NA,NA,NA
Furuichi,2019,Asian Journal of Psychiatry,Japan,28,27.5(4.3),15,13,7,7,27(5.3),ICD-10,schizophrenia,NA,haloperidol equivalent,the Scale for the Assessment of Negative and Positive Symptoms ,NA,NA,NA,NA
