feature,r
terms_abstract_tfidf__action,-0.06222663970344664
terms_abstract_tfidf__adaptation,-0.0355622621949758
terms_abstract_tfidf__addiction,0.07464280319919323
terms_abstract_tfidf__anticipation,0.07575915157273093
terms_abstract_tfidf__anxiety,0.057178828160038254
terms_abstract_tfidf__arousal,0.09334212188144121
terms_abstract_tfidf__association,0.03200466958135989
terms_abstract_tfidf__attention,-0.054441649714007834
terms_abstract_tfidf__attribution,0.07520329914441536
terms_abstract_tfidf__autobiographical memory,0.0699992168051489
terms_abstract_tfidf__awareness,-0.011240619279426777
terms_abstract_tfidf__balance,0.029252136388126442
terms_abstract_tfidf__belief,0.08594642994850289
terms_abstract_tfidf__categorization,-0.05770315961675124
terms_abstract_tfidf__cognitive control,-0.0076948109582385535
terms_abstract_tfidf__communication,0.1290313934964688
terms_abstract_tfidf__competition,0.0016616607695524818
terms_abstract_tfidf__concept,0.038186990590423645
terms_abstract_tfidf__consciousness,-0.04368583922483947
terms_abstract_tfidf__consolidation,0.035276150734517536
terms_abstract_tfidf__context,0.1009242973965513
terms_abstract_tfidf__coordination,-0.08316850772394313
terms_abstract_tfidf__decision,0.028250402119741093
terms_abstract_tfidf__decision making,0.04436180976883853
terms_abstract_tfidf__demand,-0.08386115575401858
terms_abstract_tfidf__detection,-0.035149582245654384
terms_abstract_tfidf__discrimination,-0.0698497674913129
terms_abstract_tfidf__distraction,-0.026157619011958212
terms_abstract_tfidf__dyslexia,-0.024400467262194067
terms_abstract_tfidf__eating,0.08075963132059726
terms_abstract_tfidf__efficiency,-0.0067947475023941405
terms_abstract_tfidf__effort,-0.000549381894515881
terms_abstract_tfidf__emotion,0.1325229015604429
terms_abstract_tfidf__emotion regulation,0.0731080644332136
terms_abstract_tfidf__empathy,0.014093911190384497
terms_abstract_tfidf__encoding,0.014393298374140944
terms_abstract_tfidf__episodic memory,0.019329897528540328
terms_abstract_tfidf__expectancy,0.00642360757895806
terms_abstract_tfidf__expertise,-0.00038821635715157945
terms_abstract_tfidf__extinction,0.07527667945014539
terms_abstract_tfidf__face recognition,0.010694346275063178
terms_abstract_tfidf__facial expression,0.06733851275967134
terms_abstract_tfidf__familiarity,-0.0037574290083385634
terms_abstract_tfidf__fear,0.07657824627155464
terms_abstract_tfidf__fixation,-0.01738376073839605
terms_abstract_tfidf__focus,-0.015459072913245903
terms_abstract_tfidf__gaze,0.03948865569959935
terms_abstract_tfidf__goal,-0.011901275408737666
terms_abstract_tfidf__hyperactivity,0.017126040198450626
terms_abstract_tfidf__imagery,-0.087601493798833
terms_abstract_tfidf__impulsivity,0.056668966262299246
terms_abstract_tfidf__induction,0.058557211740408566
terms_abstract_tfidf__inference,0.01078777141628977
terms_abstract_tfidf__inhibition,-0.009117927061184165
terms_abstract_tfidf__insight,-0.004913211698935184
