feature,r
terms_abstract_tfidf__action,-0.007641032544445413
terms_abstract_tfidf__adaptation,-0.10496475104812987
terms_abstract_tfidf__addiction,0.022075257505147827
terms_abstract_tfidf__anticipation,0.05334509919449643
terms_abstract_tfidf__anxiety,0.04087643631353505
terms_abstract_tfidf__arousal,0.050321176727051865
terms_abstract_tfidf__association,0.06301224387937439
terms_abstract_tfidf__attention,0.10400689110989898
terms_abstract_tfidf__attribution,0.04156695701038711
terms_abstract_tfidf__autobiographical memory,0.10845065714221994
terms_abstract_tfidf__awareness,0.03445713937344593
terms_abstract_tfidf__balance,-0.020158781984658605
terms_abstract_tfidf__belief,0.13326173435173713
terms_abstract_tfidf__categorization,-0.03456888983405058
terms_abstract_tfidf__cognitive control,0.22748908957040687
terms_abstract_tfidf__communication,0.00930174125714106
terms_abstract_tfidf__competition,0.023251265765418416
terms_abstract_tfidf__concept,0.006880709881829967
terms_abstract_tfidf__consciousness,0.042736212596039824
terms_abstract_tfidf__consolidation,-0.003852809871320507
terms_abstract_tfidf__context,0.1295314547907625
terms_abstract_tfidf__coordination,-0.08929300698695423
terms_abstract_tfidf__decision,0.20673490654750876
terms_abstract_tfidf__decision making,0.18120182963411383
terms_abstract_tfidf__demand,0.22183786684962054
terms_abstract_tfidf__detection,-0.0238602955719119
terms_abstract_tfidf__discrimination,-0.04148840036458207
terms_abstract_tfidf__distraction,0.10758959072507325
terms_abstract_tfidf__dyslexia,-0.07214387769025185
terms_abstract_tfidf__eating,-0.02478761518383827
terms_abstract_tfidf__efficiency,0.09253916412656961
terms_abstract_tfidf__effort,0.055302453229573556
terms_abstract_tfidf__emotion,0.06885305400718346
terms_abstract_tfidf__emotion regulation,0.10087429527867742
terms_abstract_tfidf__empathy,0.0690826010833689
terms_abstract_tfidf__encoding,-0.026700440697718375
terms_abstract_tfidf__episodic memory,0.041465221051104124
terms_abstract_tfidf__expectancy,0.10312795627090471
terms_abstract_tfidf__expertise,-0.0436413782904871
terms_abstract_tfidf__extinction,0.051095316244531674
terms_abstract_tfidf__face recognition,-0.08148186204782092
terms_abstract_tfidf__facial expression,-0.08307188300121561
terms_abstract_tfidf__familiarity,0.09670249018414162
terms_abstract_tfidf__fear,-0.03286353214353468
terms_abstract_tfidf__fixation,-0.043009202159052635
terms_abstract_tfidf__focus,0.05477331837344428
terms_abstract_tfidf__gaze,-0.10713831320402842
terms_abstract_tfidf__goal,0.1052583404691429
terms_abstract_tfidf__hyperactivity,0.03831293305802055
terms_abstract_tfidf__imagery,-0.07351982513475609
terms_abstract_tfidf__impulsivity,0.10639427197738853
terms_abstract_tfidf__induction,0.02301598107558833
terms_abstract_tfidf__inference,0.09466642303117506
terms_abstract_tfidf__inhibition,0.1257637088384483
terms_abstract_tfidf__insight,-0.007628701017774585
terms_abstract_tfidf__integration,-0.03436154050073179
terms_abstract_tfidf__intelligence,0.011249938130510692
terms_abstract_tfidf__intention,0.10702157218003006
terms_abstract_tfidf__interference,0.09584299514387469
terms_abstract_tfidf__judgment,0.157776166958034
terms_abstract_tfidf__knowledge,0.048042643934443865
terms_abstract_tfidf__language,0.008978436429264203
terms_abstract_tfidf__language comprehension,0.01563473995001546
terms_abstract_tfidf__learning,-0.02253021592753977
terms_abstract_tfidf__listening,0.03000934305066927
terms_abstract_tfidf__localization,-0.11883874017424846
terms_abstract_tfidf__loss,-0.029342034803035502
terms_abstract_tfidf__maintenance,0.09228699185997845
terms_abstract_tfidf__manipulation,0.08856241062033961
terms_abstract_tfidf__meaning,0.07269300139684538
terms_abstract_tfidf__memory,0.1177178295437679
terms_abstract_tfidf__memory retrieval,0.18802153492178666
terms_abstract_tfidf__mental imagery,-0.01660256976766741
terms_abstract_tfidf__monitoring,0.21453312298081464
terms_abstract_tfidf__mood,0.03308268028314768
terms_abstract_tfidf__morphology,-0.1319835052404407
terms_abstract_tfidf__motor control,-0.10627935240933228
terms_abstract_tfidf__movement,-0.13281783602337136
terms_abstract_tfidf__multisensory,-0.0820835148064724
terms_abstract_tfidf__naming,-0.09589351027142605
terms_abstract_tfidf__navigation,-0.06573873606252499
terms_abstract_tfidf__object recognition,-0.11878017438058408
terms_abstract_tfidf__pain,-0.027792284555757656
terms_abstract_tfidf__passive viewing,-0.08776202979067806
terms_abstract_tfidf__perception,-0.13165558185838788
terms_abstract_tfidf__planning,-0.019217995912517223
terms_abstract_tfidf__priming,0.028906821663068336
terms_abstract_tfidf__psychosis,0.04748628724696207
terms_abstract_tfidf__reaction time,0.058718048204880136
terms_abstract_tfidf__reading,-0.011855391241488902
terms_abstract_tfidf__reasoning,0.1360631445121931
terms_abstract_tfidf__recall,0.11497890423066438
terms_abstract_tfidf__recognition,0.021397339286378315
terms_abstract_tfidf__rehearsal,-0.03872866585756461
terms_abstract_tfidf__reinforcement learning,0.07486404439085151
terms_abstract_tfidf__response inhibition,0.1671706555497983
terms_abstract_tfidf__response selection,0.10613878704185253
terms_abstract_tfidf__retention,0.03390078827598267
terms_abstract_tfidf__retrieval,0.1611618685762907
terms_abstract_tfidf__reward anticipation,0.02287545024623076
terms_abstract_tfidf__rhythm,-0.14325313470529377
terms_abstract_tfidf__risk,0.08134545656685045
terms_abstract_tfidf__risk taking,0.13164064365686343
terms_abstract_tfidf__rule,0.09498742891921906
terms_abstract_tfidf__salience,0.06971525969543589
terms_abstract_tfidf__search,0.06412400036755225
terms_abstract_tfidf__selective attention,0.036636647244624315
terms_abstract_tfidf__semantic memory,0.04104663897634979
terms_abstract_tfidf__sentence comprehension,0.10489080615371935
terms_abstract_tfidf__skill,0.0025229261337903403
terms_abstract_tfidf__sleep,-0.09381563085042902
terms_abstract_tfidf__social cognition,0.1257104325947452
terms_abstract_tfidf__spatial attention,0.009252882176387117
terms_abstract_tfidf__speech perception,-0.014611369262043388
terms_abstract_tfidf__speech production,-0.06421928042652324
terms_abstract_tfidf__strategy,0.06766115869638747
terms_abstract_tfidf__strength,-0.024179908466007413
terms_abstract_tfidf__stress,-0.035761271474950986
terms_abstract_tfidf__stroop task,0.14196530743818994
terms_abstract_tfidf__sustained attention,-0.008727527083512657
terms_abstract_tfidf__task difficulty,0.1362798716864669
terms_abstract_tfidf__thought,0.03739757017018266
terms_abstract_tfidf__timing,-0.11568230913138201
terms_abstract_tfidf__transition,-0.018934963083193482
terms_abstract_tfidf__uncertainty,0.07036485091563562
terms_abstract_tfidf__updating,0.04625693113620308
terms_abstract_tfidf__utility,0.0012617279688541317
terms_abstract_tfidf__valence,0.08323532587988614
terms_abstract_tfidf__verbal fluency,0.04880571193484479
terms_abstract_tfidf__visual attention,-0.01473425659486208
terms_abstract_tfidf__visual perception,-0.03984027964154388
terms_abstract_tfidf__word recognition,0.009110553160736692
terms_abstract_tfidf__working memory,0.10538524657535117
