feature,r
terms_abstract_tfidf__action,-0.021126025676205026
terms_abstract_tfidf__adaptation,-0.10398640796842688
terms_abstract_tfidf__addiction,0.07015998454230704
terms_abstract_tfidf__anticipation,0.12803911810259638
terms_abstract_tfidf__anxiety,0.08843587347858113
terms_abstract_tfidf__arousal,0.05301692418970852
terms_abstract_tfidf__association,0.050073319536607465
terms_abstract_tfidf__attention,0.04163993157453987
terms_abstract_tfidf__attribution,0.025863174301173592
terms_abstract_tfidf__autobiographical memory,0.016639689837064296
terms_abstract_tfidf__awareness,0.06341007616866624
terms_abstract_tfidf__balance,-0.008517411209614112
terms_abstract_tfidf__belief,0.08487263601145668
terms_abstract_tfidf__categorization,-0.016181822599795725
terms_abstract_tfidf__cognitive control,0.1807314708895497
terms_abstract_tfidf__communication,0.023418223778535422
terms_abstract_tfidf__competition,0.03161944332250162
terms_abstract_tfidf__concept,-0.08593089446768121
terms_abstract_tfidf__consciousness,0.013301721253389864
terms_abstract_tfidf__consolidation,0.015533553244522238
terms_abstract_tfidf__context,0.12941105186685067
terms_abstract_tfidf__coordination,-0.047901865735783374
terms_abstract_tfidf__decision,0.1494388729474362
terms_abstract_tfidf__decision making,0.13860238912174241
terms_abstract_tfidf__demand,0.1282555282393888
terms_abstract_tfidf__detection,0.0021953831119953713
terms_abstract_tfidf__discrimination,-0.008696013390516693
terms_abstract_tfidf__distraction,0.1153936357819859
terms_abstract_tfidf__dyslexia,-0.05238519088949389
terms_abstract_tfidf__eating,-0.0034051728555431204
terms_abstract_tfidf__efficiency,0.03281473147721268
terms_abstract_tfidf__effort,0.03742718442307223
terms_abstract_tfidf__emotion,0.08625874754203464
terms_abstract_tfidf__emotion regulation,0.0820506518220838
terms_abstract_tfidf__empathy,0.08429464858036129
terms_abstract_tfidf__encoding,-0.032381624947774745
terms_abstract_tfidf__episodic memory,-0.02277609786506305
terms_abstract_tfidf__expectancy,0.11960197835427082
terms_abstract_tfidf__expertise,-0.11224643949763483
terms_abstract_tfidf__extinction,0.09133254028675708
terms_abstract_tfidf__face recognition,-0.10885289596836165
terms_abstract_tfidf__facial expression,-0.01120893706024068
terms_abstract_tfidf__familiarity,-0.026169623340141335
terms_abstract_tfidf__fear,0.026518904072760134
terms_abstract_tfidf__fixation,-0.05598861282364956
terms_abstract_tfidf__focus,0.019605482281731302
terms_abstract_tfidf__gaze,-0.10094948174324848
terms_abstract_tfidf__goal,-0.008019091937478781
terms_abstract_tfidf__hyperactivity,0.049071698188170344
terms_abstract_tfidf__imagery,-0.06123301441628786
terms_abstract_tfidf__impulsivity,0.11545959774932836
terms_abstract_tfidf__induction,0.045674855698635344
terms_abstract_tfidf__inference,-0.01436676133049004
terms_abstract_tfidf__inhibition,0.1773755582320316
terms_abstract_tfidf__insight,-0.003856113544295359
terms_abstract_tfidf__integration,-0.026729450916472393
terms_abstract_tfidf__intelligence,-0.02998933512178661
terms_abstract_tfidf__intention,0.021354163103404454
terms_abstract_tfidf__interference,0.07436152217498422
terms_abstract_tfidf__judgment,0.024204326041216914
terms_abstract_tfidf__knowledge,-0.03346005899240888
terms_abstract_tfidf__language,0.02546682517367119
terms_abstract_tfidf__language comprehension,0.014300657356029893
terms_abstract_tfidf__learning,0.04148931783952903
terms_abstract_tfidf__listening,0.10206181736902033
terms_abstract_tfidf__localization,-0.07248100030489998
terms_abstract_tfidf__loss,0.041776240314909764
terms_abstract_tfidf__maintenance,0.07226047861567295
terms_abstract_tfidf__manipulation,0.031953776560717795
