feature,r
terms_abstract_tfidf__action,-0.06334778712161265
terms_abstract_tfidf__adaptation,-0.10915659406789067
terms_abstract_tfidf__addiction,0.010450700931479972
terms_abstract_tfidf__anticipation,-0.05450903406502294
terms_abstract_tfidf__anxiety,0.030943575846489872
terms_abstract_tfidf__arousal,0.07964667832020268
terms_abstract_tfidf__association,0.0872807627326208
terms_abstract_tfidf__attention,0.10113313681662713
terms_abstract_tfidf__attribution,0.09876754005409469
terms_abstract_tfidf__autobiographical memory,0.21838110538207872
terms_abstract_tfidf__awareness,-0.005445176638408079
terms_abstract_tfidf__balance,-0.035040275059528905
terms_abstract_tfidf__belief,0.17597886472722274
terms_abstract_tfidf__categorization,-0.06682283461428293
terms_abstract_tfidf__cognitive control,0.19650953444148606
terms_abstract_tfidf__communication,-0.027501878892066674
terms_abstract_tfidf__competition,0.001117023741480964
terms_abstract_tfidf__concept,0.1795324384183235
terms_abstract_tfidf__consciousness,0.07587412785151408
terms_abstract_tfidf__consolidation,-0.04260605705715129
terms_abstract_tfidf__context,0.07698170495925631
terms_abstract_tfidf__coordination,-0.14788004440697367
terms_abstract_tfidf__decision,0.21523965008445858
terms_abstract_tfidf__decision making,0.18438846296251538
terms_abstract_tfidf__demand,0.2135135807990442
terms_abstract_tfidf__detection,-0.09072097127243499
terms_abstract_tfidf__discrimination,-0.09231767728345065
terms_abstract_tfidf__distraction,0.048595590979820004
terms_abstract_tfidf__dyslexia,-0.0784843553408983
terms_abstract_tfidf__eating,-0.00509650900863575
terms_abstract_tfidf__efficiency,0.10496571880708486
terms_abstract_tfidf__effort,0.03582009030480522
terms_abstract_tfidf__emotion,0.08523109627438123
terms_abstract_tfidf__emotion regulation,0.12677314728141123
terms_abstract_tfidf__empathy,0.043518025253989394
terms_abstract_tfidf__encoding,-0.004186591147726465
terms_abstract_tfidf__episodic memory,0.16586407091842464
terms_abstract_tfidf__expectancy,0.03606187535925105
terms_abstract_tfidf__expertise,0.03780094075237601
terms_abstract_tfidf__extinction,0.008019175255018746
terms_abstract_tfidf__face recognition,-0.003462921969549736
terms_abstract_tfidf__facial expression,-0.1467347146878261
terms_abstract_tfidf__familiarity,0.192081604843291
terms_abstract_tfidf__fear,-0.051548161040926084
terms_abstract_tfidf__fixation,-0.03431199348827963
terms_abstract_tfidf__focus,0.05885433651232119
terms_abstract_tfidf__gaze,-0.09103927595199234
terms_abstract_tfidf__goal,0.18183442599402083
terms_abstract_tfidf__hyperactivity,0.03460616081146466
terms_abstract_tfidf__imagery,-0.12033625616867098
terms_abstract_tfidf__impulsivity,0.09588422204355931
terms_abstract_tfidf__induction,0.012856153264990752
terms_abstract_tfidf__inference,0.16943531556706679
terms_abstract_tfidf__inhibition,-0.02749725159400929
terms_abstract_tfidf__insight,0.02241081177777766
terms_abstract_tfidf__integration,-0.08247645833138365
terms_abstract_tfidf__intelligence,0.0795990497687731
terms_abstract_tfidf__intention,0.18827803704664509
terms_abstract_tfidf__interference,0.05388128771405111
terms_abstract_tfidf__judgment,0.27601932224074743
terms_abstract_tfidf__knowledge,0.11319148271804015
terms_abstract_tfidf__language,-0.05036335616947189
terms_abstract_tfidf__language comprehension,0.001373202320475839
terms_abstract_tfidf__learning,-0.12685632907998298
terms_abstract_tfidf__listening,-0.11915064054572548
terms_abstract_tfidf__localization,-0.14880855230153844
terms_abstract_tfidf__loss,-0.08296122314518771
terms_abstract_tfidf__maintenance,0.050784276339862544
