feature,r
terms_abstract_tfidf__action,0.0009562522579134545
terms_abstract_tfidf__adaptation,-0.09017628903516477
terms_abstract_tfidf__addiction,-0.06165617852817125
terms_abstract_tfidf__anticipation,-0.0008871654608523496
terms_abstract_tfidf__anxiety,-0.02722699293031095
terms_abstract_tfidf__arousal,-0.06493962926643028
terms_abstract_tfidf__association,-0.04039292152292456
terms_abstract_tfidf__attention,0.08229639864698007
terms_abstract_tfidf__attribution,0.002978902032905544
terms_abstract_tfidf__autobiographical memory,-0.008213738455693644
terms_abstract_tfidf__awareness,0.044300029755965524
terms_abstract_tfidf__balance,-0.06648869719083315
terms_abstract_tfidf__belief,0.016535024316002594
terms_abstract_tfidf__categorization,0.05060318978745961
terms_abstract_tfidf__cognitive control,0.11165837546759706
terms_abstract_tfidf__communication,-0.04450931513730697
terms_abstract_tfidf__competition,0.03447942312788559
terms_abstract_tfidf__concept,-0.022568310785122284
terms_abstract_tfidf__consciousness,-0.0036678092975389515
terms_abstract_tfidf__consolidation,-0.04703218684161506
terms_abstract_tfidf__context,-0.004593152555377474
terms_abstract_tfidf__coordination,0.0023230566912238325
terms_abstract_tfidf__decision,0.08312504234711234
terms_abstract_tfidf__decision making,0.04016399026777076
terms_abstract_tfidf__demand,0.1582968679181534
terms_abstract_tfidf__detection,-0.036436281196278356
terms_abstract_tfidf__discrimination,0.07494846369579657
terms_abstract_tfidf__distraction,0.10379414779572449
terms_abstract_tfidf__dyslexia,-0.036443858120432146
terms_abstract_tfidf__eating,-0.03313416267791646
terms_abstract_tfidf__efficiency,0.0364405609191808
terms_abstract_tfidf__effort,0.011272067161728887
terms_abstract_tfidf__emotion,-0.04907297162412426
terms_abstract_tfidf__emotion regulation,-0.005622766981570823
terms_abstract_tfidf__empathy,0.10042437782801714
terms_abstract_tfidf__encoding,0.018456491957460776
terms_abstract_tfidf__episodic memory,0.07274743134486115
terms_abstract_tfidf__expectancy,0.08991484435866322
terms_abstract_tfidf__expertise,-0.026199602785467915
terms_abstract_tfidf__extinction,-0.02502197704779718
terms_abstract_tfidf__face recognition,-0.07635930183449662
terms_abstract_tfidf__facial expression,-0.03092443916634201
terms_abstract_tfidf__familiarity,0.020250239353356406
terms_abstract_tfidf__fear,-0.10363441350702784
terms_abstract_tfidf__fixation,-0.024042680614916816
terms_abstract_tfidf__focus,0.02238543429900113
terms_abstract_tfidf__gaze,-0.0527802888712916
terms_abstract_tfidf__goal,0.03758512651679904
terms_abstract_tfidf__hyperactivity,-0.024435418244510673
terms_abstract_tfidf__imagery,0.009399975106750783
terms_abstract_tfidf__impulsivity,0.00045993709979003783
terms_abstract_tfidf__induction,-0.017631828006285318
terms_abstract_tfidf__inference,0.03809128322812888
terms_abstract_tfidf__inhibition,0.0987773708888487
terms_abstract_tfidf__insight,-0.07429224849832791
terms_abstract_tfidf__integration,-0.046055304493828914
terms_abstract_tfidf__intelligence,0.003120148316131653
terms_abstract_tfidf__intention,0.010649774273738406
terms_abstract_tfidf__interference,0.1066096980801096
terms_abstract_tfidf__judgment,0.08983058919702035
terms_abstract_tfidf__knowledge,0.061845422665862425
terms_abstract_tfidf__language,0.06869812821747011
terms_abstract_tfidf__language comprehension,0.03250140456597479
terms_abstract_tfidf__learning,-0.021673920438397297
terms_abstract_tfidf__listening,-0.014235372394804829
terms_abstract_tfidf__localization,-0.09893790981562356
terms_abstract_tfidf__loss,-0.11814048058811959
terms_abstract_tfidf__maintenance,0.1575907369311375
terms_abstract_tfidf__manipulation,0.1351809116130697
terms_abstract_tfidf__meaning,0.08998330389309116
terms_abstract_tfidf__memory,0.13746834006782552
terms_abstract_tfidf__memory retrieval,0.0956813320468504
terms_abstract_tfidf__mental imagery,0.05100056924157119
terms_abstract_tfidf__monitoring,0.10136043884695561
terms_abstract_tfidf__mood,0.006880074434265153
terms_abstract_tfidf__morphology,-0.08162981240773805
terms_abstract_tfidf__motor control,-0.023853809509861955
terms_abstract_tfidf__movement,-0.048526759486492536
terms_abstract_tfidf__multisensory,-0.06578913069086746
terms_abstract_tfidf__naming,0.04772009230475639
terms_abstract_tfidf__navigation,-0.013840493600094029
terms_abstract_tfidf__object recognition,-0.04623459442275542
terms_abstract_tfidf__pain,-0.009419148100543196
terms_abstract_tfidf__passive viewing,-0.01698324170553111
terms_abstract_tfidf__perception,-0.08505473346996212
terms_abstract_tfidf__planning,0.030333590126661446
terms_abstract_tfidf__priming,0.024079488076299317
terms_abstract_tfidf__psychosis,0.037408508072089286
terms_abstract_tfidf__reaction time,0.08577653675446031
terms_abstract_tfidf__reading,0.056906063901191455
terms_abstract_tfidf__reasoning,0.0796926116886885
terms_abstract_tfidf__recall,0.05366554187627109
terms_abstract_tfidf__recognition,0.02027613479192132
terms_abstract_tfidf__rehearsal,0.005556734614512871
terms_abstract_tfidf__reinforcement learning,-0.026234986240937695
terms_abstract_tfidf__response inhibition,0.13786860951230812
terms_abstract_tfidf__response selection,0.08023619000446333
terms_abstract_tfidf__retention,0.044868123589640256
terms_abstract_tfidf__retrieval,0.10444521594792343
terms_abstract_tfidf__reward anticipation,-0.044799002454513515
terms_abstract_tfidf__rhythm,-0.042009925005371825
terms_abstract_tfidf__risk,0.023179737291499327
terms_abstract_tfidf__risk taking,0.024181226935854314
terms_abstract_tfidf__rule,0.07376785151629815
terms_abstract_tfidf__salience,-0.026751637640108593
terms_abstract_tfidf__search,0.057740684285739224
terms_abstract_tfidf__selective attention,0.02015552785414176
terms_abstract_tfidf__semantic memory,0.06998931802431897
terms_abstract_tfidf__sentence comprehension,0.09700438105053155
terms_abstract_tfidf__skill,0.034111385787805704
terms_abstract_tfidf__sleep,-0.10818692519801218
terms_abstract_tfidf__social cognition,-0.018078361728381447
terms_abstract_tfidf__spatial attention,0.05696044594076048
terms_abstract_tfidf__speech perception,-0.021888557117440883
terms_abstract_tfidf__speech production,0.018558503912855746
terms_abstract_tfidf__strategy,0.07646131469834148
terms_abstract_tfidf__strength,-0.01094203876178169
terms_abstract_tfidf__stress,-0.07610419413839555
terms_abstract_tfidf__stroop task,0.09616068563764643
terms_abstract_tfidf__sustained attention,0.07943608217930329
terms_abstract_tfidf__task difficulty,0.1653503214066225
terms_abstract_tfidf__thought,0.0735713798369259
terms_abstract_tfidf__timing,-0.04650897042340053
terms_abstract_tfidf__transition,0.008932755229243408
terms_abstract_tfidf__uncertainty,0.04272438237380628
terms_abstract_tfidf__updating,0.0004625502796095563
terms_abstract_tfidf__utility,-0.03607833122981791
terms_abstract_tfidf__valence,-0.019021806353409818
terms_abstract_tfidf__verbal fluency,0.09166693808901655
terms_abstract_tfidf__visual attention,0.03148268992817326
terms_abstract_tfidf__visual perception,0.0351310858964846
terms_abstract_tfidf__word recognition,-0.04072398045864095
terms_abstract_tfidf__working memory,0.16081707126655254
