,id,PositiveTail 1
0,"Bedford, 2012-",13
1,"Blackwood, 2004-",2
2,"Blair, 2011-",13
3,"Bluhm, 2012-",1
4,"Fuentes-Claramonte, 2020-",1
5,"Furuichi, 2019-",2
6,"Hashimoto, 2017-",1
7,"Herold, 2017-",1
8,"Jimenez, 2018-",2
9,"Lemogne, 2009-",5
10,"Liu, 2014-",4
11,"Lythe, 2022-",1
12,"Makowski, 2016-",10
13,"Marchewka, 2019-",2
14,"McAdams, 2016-",1
15,"Murphy,2010-",3
16,"Pankow, 2016-",9
17,"Pauly, 2013-",3
18,"Sarsam, 2013-",1
19,"Tan, 2015-",1
20,"Vinogradov, 2008-",11
21,"shad, 2012-",1
22,"van der Meer, 2013-",1
