id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5
"Bedford, 2012-",0,0,0,0,2
"Blackwood, 2004-",0,0,0,0,0
"Blair, 2011-",0,0,0,0,0
"Bluhm, 2012-",0,0,0,0,0
"Fuentes-Claramonte, 2020-",0,0,0,0,0
"Hashimoto, 2017-",0,0,0,0,0
"Herold, 2017-",0,0,0,0,0
"Jimenez, 2018-",0,0,0,0,0
"Liu, 2014-",0,0,0,0,0
"Makowski, 2016-",2,1,1,1,0
"Makowski,2015-",2,1,1,1,0
"Murphy,2010-",0,0,0,0,0
"Pankow, 2016-",0,0,0,0,1
"Pauly, 2013-",0,0,0,0,0
"Tan, 2015-",0,0,0,0,0
"Vinogradov, 2008-",0,0,0,0,0
"van der Meer, 2013-",0,0,0,0,0
