feature,r
terms_abstract_tfidf__action,0.009035690962312586
terms_abstract_tfidf__adaptation,-0.013819637072907407
terms_abstract_tfidf__addiction,-0.005613766505246387
terms_abstract_tfidf__anticipation,-0.011326663364500986
terms_abstract_tfidf__anxiety,-0.020671756195107322
terms_abstract_tfidf__aphasia,0.016224885000123545
terms_abstract_tfidf__arousal,0.0016031402052301689
terms_abstract_tfidf__association,0.004896520238264746
terms_abstract_tfidf__attention,-0.0038874071360587847
terms_abstract_tfidf__autobiographical memory,0.05034882758650376
terms_abstract_tfidf__balance,-0.0013038106939271149
terms_abstract_tfidf__belief,0.03253803438334905
terms_abstract_tfidf__bipolar disorder,-0.0018658214314856325
terms_abstract_tfidf__categorization,-0.005903296179273309
terms_abstract_tfidf__cognitive control,-0.0032823716871004578
terms_abstract_tfidf__communication,0.018194167850792246
terms_abstract_tfidf__competition,-0.00043710824243913324
terms_abstract_tfidf__concept,0.004231968980020953
terms_abstract_tfidf__consciousness,0.004187936221935336
terms_abstract_tfidf__consolidation,0.0010834116074534758
terms_abstract_tfidf__context,0.00543097796437223
terms_abstract_tfidf__coordination,-0.016051601526383782
terms_abstract_tfidf__decision,0.008456351852322078
terms_abstract_tfidf__decision making,-0.0010524533957514954
terms_abstract_tfidf__dementia,0.007880669018804463
terms_abstract_tfidf__detection,-0.006580254092461665
terms_abstract_tfidf__discrimination,-0.012339691842731027
terms_abstract_tfidf__distraction,-0.0008442014243286624
terms_abstract_tfidf__dyslexia,0.0018568909121676662
terms_abstract_tfidf__eating,-0.01257822629285287
terms_abstract_tfidf__efficiency,0.0055691222366633245
terms_abstract_tfidf__effort,0.006706077137625993
terms_abstract_tfidf__emotion,0.02109213277480897
terms_abstract_tfidf__emotion regulation,0.038052310831195486
terms_abstract_tfidf__empathy,0.03905374494470873
terms_abstract_tfidf__encoding,0.016478865373519863
terms_abstract_tfidf__episodic memory,0.036913501337481024
terms_abstract_tfidf__expectancy,-0.01268390302857515
terms_abstract_tfidf__expertise,-0.00039001436435781616
terms_abstract_tfidf__extinction,-0.015366365984625343
terms_abstract_tfidf__face recognition,-0.014094621860626549
terms_abstract_tfidf__facial expression,-0.011548228550538393
terms_abstract_tfidf__familiarity,0.024045412286158554
terms_abstract_tfidf__fear,-0.0007388717114550051
terms_abstract_tfidf__fixation,0.019507079823409247
terms_abstract_tfidf__focus,0.0025308081288256453
terms_abstract_tfidf__gaze,0.0009986040111693308
terms_abstract_tfidf__goal,0.011166594746991427
terms_abstract_tfidf__hyperactivity,-0.0097749871435968
terms_abstract_tfidf__imagery,0.003331784650358028
terms_abstract_tfidf__impulsivity,-0.015754115733894448
terms_abstract_tfidf__induction,0.0004284471493519688
terms_abstract_tfidf__inference,0.023780054259060723
terms_abstract_tfidf__inhibition,-0.007708762237330231
terms_abstract_tfidf__insight,0.007856241537959358
terms_abstract_tfidf__integration,0.012429386076779028
terms_abstract_tfidf__intelligence,-0.0034044872364830223
