feature,r
terms_abstract_tfidf__001,-0.014669750420893102
terms_abstract_tfidf__01,-0.0019386846435737457
terms_abstract_tfidf__05,-0.027644066435216712
terms_abstract_tfidf__10,-0.012952778912185011
terms_abstract_tfidf__100,-0.0007201308282992408
terms_abstract_tfidf__11,-0.01341847101813806
terms_abstract_tfidf__12,-0.008916506506133409
terms_abstract_tfidf__12 healthy,0.010541474905336686
terms_abstract_tfidf__13,-0.0040697334831368845
terms_abstract_tfidf__14,-0.004531941623302129
terms_abstract_tfidf__14 healthy,0.001826611080186459
terms_abstract_tfidf__15,-0.00725064995466924
terms_abstract_tfidf__15 healthy,0.001689472838750598
terms_abstract_tfidf__16,-0.019394264566463544
terms_abstract_tfidf__16 healthy,-0.01463995622495941
terms_abstract_tfidf__17,-0.0012293886141240145
terms_abstract_tfidf__18,-0.01464996225240182
terms_abstract_tfidf__18 healthy,-0.009279636200414925
terms_abstract_tfidf__19,-0.01041148806458976
terms_abstract_tfidf__20,-0.018662400869646992
terms_abstract_tfidf__20 healthy,0.006134720707283934
terms_abstract_tfidf__200,0.007890769620032875
terms_abstract_tfidf__2014,0.0017108469958276923
terms_abstract_tfidf__21,-0.019423437005452404
terms_abstract_tfidf__22,-0.005302894703333677
terms_abstract_tfidf__23,-0.014956964498924022
terms_abstract_tfidf__24,-0.012554350423940932
terms_abstract_tfidf__25,-0.0105633230675151
terms_abstract_tfidf__26,-0.0019489631659370319
terms_abstract_tfidf__27,-0.01693056959416746
terms_abstract_tfidf__28,-0.0027940003073993235
terms_abstract_tfidf__29,-0.0031979842345681744
terms_abstract_tfidf__30,-0.00957190220559583
terms_abstract_tfidf__31,0.006605777062235886
terms_abstract_tfidf__32,-0.010337336602974135
terms_abstract_tfidf__33,-0.012092956956918043
terms_abstract_tfidf__34,-0.007311469128073633
terms_abstract_tfidf__35,-0.004201160690165053
terms_abstract_tfidf__36,-0.0045536051734756154
terms_abstract_tfidf__37,-0.006443760533716129
terms_abstract_tfidf__38,-0.008792537323982651
terms_abstract_tfidf__39,0.014980311576107744
terms_abstract_tfidf__3d,-0.004631064791063958
terms_abstract_tfidf__3t,-0.0179417614321107
terms_abstract_tfidf__40,-0.009572955915172017
terms_abstract_tfidf__41,-0.007395404211103299
terms_abstract_tfidf__42,-0.006346068436696627
terms_abstract_tfidf__43,-0.013004050769579842
terms_abstract_tfidf__44,0.007620296325403377
terms_abstract_tfidf__45,0.010653600090658919
terms_abstract_tfidf__46,-0.006170096122378193
terms_abstract_tfidf__47,0.007337325111132224
terms_abstract_tfidf__48,-0.01944154585049312
terms_abstract_tfidf__49,-0.0010093551563454565
terms_abstract_tfidf__50,-0.010792601519806244
terms_abstract_tfidf__60,-0.00886608620587433
terms_abstract_tfidf__70,0.004280432091341373
terms_abstract_tfidf__75,-0.006140540184231657
terms_abstract_tfidf__80,0.006044287344036113
terms_abstract_tfidf__90,0.001590571673088607
terms_abstract_tfidf__aberrant,0.0054273349490332745
terms_abstract_tfidf__abilities,-0.0035058466348894353
terms_abstract_tfidf__ability,0.00994570669081771
terms_abstract_tfidf__able,0.0067014699255217615
terms_abstract_tfidf__abnormal,-0.02182213716804757
terms_abstract_tfidf__abnormalities,-0.02260773395298285
terms_abstract_tfidf__abnormality,-0.013870974705724317
terms_abstract_tfidf__absence,7.372862971193228e-05
terms_abstract_tfidf__absent,0.006337371179643252
terms_abstract_tfidf__abstract,0.022899447708195013
terms_abstract_tfidf__abuse,-0.006263190295600261
terms_abstract_tfidf__acc,-0.017782410667941364
terms_abstract_tfidf__access,0.029665420761231083
terms_abstract_tfidf__accompanied,0.01821305942287714
terms_abstract_tfidf__accordance,-0.013494730794241636
terms_abstract_tfidf__according,0.0005458539569391053
terms_abstract_tfidf__accordingly,0.010908594919148876
terms_abstract_tfidf__account,-0.0011085536348828984
terms_abstract_tfidf__accounted,-0.014681179112216072
terms_abstract_tfidf__accounts,0.011616924227555765
terms_abstract_tfidf__accumbens,-0.01909741970871538
terms_abstract_tfidf__accuracy,0.004421115938058705
terms_abstract_tfidf__accurate,0.005123749116262906
terms_abstract_tfidf__accurately,0.00888793776742774
terms_abstract_tfidf__achieve,0.005041726323361442
terms_abstract_tfidf__achieved,-0.00408207615631709
terms_abstract_tfidf__acoustic,-0.004130942535421911
terms_abstract_tfidf__acquired,-0.005106129832667566
terms_abstract_tfidf__acquisition,-0.019271458783781652
terms_abstract_tfidf__act,-0.003912683885102883
terms_abstract_tfidf__action,0.009035690962312586
terms_abstract_tfidf__action observation,0.007246106435461942
terms_abstract_tfidf__actions,0.0034522085538502925
terms_abstract_tfidf__activate,0.008576549841640076
terms_abstract_tfidf__activates,0.005721524716585647
terms_abstract_tfidf__activations,0.020724006010747087
terms_abstract_tfidf__active,0.00856435604959155
terms_abstract_tfidf__actively,0.01634411395917309
terms_abstract_tfidf__activities,-0.008899144307860507
terms_abstract_tfidf__acts,-0.006655586171688827
terms_abstract_tfidf__actual,-0.002240632803842179
terms_abstract_tfidf__actually,-0.007192348256856015
terms_abstract_tfidf__acute,-0.006807833749765502
terms_abstract_tfidf__ad,0.010131334816826813
terms_abstract_tfidf__adaptation,-0.013819637072907407
terms_abstract_tfidf__adapted,-0.0010054582609249872
terms_abstract_tfidf__adaptive,0.012933229179873076
terms_abstract_tfidf__add,-0.016985112808724244
terms_abstract_tfidf__addiction,-0.005613766505246387
terms_abstract_tfidf__addition,-0.004231794585101799
terms_abstract_tfidf__additional,0.0024163168232280434
terms_abstract_tfidf__additionally,0.002977628468466649
terms_abstract_tfidf__addressed,0.0029971123275906067
terms_abstract_tfidf__adhd,-0.010606794666627499
terms_abstract_tfidf__adjacent,0.00135574793751147
terms_abstract_tfidf__administered,-0.018300163953742732
