feature,r
terms_abstract_tfidf__001,-0.00968581267205979
terms_abstract_tfidf__01,0.006893519360938013
terms_abstract_tfidf__05,-0.0050073774757901385
terms_abstract_tfidf__10,0.006609873023390925
terms_abstract_tfidf__100,-0.005211451776407536
terms_abstract_tfidf__11,-0.003096526386041527
terms_abstract_tfidf__12,-0.002416059182645588
terms_abstract_tfidf__12 healthy,-0.004289912241954015
terms_abstract_tfidf__13,0.006666634370994897
terms_abstract_tfidf__14,0.001827768810626071
terms_abstract_tfidf__14 healthy,0.00663541644787337
terms_abstract_tfidf__15,-0.0045641800244195065
terms_abstract_tfidf__15 healthy,0.0062510375155829375
terms_abstract_tfidf__16,0.004615050034022373
terms_abstract_tfidf__16 healthy,-0.0016315662263031259
terms_abstract_tfidf__17,0.001744224703508383
terms_abstract_tfidf__18,0.00011786414370088201
terms_abstract_tfidf__18 healthy,-0.008786438095696441
terms_abstract_tfidf__19,-0.005085599377483258
terms_abstract_tfidf__20,-0.0002559693967177818
terms_abstract_tfidf__20 healthy,0.011030239262393169
terms_abstract_tfidf__200,0.0003648369476983547
terms_abstract_tfidf__2014,-0.0014686905700672958
terms_abstract_tfidf__21,0.010676563580891058
terms_abstract_tfidf__22,-0.007817732611229549
terms_abstract_tfidf__23,0.0005307380036171854
terms_abstract_tfidf__24,-3.385369414855002e-05
terms_abstract_tfidf__25,0.010475432293860706
terms_abstract_tfidf__26,0.008470461722354354
terms_abstract_tfidf__27,0.01373273121358898
terms_abstract_tfidf__28,0.0017072027516286904
terms_abstract_tfidf__29,0.026941349621661143
terms_abstract_tfidf__30,-0.005334476027396089
terms_abstract_tfidf__31,0.012105269256372831
terms_abstract_tfidf__32,0.020153512148378207
terms_abstract_tfidf__33,-0.01006982614976554
terms_abstract_tfidf__34,0.004262269581594807
terms_abstract_tfidf__35,0.006920960176858778
terms_abstract_tfidf__36,-0.00927471409399175
terms_abstract_tfidf__37,0.00761610827600473
terms_abstract_tfidf__38,-0.00014543379616365095
terms_abstract_tfidf__39,0.009737358457115836
terms_abstract_tfidf__3d,-0.018366613470312522
terms_abstract_tfidf__3t,-0.006217838944447314
terms_abstract_tfidf__40,-0.008776919693030264
terms_abstract_tfidf__41,0.00329514296642402
terms_abstract_tfidf__42,-0.007898506066561298
terms_abstract_tfidf__43,0.010499483040146583
terms_abstract_tfidf__44,-0.023575034563228542
terms_abstract_tfidf__45,-0.010929304554049602
terms_abstract_tfidf__46,-0.005630525879564762
terms_abstract_tfidf__47,0.01057259955304867
terms_abstract_tfidf__48,-0.009740379802968902
terms_abstract_tfidf__49,0.0024561096539712545
terms_abstract_tfidf__50,-0.011865293709510574
terms_abstract_tfidf__60,-0.0012166317683565298
terms_abstract_tfidf__70,0.002259244196754658
terms_abstract_tfidf__75,-0.00822155785466243
terms_abstract_tfidf__80,-0.0027629263772773424
terms_abstract_tfidf__90,-0.012188733083491766
terms_abstract_tfidf__aberrant,0.03446210316180871
terms_abstract_tfidf__abilities,-0.00674477458882553
terms_abstract_tfidf__ability,-0.005831096816898737
terms_abstract_tfidf__able,-0.019732297389386606
terms_abstract_tfidf__abnormal,0.0030225268201017107
terms_abstract_tfidf__abnormalities,-0.0009128368528507121
terms_abstract_tfidf__abnormality,-0.00337586768967831
terms_abstract_tfidf__absence,-0.017378282247612876
terms_abstract_tfidf__absent,0.0002599564497954815
terms_abstract_tfidf__abstract,-0.013117705518534962
terms_abstract_tfidf__abuse,0.0020423011666069373
terms_abstract_tfidf__acc,0.07764628214023461
terms_abstract_tfidf__access,0.002749634670966932
terms_abstract_tfidf__accompanied,0.0021527963137371606
terms_abstract_tfidf__accordance,-0.00652506325464221
terms_abstract_tfidf__according,-0.01764603006774152
terms_abstract_tfidf__accordingly,-0.0029079008726049967
terms_abstract_tfidf__account,0.009754426392330288
terms_abstract_tfidf__accounted,0.0005246327172520994
terms_abstract_tfidf__accounts,0.0025372731239466555
terms_abstract_tfidf__accumbens,0.01361702238372377
terms_abstract_tfidf__accuracy,0.004249921386751681
terms_abstract_tfidf__accurate,0.0069060449798811286
terms_abstract_tfidf__accurately,0.002472030018642472
terms_abstract_tfidf__achieve,-0.01020869488522175
terms_abstract_tfidf__achieved,-0.01172869363648699
terms_abstract_tfidf__acoustic,-0.01548125721681946
terms_abstract_tfidf__acquired,-0.0012473359126727133
terms_abstract_tfidf__acquisition,-0.028298233039609478
terms_abstract_tfidf__act,0.019181939141030963
terms_abstract_tfidf__action,-0.02462817756790504
terms_abstract_tfidf__action observation,-0.006735981936101623
terms_abstract_tfidf__actions,-0.0163669086106436
terms_abstract_tfidf__activate,-0.00861444565676581
terms_abstract_tfidf__activates,-0.007835695681598679
terms_abstract_tfidf__activations,-0.006652417902349643
terms_abstract_tfidf__active,-0.002168718792376933
terms_abstract_tfidf__actively,-0.01052344896388851
terms_abstract_tfidf__activities,-0.0023066843070895043
terms_abstract_tfidf__acts,-0.010274283255139086
terms_abstract_tfidf__actual,-0.008516193638451686
terms_abstract_tfidf__actually,0.003670491513260625
terms_abstract_tfidf__acute,0.016691327726284212
terms_abstract_tfidf__ad,0.008445373560209142
terms_abstract_tfidf__adaptation,-0.027490415081341358
terms_abstract_tfidf__adapted,-3.182948690110956e-05
terms_abstract_tfidf__adaptive,0.005128632600883354
terms_abstract_tfidf__add,-0.01600170756583399
terms_abstract_tfidf__addiction,0.009131711588191678
terms_abstract_tfidf__addition,-0.015022249010022103
terms_abstract_tfidf__additional,-0.014508895072253931
terms_abstract_tfidf__additionally,0.0044091135801919016
terms_abstract_tfidf__addressed,0.0023221597907907834
terms_abstract_tfidf__adhd,0.005465435495194568
terms_abstract_tfidf__adjacent,-0.01754717161778432
terms_abstract_tfidf__administered,-0.008024018155682926
terms_abstract_tfidf__administration,0.009446040865205117
terms_abstract_tfidf__adolescence,0.02277921786387634
terms_abstract_tfidf__adolescent,0.01848578857120865
terms_abstract_tfidf__adolescents,0.02000794019954731
terms_abstract_tfidf__adopted,-0.012823213625888763
terms_abstract_tfidf__adult,-0.005434937572448373
terms_abstract_tfidf__adulthood,0.015392636951445732
terms_abstract_tfidf__adults,0.025874314259950258
terms_abstract_tfidf__advance,-0.005197544810515412
terms_abstract_tfidf__advanced,0.009621908718758619
terms_abstract_tfidf__advances,-0.0007064793372720664
terms_abstract_tfidf__advantage,0.009597981328145684
terms_abstract_tfidf__affect,0.03477433936388439
terms_abstract_tfidf__affected,-0.00558661885362155
terms_abstract_tfidf__affecting,-0.01407543638712615
terms_abstract_tfidf__affective,0.039669420320686655
terms_abstract_tfidf__affects,0.006452237391566233
terms_abstract_tfidf__age,0.028126415088136767
terms_abstract_tfidf__age controls,-0.01314944301024769
terms_abstract_tfidf__age gender,0.007239319399374962
terms_abstract_tfidf__age groups,0.02233623087292115
terms_abstract_tfidf__age healthy,-0.0007840685297222494
terms_abstract_tfidf__age sex,-0.0010963994038036752
terms_abstract_tfidf__aged,0.0027014236962077227
terms_abstract_tfidf__agent,0.0024375594749964278
terms_abstract_tfidf__ages,0.0070380754196684
terms_abstract_tfidf__aging,0.03667192813051514
terms_abstract_tfidf__agreement,0.021024584116031062
terms_abstract_tfidf__aim,-0.01677240784711505
terms_abstract_tfidf__aimed,0.006785038902338812
terms_abstract_tfidf__aims,-0.00933449114773909
terms_abstract_tfidf__al,-0.006505657715163535
terms_abstract_tfidf__alcohol,-0.004164331899312461
terms_abstract_tfidf__alff,-0.005896651368004086
terms_abstract_tfidf__algorithm,0.0055924961317852994
terms_abstract_tfidf__allele,-0.012239464504450683
terms_abstract_tfidf__allocation,0.014238716348922124
terms_abstract_tfidf__allow,-0.010496434143192705
terms_abstract_tfidf__allowed,-0.016890886599005644
terms_abstract_tfidf__allowing,-0.0020040594053390847
terms_abstract_tfidf__allows,-0.015330322590754225
terms_abstract_tfidf__alpha,-0.013562990056868257
terms_abstract_tfidf__alter,-0.001928920264975981
terms_abstract_tfidf__alteration,0.005794455341011458
terms_abstract_tfidf__alterations,0.025184226803971473
terms_abstract_tfidf__altered,0.016656592130857507
terms_abstract_tfidf__alternating,-0.006791476569677652
terms_abstract_tfidf__alternative,0.009444012653047396
terms_abstract_tfidf__alters,0.011847432426477622
terms_abstract_tfidf__alzheimer,0.008792392075664245
terms_abstract_tfidf__alzheimer disease,0.011047847919696934
terms_abstract_tfidf__ambiguous,0.005306705321832068
terms_abstract_tfidf__amnestic,0.024697228051244476
terms_abstract_tfidf__amplitude,-0.012055769405108956
terms_abstract_tfidf__amplitude low,-0.0011593874121632367
terms_abstract_tfidf__amplitudes,-0.0038166337439394533
terms_abstract_tfidf__amygdala,0.02781303026489974
terms_abstract_tfidf__amygdala anterior,0.031322541139261126
terms_abstract_tfidf__amygdala hippocampus,0.01911966919328375
terms_abstract_tfidf__amygdala insula,0.029830342615846554
terms_abstract_tfidf__amygdala response,0.0016738533096228407
terms_abstract_tfidf__amygdala responses,-0.013446916209471476
terms_abstract_tfidf__analysed,-0.007667592603384651
terms_abstract_tfidf__analyses,0.029124506121421354
terms_abstract_tfidf__analyze,-0.009844024829855826
terms_abstract_tfidf__analyzed,-0.016464900629294316
terms_abstract_tfidf__analyzed using,-0.012697505480830491
terms_abstract_tfidf__analyzing,-0.014242816133067117
terms_abstract_tfidf__anatomical,-0.024260514718166593
terms_abstract_tfidf__anatomically,0.009448745473221701
terms_abstract_tfidf__anatomy,-0.010963040996254853
terms_abstract_tfidf__anger,0.007159325551810913
terms_abstract_tfidf__angry,0.012921356319859956
terms_abstract_tfidf__angular,0.015031981133019878
terms_abstract_tfidf__angular gyrus,0.016143452686528906
terms_abstract_tfidf__animal,0.00034801260467967073
terms_abstract_tfidf__animals,-0.010134014411549323
terms_abstract_tfidf__anisotropy,-0.01943715772930559
terms_abstract_tfidf__anisotropy fa,-0.02843048554694862
terms_abstract_tfidf__anterior,0.09504255049600116
terms_abstract_tfidf__anterior cingulate,0.14335544212171114
terms_abstract_tfidf__anterior hippocampus,-0.0037440078537031526
terms_abstract_tfidf__anterior insula,0.015164001159392752
terms_abstract_tfidf__anterior insular,-0.00011434846652988993
terms_abstract_tfidf__anterior intraparietal,-0.028809189613907448
terms_abstract_tfidf__anterior medial,0.053871283430986384
terms_abstract_tfidf__anterior posterior,0.028158488169357312
terms_abstract_tfidf__anterior prefrontal,-0.003952579078136228
terms_abstract_tfidf__anterior superior,-0.013639965621442101
terms_abstract_tfidf__anterior temporal,-0.005734244247504087
terms_abstract_tfidf__anti,0.008506935166591826
terms_abstract_tfidf__anticipation,0.022760639743890258
terms_abstract_tfidf__anticipatory,0.008376275952838196
terms_abstract_tfidf__anxiety,0.016201647158865132
terms_abstract_tfidf__anxiety disorders,0.0024002260378186077
terms_abstract_tfidf__apart,-0.00926262847743293
terms_abstract_tfidf__aphasia,-0.004143577790863867
terms_abstract_tfidf__apparent,0.0024530266031225403
terms_abstract_tfidf__appear,-0.011527933029403779
terms_abstract_tfidf__appeared,-0.013929226650643393
terms_abstract_tfidf__appears,-0.009421372903028004
terms_abstract_tfidf__application,0.0016195089111580986
terms_abstract_tfidf__applied,-0.009675564470122543
terms_abstract_tfidf__apply,0.005932045053582604
terms_abstract_tfidf__applying,0.002973485068481288
terms_abstract_tfidf__appraisal,0.03243219438556831
terms_abstract_tfidf__approach,0.020289229104257987
terms_abstract_tfidf__approaches,0.014808699848122057
terms_abstract_tfidf__appropriate,0.011157752372046402
terms_abstract_tfidf__approximately,0.0022030807690716627
terms_abstract_tfidf__architecture,0.016058283392044438
terms_abstract_tfidf__argue,-0.009027531296225981
terms_abstract_tfidf__arise,0.013128578680794747
terms_abstract_tfidf__arithmetic,-0.007130047480049756
terms_abstract_tfidf__arm,-0.018032262605271538
terms_abstract_tfidf__arousal,0.04180812182453441
terms_abstract_tfidf__arterial,0.0006699762248244882
terms_abstract_tfidf__arterial spin,0.001166423022396488
terms_abstract_tfidf__articulatory,-0.01830381133087393
terms_abstract_tfidf__asd,0.013433994526115612
terms_abstract_tfidf__asked,0.0051274577165837795
terms_abstract_tfidf__aspect,-0.003285285610751233
terms_abstract_tfidf__aspects,0.0017931394813222533
terms_abstract_tfidf__assess,-0.000990119700145567
terms_abstract_tfidf__assessed,0.018461393816844893
terms_abstract_tfidf__assessed using,-0.0003551522921475301
terms_abstract_tfidf__assessing,-0.005554101081677473
terms_abstract_tfidf__assessment,-0.000406850265665062
terms_abstract_tfidf__assessments,-0.006999946518826425
terms_abstract_tfidf__assigned,0.015840608082177944
terms_abstract_tfidf__association,0.0020265655823717968
terms_abstract_tfidf__associations,-0.0031225350252056697
terms_abstract_tfidf__associative,0.0017730317554700745
terms_abstract_tfidf__assume,-0.002805933235139565
terms_abstract_tfidf__assumed,-0.002521748909218009
terms_abstract_tfidf__assumption,-0.012628576288889262
terms_abstract_tfidf__asymmetry,-0.015234220424709613
terms_abstract_tfidf__atrophy,0.0075531328978963985
terms_abstract_tfidf__attempt,0.009112958195023526
terms_abstract_tfidf__attempted,0.0065305678352437285
terms_abstract_tfidf__attend,0.0005032567368082394
terms_abstract_tfidf__attended,-0.012053601161231227
terms_abstract_tfidf__attending,0.003452579566074787
terms_abstract_tfidf__attention,-0.01419687023497776
terms_abstract_tfidf__attention deficit,0.008912596128150959
terms_abstract_tfidf__attention network,0.01573970024291585
terms_abstract_tfidf__attention task,-0.012761485191364292
terms_abstract_tfidf__attentional,-0.018541936915676866
terms_abstract_tfidf__attentional control,-0.008390797951340248
terms_abstract_tfidf__attenuated,0.012728410164883897
terms_abstract_tfidf__attenuation,0.012859170774334074
terms_abstract_tfidf__attributed,0.007040908365132875
terms_abstract_tfidf__attributes,0.001995607815928249
terms_abstract_tfidf__attribution,0.0034533884929281848
terms_abstract_tfidf__atypical,0.006309431369727127
terms_abstract_tfidf__audiovisual,-0.021080196596637384
terms_abstract_tfidf__auditory,-0.04101164308282184
terms_abstract_tfidf__auditory cortex,-0.017083271037997234
terms_abstract_tfidf__auditory stimuli,-0.013644380973116791
terms_abstract_tfidf__auditory visual,-0.025517093622015284
terms_abstract_tfidf__autism,0.007210161307762635
terms_abstract_tfidf__autism spectrum,0.01760196938651345
terms_abstract_tfidf__autobiographical,0.049103668329943215
terms_abstract_tfidf__autobiographical memory,0.042130775264077804
terms_abstract_tfidf__automated,-0.0041903771769208255
terms_abstract_tfidf__automatic,-0.0028774768169526734
terms_abstract_tfidf__automatically,-0.012080317868469546
terms_abstract_tfidf__autonomic,0.01877574081612921
terms_abstract_tfidf__available,0.011715398606253551
terms_abstract_tfidf__average,-0.01915520564271303
terms_abstract_tfidf__aversive,0.02058375908377389
terms_abstract_tfidf__avoid,-0.004178053296509643
terms_abstract_tfidf__avoidance,0.03347822412190402
terms_abstract_tfidf__awareness,0.0026668722780483446
terms_abstract_tfidf__away,0.0020148780595506495
terms_abstract_tfidf__axis,0.0077044243531114
terms_abstract_tfidf__ba,-0.008631837949651321
terms_abstract_tfidf__ba 44,-0.020094369694768688
terms_abstract_tfidf__background,-3.01324117947418e-05
terms_abstract_tfidf__balance,0.00846621238216605
terms_abstract_tfidf__band,-0.007041116799267369
terms_abstract_tfidf__bands,0.013621332000211752
terms_abstract_tfidf__basal,-0.0038093625775293656
terms_abstract_tfidf__basal ganglia,-0.0016100439402990845
terms_abstract_tfidf__baseline,0.012972051389408367
terms_abstract_tfidf__bases,0.018197222007835617
terms_abstract_tfidf__basic,0.02389981016313447
terms_abstract_tfidf__basis,-0.006933512973039392
terms_abstract_tfidf__bayesian,-0.014852482827007437
terms_abstract_tfidf__beginning,-0.004555734214094779
