feature,r
terms_abstract_tfidf__001,-0.007469115298221091
terms_abstract_tfidf__01,0.0068579039622798516
terms_abstract_tfidf__05,-0.016031589965231657
terms_abstract_tfidf__10,0.000478606457647976
terms_abstract_tfidf__100,-0.0002731451726541126
terms_abstract_tfidf__11,-0.002386476411245116
terms_abstract_tfidf__12,-0.010620240331285166
terms_abstract_tfidf__12 healthy,0.001756946240019188
terms_abstract_tfidf__13,-0.0024198000732651363
terms_abstract_tfidf__14,-0.0049306694216336025
terms_abstract_tfidf__14 healthy,-0.0076589839506522135
terms_abstract_tfidf__15,-0.007452550431879183
terms_abstract_tfidf__15 healthy,0.019773296651377198
terms_abstract_tfidf__16,-0.002371434823115862
terms_abstract_tfidf__16 healthy,-0.004214028751614935
terms_abstract_tfidf__17,0.016180109023730523
terms_abstract_tfidf__18,-0.008645788939264711
terms_abstract_tfidf__18 healthy,0.00028717574773406035
terms_abstract_tfidf__19,0.0038828970905538896
terms_abstract_tfidf__20,-0.0032504390068518385
terms_abstract_tfidf__20 healthy,-0.0004975441898813839
terms_abstract_tfidf__200,0.0022876864487293637
terms_abstract_tfidf__2014,0.007127782088109272
terms_abstract_tfidf__21,-0.000705044785449581
terms_abstract_tfidf__22,0.002422772089237908
terms_abstract_tfidf__23,-0.004597159801747032
terms_abstract_tfidf__24,0.004169374687118678
terms_abstract_tfidf__25,0.00014938821670730184
terms_abstract_tfidf__26,-0.0008403582898956488
terms_abstract_tfidf__27,0.009715970396945287
terms_abstract_tfidf__28,0.0026723457238914767
terms_abstract_tfidf__29,0.012458147654305357
terms_abstract_tfidf__30,-0.013855264280232794
terms_abstract_tfidf__31,0.015723388225156957
terms_abstract_tfidf__32,0.012807238062535546
terms_abstract_tfidf__33,-0.006493673727332686
terms_abstract_tfidf__34,-0.005123307139131273
terms_abstract_tfidf__35,0.0016770798460881858
terms_abstract_tfidf__36,-0.009183806009600521
terms_abstract_tfidf__37,-0.016964635714960825
terms_abstract_tfidf__38,-0.0005928974288420023
terms_abstract_tfidf__39,-0.0014706389688724719
terms_abstract_tfidf__3d,-0.013293076810904149
terms_abstract_tfidf__3t,-0.010547977205773204
terms_abstract_tfidf__40,-0.023128044324063166
terms_abstract_tfidf__41,0.006729584537203212
terms_abstract_tfidf__42,-0.002567604185694887
terms_abstract_tfidf__43,-0.007986218539461437
