feature,r
terms_abstract_tfidf__001,-0.011373061968408947
terms_abstract_tfidf__01,0.0002161541033650876
terms_abstract_tfidf__05,-0.012523537660232915
terms_abstract_tfidf__10,-0.0035220986936143695
terms_abstract_tfidf__100,-0.01643439685583359
terms_abstract_tfidf__11,-0.011362524316494342
terms_abstract_tfidf__12,-0.007634345045033764
terms_abstract_tfidf__12 healthy,-0.002327422387041255
terms_abstract_tfidf__13,-0.004493916835879903
terms_abstract_tfidf__14,-0.006229068807073272
terms_abstract_tfidf__14 healthy,0.00029092613123115436
terms_abstract_tfidf__15,-0.003652392676101671
terms_abstract_tfidf__15 healthy,0.011226987720636994
terms_abstract_tfidf__16,-0.0069254520051347775
terms_abstract_tfidf__16 healthy,-0.003948220075983524
terms_abstract_tfidf__17,-0.0019583157632646897
terms_abstract_tfidf__18,-0.00956688540690413
terms_abstract_tfidf__18 healthy,0.0007827908633581508
terms_abstract_tfidf__19,-0.0022854364382117217
terms_abstract_tfidf__20,-0.004422580663599521
terms_abstract_tfidf__20 healthy,0.004168122232725801
terms_abstract_tfidf__200,-0.006304664020302438
terms_abstract_tfidf__2014,0.0026827210657990133
terms_abstract_tfidf__21,-0.007518811044930169
terms_abstract_tfidf__22,-0.009582349800394178
terms_abstract_tfidf__23,-0.0058056477299351225
terms_abstract_tfidf__24,0.0003679111018732457
terms_abstract_tfidf__25,-0.005325316014195496
terms_abstract_tfidf__26,-0.0059514294346614946
terms_abstract_tfidf__27,-0.014599061548716725
terms_abstract_tfidf__28,0.007067223003780408
terms_abstract_tfidf__29,0.009465507209745094
terms_abstract_tfidf__30,-0.01646250717997256
terms_abstract_tfidf__31,0.005711601167273993
terms_abstract_tfidf__32,0.015460325696667696
terms_abstract_tfidf__33,-0.015413762365848134
terms_abstract_tfidf__34,-0.01032117846836793
terms_abstract_tfidf__35,0.005721121948641747
terms_abstract_tfidf__36,-0.013689242940375547
terms_abstract_tfidf__37,-0.00028245901189157864
terms_abstract_tfidf__38,-0.0034729304659496694
terms_abstract_tfidf__39,-0.0036761377289566627
terms_abstract_tfidf__3d,-0.019691325244385605
terms_abstract_tfidf__3t,-0.006612128675353795
terms_abstract_tfidf__40,-0.02027846771451989
terms_abstract_tfidf__41,-0.010208673042781002
terms_abstract_tfidf__42,-0.008263416574959275
terms_abstract_tfidf__43,-0.00044913931869095
terms_abstract_tfidf__44,-0.01572960277099533
terms_abstract_tfidf__45,-0.007164054501321454
terms_abstract_tfidf__46,-0.00893225650790182
terms_abstract_tfidf__47,0.0042733957414079005
terms_abstract_tfidf__48,-0.00915274311545087
terms_abstract_tfidf__49,-0.010496464054779933
terms_abstract_tfidf__50,-0.017421541113334382
terms_abstract_tfidf__60,-0.020818545813910322
terms_abstract_tfidf__70,-0.0026524868445684264
terms_abstract_tfidf__75,-0.011148203708680323
terms_abstract_tfidf__80,-0.0006285870436641098
terms_abstract_tfidf__90,-0.0031140443516325354
terms_abstract_tfidf__aberrant,0.0052036299160724
terms_abstract_tfidf__abilities,0.0017021135918543825
terms_abstract_tfidf__ability,-0.008101845426221301
terms_abstract_tfidf__able,-0.011715143765711464
terms_abstract_tfidf__abnormal,3.933817226594859e-05
terms_abstract_tfidf__abnormalities,-0.020447793926736364
terms_abstract_tfidf__abnormality,-0.001973779399454001
terms_abstract_tfidf__absence,-0.0062668281387803166
terms_abstract_tfidf__absent,-0.0036475619021970034
terms_abstract_tfidf__abstract,0.005222974726416398
terms_abstract_tfidf__abuse,0.0002311774610432096
terms_abstract_tfidf__acc,0.01568157882318176
terms_abstract_tfidf__access,-0.0137180923328918
terms_abstract_tfidf__accompanied,0.01879277599274412
terms_abstract_tfidf__accordance,-0.009410630249634053
terms_abstract_tfidf__according,-0.01574460428020392
terms_abstract_tfidf__accordingly,0.002903508003011722
terms_abstract_tfidf__account,-0.010943840140476757
terms_abstract_tfidf__accounted,-0.014114969853718243
terms_abstract_tfidf__accounts,0.004312606276249739
terms_abstract_tfidf__accumbens,-0.0016444980225946094
terms_abstract_tfidf__accuracy,-0.005003327410119668
terms_abstract_tfidf__accurate,0.008046430824913183
