feature,r
terms_abstract_tfidf__001,-0.01051578416325881
terms_abstract_tfidf__01,-0.011324970910989886
terms_abstract_tfidf__05,-0.013796109534465955
terms_abstract_tfidf__10,-0.006792833399731202
terms_abstract_tfidf__100,-0.01879179368211487
terms_abstract_tfidf__11,-1.2036774037713514e-05
terms_abstract_tfidf__12,0.004120557507341975
terms_abstract_tfidf__12 healthy,-0.014321354833260191
terms_abstract_tfidf__13,0.004539249819869049
terms_abstract_tfidf__14,-0.003561181036307101
terms_abstract_tfidf__14 healthy,-0.007618396973399954
terms_abstract_tfidf__15,-0.009436489895244182
terms_abstract_tfidf__15 healthy,0.008768162257655374
terms_abstract_tfidf__16,-0.003958647170407513
terms_abstract_tfidf__16 healthy,-0.008614211859744363
terms_abstract_tfidf__17,-0.014273565172442009
terms_abstract_tfidf__18,-0.008318076890317274
terms_abstract_tfidf__18 healthy,0.0067112064953883796
terms_abstract_tfidf__19,-0.009508333423064069
terms_abstract_tfidf__20,-0.014050723338212133
terms_abstract_tfidf__20 healthy,-0.015830458456769603
terms_abstract_tfidf__200,-0.008580939423805306
terms_abstract_tfidf__2014,-0.007035239257351338
terms_abstract_tfidf__21,0.008848714091463764
terms_abstract_tfidf__22,-0.006700729129362622
terms_abstract_tfidf__23,-0.009997596526134177
terms_abstract_tfidf__24,-0.013092005941943688
terms_abstract_tfidf__25,-0.0020106165084040357
terms_abstract_tfidf__26,-0.012980808828954216
terms_abstract_tfidf__27,-0.01645776219808861
terms_abstract_tfidf__28,0.003127611871677699
terms_abstract_tfidf__29,-0.00515691249318245
terms_abstract_tfidf__30,-0.009513625736323734
terms_abstract_tfidf__31,-0.021925390042942097
terms_abstract_tfidf__32,-0.003974080313113406
terms_abstract_tfidf__33,-0.007956437175739083
terms_abstract_tfidf__34,-0.007131067661094844
terms_abstract_tfidf__35,-0.011267169901573965
terms_abstract_tfidf__36,-0.019516429727143958
terms_abstract_tfidf__37,-0.007051026476985587
terms_abstract_tfidf__38,0.006825747443201744
terms_abstract_tfidf__39,-0.006845718332283942
terms_abstract_tfidf__3d,-0.01604413071827314
terms_abstract_tfidf__3t,-0.0075105830411075465
terms_abstract_tfidf__40,-0.02224541347743231
terms_abstract_tfidf__41,-0.013609927970025486
terms_abstract_tfidf__42,-0.01038923696697583
terms_abstract_tfidf__43,-0.00012466145360134865
terms_abstract_tfidf__44,0.004117064569046551
terms_abstract_tfidf__45,0.02499135646923251
terms_abstract_tfidf__46,0.0018163684314142013
terms_abstract_tfidf__47,0.05744843980698083
terms_abstract_tfidf__48,-0.01198711842253582
terms_abstract_tfidf__49,-0.008749349108510407
terms_abstract_tfidf__50,6.666292521537814e-05
terms_abstract_tfidf__60,-0.007651942869048907
terms_abstract_tfidf__70,0.004672350297253742
terms_abstract_tfidf__75,0.0007993906343507254
terms_abstract_tfidf__80,-0.009488955862505075
terms_abstract_tfidf__90,-0.004421510080214187
terms_abstract_tfidf__aberrant,0.0034276235129706034
terms_abstract_tfidf__abilities,-0.0032617151365473846
terms_abstract_tfidf__ability,0.0022142204680774577
terms_abstract_tfidf__able,-0.006794989792288493
terms_abstract_tfidf__abnormal,-0.02483335132310282
terms_abstract_tfidf__abnormalities,-0.02946160159750305
terms_abstract_tfidf__abnormality,-0.0034699081062182207
terms_abstract_tfidf__absence,-0.01884548644605631
terms_abstract_tfidf__absent,-0.002432979956605664
terms_abstract_tfidf__abstract,0.007287258814579886
terms_abstract_tfidf__abuse,-0.0011541439757850143
terms_abstract_tfidf__acc,0.011462430332746012
terms_abstract_tfidf__access,0.022175721771203413
terms_abstract_tfidf__accompanied,0.004791482368832724
terms_abstract_tfidf__accordance,-0.021410989085445774
terms_abstract_tfidf__according,0.007328321491209257
terms_abstract_tfidf__accordingly,-0.0017571668520887462
terms_abstract_tfidf__account,0.012516938658867433
terms_abstract_tfidf__accounted,-0.0032905922398522762
terms_abstract_tfidf__accounts,0.011384777572410368
terms_abstract_tfidf__accumbens,0.0013121035023188853
terms_abstract_tfidf__accuracy,0.007832268755011343
terms_abstract_tfidf__accurate,0.008174717069675071
terms_abstract_tfidf__accurately,0.005096921212429114
terms_abstract_tfidf__achieve,0.002847642725876866
terms_abstract_tfidf__achieved,-0.012054021821861301
terms_abstract_tfidf__acoustic,-0.0030960551229179713
terms_abstract_tfidf__acquired,-0.015797373990435376
terms_abstract_tfidf__acquisition,-0.004206482287029626
terms_abstract_tfidf__act,0.005268713276337733
terms_abstract_tfidf__action,-0.0004483124795704408
terms_abstract_tfidf__action observation,-0.014616937224684962
terms_abstract_tfidf__actions,-0.011786392417213283
terms_abstract_tfidf__activate,0.013316704143173161
terms_abstract_tfidf__activates,0.0023642786724648378
terms_abstract_tfidf__activations,0.023981435273339215
terms_abstract_tfidf__active,0.015882724274963855
terms_abstract_tfidf__actively,0.0033912906457558346
terms_abstract_tfidf__activities,-0.008191573038187348
terms_abstract_tfidf__acts,0.012477026647287894
terms_abstract_tfidf__actual,-0.005654309766194167
terms_abstract_tfidf__actually,0.003423033613118885
terms_abstract_tfidf__acute,-0.017001258236380396
terms_abstract_tfidf__ad,-0.020008270617035324
terms_abstract_tfidf__adaptation,-0.026926620915640832
terms_abstract_tfidf__adapted,0.008303642694075464
terms_abstract_tfidf__adaptive,0.03232757182960915
terms_abstract_tfidf__add,0.00020621798401317343
terms_abstract_tfidf__addiction,-0.003598355129772955
terms_abstract_tfidf__addition,0.009141076195876336
terms_abstract_tfidf__additional,-0.0006487594530269661
terms_abstract_tfidf__additionally,0.00877865575031121
terms_abstract_tfidf__addressed,0.006541015599028783
terms_abstract_tfidf__adhd,-0.0033172089995338
terms_abstract_tfidf__adjacent,-0.005306696618908259
terms_abstract_tfidf__administered,-0.0038581856846887775
terms_abstract_tfidf__administration,-0.0040506009463923956
terms_abstract_tfidf__adolescence,0.0019275083539666926
terms_abstract_tfidf__adolescent,-0.0033651758997399347
terms_abstract_tfidf__adolescents,0.0036399930488548522
terms_abstract_tfidf__adopted,0.00044243179003482686
terms_abstract_tfidf__adult,0.010520270754936653
terms_abstract_tfidf__adulthood,-0.004518412072111105
terms_abstract_tfidf__adults,0.01916085185354221
terms_abstract_tfidf__advance,-0.003016407298671
terms_abstract_tfidf__advanced,-0.005142503322994276
terms_abstract_tfidf__advances,-0.006062330610286259
terms_abstract_tfidf__advantage,-0.0054868805095844
terms_abstract_tfidf__affect,0.047705670436711534
terms_abstract_tfidf__affected,-0.007995861986693754
terms_abstract_tfidf__affecting,0.0028946895647482683
terms_abstract_tfidf__affective,0.03967404295092331
terms_abstract_tfidf__affects,-0.0032360819703632923
terms_abstract_tfidf__age,0.004946469668488871
terms_abstract_tfidf__age controls,-0.020017160019425783
terms_abstract_tfidf__age gender,0.0026557052912662337
terms_abstract_tfidf__age groups,0.011105668633898584
terms_abstract_tfidf__age healthy,-0.006860404572029619
terms_abstract_tfidf__age sex,-0.019065815839396358
terms_abstract_tfidf__aged,0.002326724176786659
terms_abstract_tfidf__agent,0.004317718206530927
terms_abstract_tfidf__ages,0.013657282131067367
terms_abstract_tfidf__aging,0.009567036878647947
terms_abstract_tfidf__agreement,-0.0011940839238326485
terms_abstract_tfidf__aim,0.003934391652858396
terms_abstract_tfidf__aimed,0.0013921434904889942
terms_abstract_tfidf__aims,-0.0025291680497853053
terms_abstract_tfidf__al,0.003436201625626517
terms_abstract_tfidf__alcohol,0.002988033702724206
terms_abstract_tfidf__alff,-0.022092527563430636
terms_abstract_tfidf__algorithm,-0.019401404217644896
terms_abstract_tfidf__allele,-0.014857265592851769
terms_abstract_tfidf__allocation,-0.003285843375849012
terms_abstract_tfidf__allow,-0.008093942565843861
terms_abstract_tfidf__allowed,0.008629176452429293
terms_abstract_tfidf__allowing,-0.0004239590435836026
terms_abstract_tfidf__allows,-0.008671441370643988
terms_abstract_tfidf__alpha,-0.017909112456898735
terms_abstract_tfidf__alter,-0.009097196960872985
terms_abstract_tfidf__alteration,-0.010556839554694629
terms_abstract_tfidf__alterations,-0.02648988992903944
terms_abstract_tfidf__altered,-0.017241015124711243
terms_abstract_tfidf__alternating,-0.007931256737610654
terms_abstract_tfidf__alternative,0.008179527824898789
terms_abstract_tfidf__alters,-0.0135717575891591
terms_abstract_tfidf__alzheimer,-0.010590232188438983
terms_abstract_tfidf__alzheimer disease,-0.009983228492406807
terms_abstract_tfidf__ambiguous,0.019051151238220668
terms_abstract_tfidf__amnestic,0.007070884816624597
terms_abstract_tfidf__amplitude,-0.02506370353377747
terms_abstract_tfidf__amplitude low,-0.027634204041664896
terms_abstract_tfidf__amplitudes,-0.012518426376754528
terms_abstract_tfidf__amygdala,0.03721010856160486
terms_abstract_tfidf__amygdala anterior,0.013128478316331285
terms_abstract_tfidf__amygdala hippocampus,0.033146045996262925
terms_abstract_tfidf__amygdala insula,0.021279891151894943
terms_abstract_tfidf__amygdala response,-0.0043053592639127084
terms_abstract_tfidf__amygdala responses,0.010937509589223194
terms_abstract_tfidf__analysed,-0.002340074824675872
terms_abstract_tfidf__analyses,0.017729214868748896
terms_abstract_tfidf__analyze,-0.007301663344674418
terms_abstract_tfidf__analyzed,-0.0019298141184965175
terms_abstract_tfidf__analyzed using,-0.012475369620170658
terms_abstract_tfidf__analyzing,-0.002709565062991791
