feature,r
terms_abstract_tfidf__001,0.003742206213399144
terms_abstract_tfidf__01,-0.004980805442012664
terms_abstract_tfidf__05,-0.005553059276999614
terms_abstract_tfidf__10,-0.005545658192775738
terms_abstract_tfidf__100,-0.005147515773881192
terms_abstract_tfidf__11,0.011333140724623802
terms_abstract_tfidf__12,0.006525138273648192
terms_abstract_tfidf__12 healthy,0.007671867447090504
terms_abstract_tfidf__13,0.008982056458792034
terms_abstract_tfidf__14,-0.007285028608959081
terms_abstract_tfidf__14 healthy,-0.003462042381055239
terms_abstract_tfidf__15,-0.006259277729347071
terms_abstract_tfidf__15 healthy,0.009848373952712932
terms_abstract_tfidf__16,0.011035634545232618
terms_abstract_tfidf__16 healthy,0.0018421388380197089
terms_abstract_tfidf__17,0.01515027196600592
terms_abstract_tfidf__18,0.0013627048359105944
terms_abstract_tfidf__18 healthy,-0.0002533158763727571
terms_abstract_tfidf__19,0.004577532823164146
terms_abstract_tfidf__20,-0.0027343934529517264
terms_abstract_tfidf__20 healthy,-0.0038568702784162246
terms_abstract_tfidf__200,0.006905452876610493
terms_abstract_tfidf__2014,-0.012793065749739391
terms_abstract_tfidf__21,-0.0038057301879942705
terms_abstract_tfidf__22,-0.0073304366813950195
terms_abstract_tfidf__23,-0.001992322299969068
terms_abstract_tfidf__24,0.011449744034847685
terms_abstract_tfidf__25,-0.003160577155186159
terms_abstract_tfidf__26,0.011829184555464766
terms_abstract_tfidf__27,-0.0073352004584254634
terms_abstract_tfidf__28,-0.00491718388715367
terms_abstract_tfidf__29,0.011918897370414235
terms_abstract_tfidf__30,-0.004637153027876526
terms_abstract_tfidf__31,0.016962564148653485
terms_abstract_tfidf__32,0.0028667678374880517
terms_abstract_tfidf__33,7.24415802538366e-05
terms_abstract_tfidf__34,-0.00027324867470485624
terms_abstract_tfidf__35,-0.0016136983496947848
terms_abstract_tfidf__36,-0.004809280760741947
terms_abstract_tfidf__37,-0.0037565724502665555
terms_abstract_tfidf__38,-0.013781713664024838
terms_abstract_tfidf__39,0.006818525932911149
terms_abstract_tfidf__3d,-0.004137468253128807
terms_abstract_tfidf__3t,-0.007931790383686698
terms_abstract_tfidf__40,-0.01582348904393866
terms_abstract_tfidf__41,0.000162355072474491
terms_abstract_tfidf__42,-0.012144767217149187
terms_abstract_tfidf__43,-0.0022055576037059935
terms_abstract_tfidf__44,-0.000866996978676147
terms_abstract_tfidf__45,-0.013722087702305744
terms_abstract_tfidf__46,0.007663473761252883
terms_abstract_tfidf__47,-0.002358444007951442
terms_abstract_tfidf__48,-0.007344365882803105
terms_abstract_tfidf__49,-0.008188380266042225
terms_abstract_tfidf__50,0.0004072777738718425
terms_abstract_tfidf__60,-0.0028938323197696732
terms_abstract_tfidf__70,0.00616550715494035
terms_abstract_tfidf__75,-0.001596673434334412
terms_abstract_tfidf__80,-0.007475074377248824
terms_abstract_tfidf__90,-0.005536641185923512
terms_abstract_tfidf__aberrant,0.001720563039494687
terms_abstract_tfidf__abilities,-0.003764446993989175
terms_abstract_tfidf__ability,-0.0017962344972551592
terms_abstract_tfidf__able,-0.0007681413958760549
terms_abstract_tfidf__abnormal,-0.003122011744386469
terms_abstract_tfidf__abnormalities,-0.0005556501180470452
terms_abstract_tfidf__abnormality,0.0031363754065327535
terms_abstract_tfidf__absence,-0.0009385982181283109
terms_abstract_tfidf__absent,-0.00947582656814159
terms_abstract_tfidf__abstract,-0.006977203507219878
terms_abstract_tfidf__abuse,0.006290283463442294
terms_abstract_tfidf__acc,0.030295938916642087
terms_abstract_tfidf__access,-0.002911904741175443
terms_abstract_tfidf__accompanied,0.012250288815377283
terms_abstract_tfidf__accordance,0.0013902827750014977
terms_abstract_tfidf__according,0.0003412426356588069
terms_abstract_tfidf__accordingly,0.004187125075810585
terms_abstract_tfidf__account,-0.0006788698493321837
terms_abstract_tfidf__accounted,0.006294458967126647
terms_abstract_tfidf__accounts,0.009707480966726533
terms_abstract_tfidf__accumbens,-0.0031733208687205164
terms_abstract_tfidf__accuracy,-0.011208140169564541
terms_abstract_tfidf__accurate,0.010007064525060805
terms_abstract_tfidf__accurately,-5.2636474914861264e-05
terms_abstract_tfidf__achieve,-0.0021013236838628275
terms_abstract_tfidf__achieved,-0.002868164555428531
terms_abstract_tfidf__acoustic,-0.0137829475916118
terms_abstract_tfidf__acquired,0.007584335077931016
terms_abstract_tfidf__acquisition,-0.017448167389473655
terms_abstract_tfidf__act,-0.004763458108726523
terms_abstract_tfidf__action,-0.005448777960132908
terms_abstract_tfidf__action observation,0.002072973669369001
terms_abstract_tfidf__actions,-0.007125910520405098
terms_abstract_tfidf__activate,-0.0011716201213347844
terms_abstract_tfidf__activates,-0.004066126101618509
terms_abstract_tfidf__activations,-0.00420655966523651
terms_abstract_tfidf__active,0.006640181191950588
terms_abstract_tfidf__actively,-0.013512876353994322
terms_abstract_tfidf__activities,0.0038264616613159093
terms_abstract_tfidf__acts,-0.005136290758121577
terms_abstract_tfidf__actual,0.0020962321333623593
terms_abstract_tfidf__actually,0.0004135384133140478
terms_abstract_tfidf__acute,0.0010048600328613079
terms_abstract_tfidf__ad,-0.0035968341073714005
