feature,r
terms_abstract_tfidf__001,-0.0146697504208931
terms_abstract_tfidf__01,-0.0019386846435737
terms_abstract_tfidf__05,-0.0276440664352167
terms_abstract_tfidf__10,-0.012952778912185
terms_abstract_tfidf__100,-0.0007201308282992
terms_abstract_tfidf__11,-0.013418471018138
terms_abstract_tfidf__12,-0.0089165065061334
terms_abstract_tfidf__12 healthy,0.0105414749053366
terms_abstract_tfidf__13,-0.0040697334831368
terms_abstract_tfidf__14,-0.0045319416233021
terms_abstract_tfidf__14 healthy,0.0018266110801864
terms_abstract_tfidf__15,-0.0072506499546692
terms_abstract_tfidf__15 healthy,0.0016894728387505
terms_abstract_tfidf__16,-0.0193942645664635
terms_abstract_tfidf__16 healthy,-0.0146399562249594
terms_abstract_tfidf__17,-0.001229388614124
terms_abstract_tfidf__18,-0.0146499622524018
terms_abstract_tfidf__18 healthy,-0.0092796362004149
terms_abstract_tfidf__19,-0.0104114880645897
terms_abstract_tfidf__20,-0.0186624008696469
terms_abstract_tfidf__20 healthy,0.0061347207072839
terms_abstract_tfidf__200,0.0078907696200328
terms_abstract_tfidf__2014,0.0017108469958276
terms_abstract_tfidf__21,-0.0194234370054524
terms_abstract_tfidf__22,-0.0053028947033336
terms_abstract_tfidf__23,-0.014956964498924
terms_abstract_tfidf__24,-0.0125543504239409
terms_abstract_tfidf__25,-0.0105633230675151
terms_abstract_tfidf__26,-0.001948963165937
terms_abstract_tfidf__27,-0.0169305695941674
terms_abstract_tfidf__28,-0.0027940003073993
terms_abstract_tfidf__29,-0.0031979842345681
terms_abstract_tfidf__30,-0.0095719022055958
terms_abstract_tfidf__31,0.0066057770622358
terms_abstract_tfidf__32,-0.0103373366029741
terms_abstract_tfidf__33,-0.012092956956918
terms_abstract_tfidf__34,-0.0073114691280736
terms_abstract_tfidf__35,-0.004201160690165
terms_abstract_tfidf__36,-0.0045536051734756
terms_abstract_tfidf__37,-0.0064437605337161
terms_abstract_tfidf__38,-0.0087925373239826
terms_abstract_tfidf__39,0.0149803115761077
terms_abstract_tfidf__3d,-0.0046310647910639
terms_abstract_tfidf__3t,-0.0179417614321107
terms_abstract_tfidf__40,-0.009572955915172
terms_abstract_tfidf__41,-0.0073954042111032
terms_abstract_tfidf__42,-0.0063460684366966
terms_abstract_tfidf__43,-0.0130040507695798
terms_abstract_tfidf__44,0.0076202963254033
terms_abstract_tfidf__45,0.0106536000906589
terms_abstract_tfidf__46,-0.0061700961223781
terms_abstract_tfidf__47,0.0073373251111322
terms_abstract_tfidf__48,-0.0194415458504931
terms_abstract_tfidf__49,-0.0010093551563454
terms_abstract_tfidf__50,-0.0107926015198062
terms_abstract_tfidf__60,-0.0088660862058743
terms_abstract_tfidf__70,0.0042804320913413
terms_abstract_tfidf__75,-0.0061405401842316
terms_abstract_tfidf__80,0.0060442873440361
terms_abstract_tfidf__90,0.0015905716730886
terms_abstract_tfidf__aberrant,0.0054273349490332
terms_abstract_tfidf__abilities,-0.0035058466348894
terms_abstract_tfidf__ability,0.0099457066908177
terms_abstract_tfidf__able,0.0067014699255217
terms_abstract_tfidf__abnormal,-0.0218221371680475
terms_abstract_tfidf__abnormalities,-0.0226077339529828
terms_abstract_tfidf__abnormality,-0.0138709747057243
terms_abstract_tfidf__absence,7.372862971193228e-05
terms_abstract_tfidf__absent,0.0063373711796432
terms_abstract_tfidf__abstract,0.022899447708195
