feature,r
terms_abstract_tfidf__001,-0.0096858126720597
terms_abstract_tfidf__01,0.006893519360938
terms_abstract_tfidf__05,-0.0050073774757901
terms_abstract_tfidf__10,0.0066098730233909
terms_abstract_tfidf__100,-0.0052114517764075
terms_abstract_tfidf__11,-0.0030965263860415
terms_abstract_tfidf__12,-0.0024160591826455
terms_abstract_tfidf__12 healthy,-0.004289912241954
terms_abstract_tfidf__13,0.0066666343709948
terms_abstract_tfidf__14,0.001827768810626
terms_abstract_tfidf__14 healthy,0.0066354164478733
terms_abstract_tfidf__15,-0.0045641800244195
terms_abstract_tfidf__15 healthy,0.0062510375155829
terms_abstract_tfidf__16,0.0046150500340223
terms_abstract_tfidf__16 healthy,-0.0016315662263031
terms_abstract_tfidf__17,0.0017442247035083
terms_abstract_tfidf__18,0.0001178641437008
terms_abstract_tfidf__18 healthy,-0.0087864380956964
terms_abstract_tfidf__19,-0.0050855993774832
terms_abstract_tfidf__20,-0.0002559693967177
terms_abstract_tfidf__20 healthy,0.0110302392623931
terms_abstract_tfidf__200,0.0003648369476983
terms_abstract_tfidf__2014,-0.0014686905700672
terms_abstract_tfidf__21,0.010676563580891
terms_abstract_tfidf__22,-0.0078177326112295
terms_abstract_tfidf__23,0.0005307380036171
terms_abstract_tfidf__24,-3.385369414855002e-05
terms_abstract_tfidf__25,0.0104754322938607
terms_abstract_tfidf__26,0.0084704617223543
terms_abstract_tfidf__27,0.0137327312135889
terms_abstract_tfidf__28,0.0017072027516286
terms_abstract_tfidf__29,0.0269413496216611
terms_abstract_tfidf__30,-0.005334476027396
terms_abstract_tfidf__31,0.0121052692563728
terms_abstract_tfidf__32,0.0201535121483782
terms_abstract_tfidf__33,-0.0100698261497655
terms_abstract_tfidf__34,0.0042622695815948
terms_abstract_tfidf__35,0.0069209601768587
terms_abstract_tfidf__36,-0.0092747140939917
terms_abstract_tfidf__37,0.0076161082760047
terms_abstract_tfidf__38,-0.0001454337961636
terms_abstract_tfidf__39,0.0097373584571158
terms_abstract_tfidf__3d,-0.0183666134703125
