feature,r
terms_abstract_tfidf__001,-0.0086399888220535
terms_abstract_tfidf__01,0.0060467074149189
terms_abstract_tfidf__05,-0.0159733459268523
terms_abstract_tfidf__10,-0.0020834127904244
terms_abstract_tfidf__100,-0.0001331373885789
terms_abstract_tfidf__11,-0.0037999851125041
terms_abstract_tfidf__12,-0.0101677603554544
terms_abstract_tfidf__12 healthy,0.0041499311961838
terms_abstract_tfidf__13,-0.0009572644255164
terms_abstract_tfidf__14,-0.0031115714755436
terms_abstract_tfidf__14 healthy,-0.0070118649115087
terms_abstract_tfidf__15,-0.0071141245783596
terms_abstract_tfidf__15 healthy,0.0216323184542012
terms_abstract_tfidf__16,-0.0026278381557062
terms_abstract_tfidf__16 healthy,-0.0036283270541846
terms_abstract_tfidf__17,0.0126038479014539
terms_abstract_tfidf__18,-0.0069709222313102
terms_abstract_tfidf__18 healthy,0.0011473809845709
terms_abstract_tfidf__19,0.0016309018917611
terms_abstract_tfidf__20,-0.0022469158478262
terms_abstract_tfidf__20 healthy,-0.0009073631894906
terms_abstract_tfidf__200,0.0002444114648605
terms_abstract_tfidf__2014,0.0101778878247043
terms_abstract_tfidf__21,0.0001755100584242
terms_abstract_tfidf__22,0.0019345921285408
terms_abstract_tfidf__23,-0.0025463716448284
terms_abstract_tfidf__24,0.0025209422204366
terms_abstract_tfidf__25,0.0009202104512174
terms_abstract_tfidf__26,0.0006027618001292
terms_abstract_tfidf__27,0.0086137974208301
terms_abstract_tfidf__28,0.0036718468950165
terms_abstract_tfidf__29,0.0150950350484084
terms_abstract_tfidf__30,-0.0122779043681868
terms_abstract_tfidf__31,0.0172793357846597
terms_abstract_tfidf__32,0.01182776836307
terms_abstract_tfidf__33,-0.0065266684199643
terms_abstract_tfidf__34,-0.005591738365104
terms_abstract_tfidf__35,0.0019275405895562
terms_abstract_tfidf__36,-0.010163644285767
terms_abstract_tfidf__37,-0.0184665410515696
terms_abstract_tfidf__38,4.87529523101473e-05
terms_abstract_tfidf__39,-0.0015514575385258
terms_abstract_tfidf__3d,-0.0125001247770557
terms_abstract_tfidf__3t,-0.0099010388921254
terms_abstract_tfidf__40,-0.0223664354933896
terms_abstract_tfidf__41,0.0062700209091064
terms_abstract_tfidf__42,-0.0028847058306777
terms_abstract_tfidf__43,-0.0075945870548379
terms_abstract_tfidf__44,-0.0134515635836047
terms_abstract_tfidf__45,-0.0115781073125089
terms_abstract_tfidf__46,-0.0128990694693721
terms_abstract_tfidf__47,0.0093046333875416
terms_abstract_tfidf__48,-0.0061973716723093
terms_abstract_tfidf__49,7.291859090817758e-05
terms_abstract_tfidf__50,-0.0016115158802543
terms_abstract_tfidf__60,-0.0027148413834975
terms_abstract_tfidf__70,0.0115282163293873
terms_abstract_tfidf__75,0.0010150353207309
terms_abstract_tfidf__80,0.0021276713116701
terms_abstract_tfidf__90,0.0058341205823072
terms_abstract_tfidf__aberrant,0.0341162718253464
terms_abstract_tfidf__abilities,0.012034571645902
terms_abstract_tfidf__ability,0.0195398678208189
terms_abstract_tfidf__able,-0.0135004380455886
terms_abstract_tfidf__abnormal,-0.0008216424374961
terms_abstract_tfidf__abnormalities,-0.0167595417070801
terms_abstract_tfidf__abnormality,-0.0146646039035843
terms_abstract_tfidf__absence,-0.0012244841351685
