feature,r
terms_abstract_tfidf__001,-0.0113730619684089
terms_abstract_tfidf__01,0.000216154103365
terms_abstract_tfidf__05,-0.0125235376602329
terms_abstract_tfidf__10,-0.0035220986936143
terms_abstract_tfidf__100,-0.0164343968558335
terms_abstract_tfidf__11,-0.0113625243164943
terms_abstract_tfidf__12,-0.0076343450450337
terms_abstract_tfidf__12 healthy,-0.0023274223870412
terms_abstract_tfidf__13,-0.0044939168358799
terms_abstract_tfidf__14,-0.0062290688070732
terms_abstract_tfidf__14 healthy,0.0002909261312311
terms_abstract_tfidf__15,-0.0036523926761016
terms_abstract_tfidf__15 healthy,0.0112269877206369
terms_abstract_tfidf__16,-0.0069254520051347
terms_abstract_tfidf__16 healthy,-0.0039482200759835
terms_abstract_tfidf__17,-0.0019583157632646
terms_abstract_tfidf__18,-0.0095668854069041
terms_abstract_tfidf__18 healthy,0.0007827908633581
terms_abstract_tfidf__19,-0.0022854364382117
terms_abstract_tfidf__20,-0.0044225806635995
terms_abstract_tfidf__20 healthy,0.0041681222327258
terms_abstract_tfidf__200,-0.0063046640203024
terms_abstract_tfidf__2014,0.002682721065799
terms_abstract_tfidf__21,-0.0075188110449301
terms_abstract_tfidf__22,-0.0095823498003941
terms_abstract_tfidf__23,-0.0058056477299351
terms_abstract_tfidf__24,0.0003679111018732
terms_abstract_tfidf__25,-0.0053253160141954
terms_abstract_tfidf__26,-0.0059514294346614
terms_abstract_tfidf__27,-0.0145990615487167
terms_abstract_tfidf__28,0.0070672230037804
terms_abstract_tfidf__29,0.009465507209745
terms_abstract_tfidf__30,-0.0164625071799725
terms_abstract_tfidf__31,0.0057116011672739
terms_abstract_tfidf__32,0.0154603256966676
terms_abstract_tfidf__33,-0.0154137623658481
terms_abstract_tfidf__34,-0.0103211784683679
terms_abstract_tfidf__35,0.0057211219486417
terms_abstract_tfidf__36,-0.0136892429403755
terms_abstract_tfidf__37,-0.0002824590118915
terms_abstract_tfidf__38,-0.0034729304659496
terms_abstract_tfidf__39,-0.0036761377289566
terms_abstract_tfidf__3d,-0.0196913252443856
terms_abstract_tfidf__3t,-0.0066121286753537
terms_abstract_tfidf__40,-0.0202784677145198
terms_abstract_tfidf__41,-0.010208673042781
terms_abstract_tfidf__42,-0.0082634165749592
terms_abstract_tfidf__43,-0.0004491393186909
terms_abstract_tfidf__44,-0.0157296027709953
terms_abstract_tfidf__45,-0.0071640545013214
terms_abstract_tfidf__46,-0.0089322565079018
terms_abstract_tfidf__47,0.0042733957414079
terms_abstract_tfidf__48,-0.0091527431154508
terms_abstract_tfidf__49,-0.0104964640547799
terms_abstract_tfidf__50,-0.0174215411133343
terms_abstract_tfidf__60,-0.0208185458139103
terms_abstract_tfidf__70,-0.0026524868445684
terms_abstract_tfidf__75,-0.0111482037086803
terms_abstract_tfidf__80,-0.0006285870436641
terms_abstract_tfidf__90,-0.0031140443516325
terms_abstract_tfidf__aberrant,0.0052036299160724
terms_abstract_tfidf__abilities,0.0017021135918543
terms_abstract_tfidf__ability,-0.0081018454262213
terms_abstract_tfidf__able,-0.0117151437657114
terms_abstract_tfidf__abnormal,3.933817226594859e-05
terms_abstract_tfidf__abnormalities,-0.0204477939267363
terms_abstract_tfidf__abnormality,-0.001973779399454
terms_abstract_tfidf__absence,-0.0062668281387803
terms_abstract_tfidf__absent,-0.003647561902197
terms_abstract_tfidf__abstract,0.0052229747264163
terms_abstract_tfidf__abuse,0.0002311774610432
terms_abstract_tfidf__acc,0.0156815788231817
terms_abstract_tfidf__access,-0.0137180923328918
terms_abstract_tfidf__accompanied,0.0187927759927441
terms_abstract_tfidf__accordance,-0.009410630249634
terms_abstract_tfidf__according,-0.0157446042802039
terms_abstract_tfidf__accordingly,0.0029035080030117
terms_abstract_tfidf__account,-0.0109438401404767
terms_abstract_tfidf__accounted,-0.0141149698537182
terms_abstract_tfidf__accounts,0.0043126062762497
terms_abstract_tfidf__accumbens,-0.0016444980225946
terms_abstract_tfidf__accuracy,-0.0050033274101196
terms_abstract_tfidf__accurate,0.0080464308249131
terms_abstract_tfidf__accurately,-0.0022730168383008
terms_abstract_tfidf__achieve,-0.0002706454658251
terms_abstract_tfidf__achieved,-0.0012015892950087
terms_abstract_tfidf__acoustic,-0.0070389906577923
terms_abstract_tfidf__acquired,-0.0064628117250577
terms_abstract_tfidf__acquisition,-0.0173987599515772
terms_abstract_tfidf__act,0.0002905521957947
terms_abstract_tfidf__action,-0.0145127777518607
terms_abstract_tfidf__action observation,-0.006914055394799
terms_abstract_tfidf__actions,-0.0076301902318776
terms_abstract_tfidf__activate,0.0033782920919987
terms_abstract_tfidf__activates,-0.0064385873939271
terms_abstract_tfidf__activations,0.0060713789722887
terms_abstract_tfidf__active,0.0001787229684368
terms_abstract_tfidf__actively,-0.0122182381695244
terms_abstract_tfidf__activities,0.0003168357955669
terms_abstract_tfidf__acts,-0.0139713191288859
terms_abstract_tfidf__actual,-0.0138440235963834
terms_abstract_tfidf__actually,0.0012763212957918
terms_abstract_tfidf__acute,-0.0030284608236722
terms_abstract_tfidf__ad,-0.0072289055793466
terms_abstract_tfidf__adaptation,-0.0327495108008638
terms_abstract_tfidf__adapted,-0.0036413176283741
terms_abstract_tfidf__adaptive,-0.001047281754034
terms_abstract_tfidf__add,-0.0045429218722276
terms_abstract_tfidf__addiction,-0.0007845943814337
terms_abstract_tfidf__addition,-0.0157872501377665
terms_abstract_tfidf__additional,-0.0108047792434214
terms_abstract_tfidf__additionally,0.0103261242980711
terms_abstract_tfidf__addressed,0.0141671802000829
terms_abstract_tfidf__adhd,0.0016894780561162
terms_abstract_tfidf__adjacent,-0.0197800299939991
terms_abstract_tfidf__administered,-0.0064510736210011
terms_abstract_tfidf__administration,-0.0073175608387672
terms_abstract_tfidf__adolescence,0.0164097549428068
terms_abstract_tfidf__adolescent,0.0056826594975711
terms_abstract_tfidf__adolescents,0.0226189134956066
terms_abstract_tfidf__adopted,-0.0098218429745226
terms_abstract_tfidf__adult,-0.0026954793678795
terms_abstract_tfidf__adulthood,0.0177835674209719
terms_abstract_tfidf__adults,0.026848582255799
terms_abstract_tfidf__advance,-0.0081582323453867
terms_abstract_tfidf__advanced,-0.0069602039568006
terms_abstract_tfidf__advances,0.0023899167945573
terms_abstract_tfidf__advantage,-0.0100951268428795
terms_abstract_tfidf__affect,0.0234183298142987
terms_abstract_tfidf__affected,-0.0003537731227086
terms_abstract_tfidf__affecting,0.003000295935694
terms_abstract_tfidf__affective,0.0571905904190437
terms_abstract_tfidf__affects,0.0085283860364372
terms_abstract_tfidf__age,0.0104245531349084
terms_abstract_tfidf__age controls,-0.017135277748583
terms_abstract_tfidf__age gender,-0.0024608915179243
terms_abstract_tfidf__age groups,0.0306470872944593
terms_abstract_tfidf__age healthy,-0.0144905924953663
terms_abstract_tfidf__age sex,-0.0011407562668582
terms_abstract_tfidf__aged,0.0025991268833991
terms_abstract_tfidf__agent,0.0058193022080002
terms_abstract_tfidf__ages,0.0077935122179099
terms_abstract_tfidf__aging,0.023570594807103
terms_abstract_tfidf__agreement,-0.0045601161832716
terms_abstract_tfidf__aim,-0.0117395511096599
terms_abstract_tfidf__aimed,0.0079212702578727
terms_abstract_tfidf__aims,-0.0104035645548764
terms_abstract_tfidf__al,-0.0084766585350749
terms_abstract_tfidf__alcohol,0.0009917443554618
terms_abstract_tfidf__alff,0.0002248746017428
terms_abstract_tfidf__algorithm,0.0059549428101437
terms_abstract_tfidf__allele,-0.0058789887432335
terms_abstract_tfidf__allocation,0.0071314586138301
terms_abstract_tfidf__allow,0.0056037705539407
terms_abstract_tfidf__allowed,-0.0048937934097148
terms_abstract_tfidf__allowing,-0.0144442588457876
terms_abstract_tfidf__allows,-0.0159212205127259
terms_abstract_tfidf__alpha,-0.0151450051790522
terms_abstract_tfidf__alter,-0.0016422563471708
terms_abstract_tfidf__alteration,0.0011001407109989
terms_abstract_tfidf__alterations,-0.0006540578198148
terms_abstract_tfidf__altered,0.0058171595110389
terms_abstract_tfidf__alternating,-0.0101323283834697
terms_abstract_tfidf__alternative,0.0050460511807566
terms_abstract_tfidf__alters,-0.0041214543423053
terms_abstract_tfidf__alzheimer,0.0079138091709808
terms_abstract_tfidf__alzheimer disease,0.0080120625468765
terms_abstract_tfidf__ambiguous,0.0133056063361901
terms_abstract_tfidf__amnestic,0.00335472952506
terms_abstract_tfidf__amplitude,-0.0102649434689907
terms_abstract_tfidf__amplitude low,0.0002058728348014
terms_abstract_tfidf__amplitudes,0.0011754491762175
terms_abstract_tfidf__amygdala,0.0266295423607492
terms_abstract_tfidf__amygdala anterior,0.0050789507705688
terms_abstract_tfidf__amygdala hippocampus,0.016175559604874
terms_abstract_tfidf__amygdala insula,0.0286527517340841
terms_abstract_tfidf__amygdala response,-0.005593729692034
terms_abstract_tfidf__amygdala responses,-0.0126811319806404
terms_abstract_tfidf__analysed,-0.003843414269681
terms_abstract_tfidf__analyses,0.0072852442400696
terms_abstract_tfidf__analyze,-0.0051269050036544
terms_abstract_tfidf__analyzed,-0.0054592617781081
terms_abstract_tfidf__analyzed using,-0.0149659318104022
terms_abstract_tfidf__analyzing,-0.0172193221019992
terms_abstract_tfidf__anatomical,-0.0261404770408079
terms_abstract_tfidf__anatomically,0.0012762235971373
terms_abstract_tfidf__anatomy,-0.009983974251202
terms_abstract_tfidf__anger,0.0197995171683239
terms_abstract_tfidf__angry,-0.0052095400179958
terms_abstract_tfidf__angular,0.0023118945350516
terms_abstract_tfidf__angular gyrus,0.0022977039218915
terms_abstract_tfidf__animal,-0.0131717951421725
terms_abstract_tfidf__animals,-0.0123477076834655
terms_abstract_tfidf__anisotropy,-0.0260031035831554
terms_abstract_tfidf__anisotropy fa,-0.0288601012913283
terms_abstract_tfidf__anterior,0.0457376136961955
terms_abstract_tfidf__anterior cingulate,0.051150982387069
terms_abstract_tfidf__anterior hippocampus,0.0131812152419574
terms_abstract_tfidf__anterior insula,0.0117377925454585
terms_abstract_tfidf__anterior insular,-0.0136477277843026
terms_abstract_tfidf__anterior intraparietal,-0.0220776953667605
terms_abstract_tfidf__anterior medial,0.0752784508347802
terms_abstract_tfidf__anterior posterior,0.0140199164951662
terms_abstract_tfidf__anterior prefrontal,0.0203275189341606
terms_abstract_tfidf__anterior superior,-0.0056359415535742
terms_abstract_tfidf__anterior temporal,0.0082801207590556
terms_abstract_tfidf__anti,0.0061573140099489
terms_abstract_tfidf__anticipation,0.0103020076207765
terms_abstract_tfidf__anticipatory,0.0053296678082031
terms_abstract_tfidf__anxiety,0.0013334715144192
terms_abstract_tfidf__anxiety disorders,-0.005372988694237
terms_abstract_tfidf__apart,-0.0111434474827276
terms_abstract_tfidf__aphasia,-0.0029133057260139
terms_abstract_tfidf__apparent,-0.0139114838079404
terms_abstract_tfidf__appear,-0.0106916396294096
terms_abstract_tfidf__appeared,-0.0168652957380781
terms_abstract_tfidf__appears,-0.0076565709282829
terms_abstract_tfidf__application,0.0097770623457085
terms_abstract_tfidf__applied,-0.0122205913497259
terms_abstract_tfidf__apply,0.010019930982828
terms_abstract_tfidf__applying,-0.0028773903665716
terms_abstract_tfidf__appraisal,0.0253216890708794
