feature,r
terms_abstract_tfidf__001,-0.0105157841632588
terms_abstract_tfidf__01,-0.0113249709109898
terms_abstract_tfidf__05,-0.0137961095344659
terms_abstract_tfidf__10,-0.0067928333997312
terms_abstract_tfidf__100,-0.0187917936821148
terms_abstract_tfidf__11,-1.2036774037713514e-05
terms_abstract_tfidf__12,0.0041205575073419
terms_abstract_tfidf__12 healthy,-0.0143213548332601
terms_abstract_tfidf__13,0.004539249819869
terms_abstract_tfidf__14,-0.0035611810363071
terms_abstract_tfidf__14 healthy,-0.0076183969733999
terms_abstract_tfidf__15,-0.0094364898952441
terms_abstract_tfidf__15 healthy,0.0087681622576553
terms_abstract_tfidf__16,-0.0039586471704075
terms_abstract_tfidf__16 healthy,-0.0086142118597443
terms_abstract_tfidf__17,-0.014273565172442
terms_abstract_tfidf__18,-0.0083180768903172
terms_abstract_tfidf__18 healthy,0.0067112064953883
terms_abstract_tfidf__19,-0.009508333423064
terms_abstract_tfidf__20,-0.0140507233382121
terms_abstract_tfidf__20 healthy,-0.0158304584567696
terms_abstract_tfidf__200,-0.0085809394238053
terms_abstract_tfidf__2014,-0.0070352392573513
terms_abstract_tfidf__21,0.0088487140914637
terms_abstract_tfidf__22,-0.0067007291293626
terms_abstract_tfidf__23,-0.0099975965261341
terms_abstract_tfidf__24,-0.0130920059419436
terms_abstract_tfidf__25,-0.002010616508404
terms_abstract_tfidf__26,-0.0129808088289542
terms_abstract_tfidf__27,-0.0164577621980886
terms_abstract_tfidf__28,0.0031276118716776
terms_abstract_tfidf__29,-0.0051569124931824
terms_abstract_tfidf__30,-0.0095136257363237
terms_abstract_tfidf__31,-0.021925390042942
terms_abstract_tfidf__32,-0.0039740803131134
terms_abstract_tfidf__33,-0.007956437175739
terms_abstract_tfidf__34,-0.0071310676610948
terms_abstract_tfidf__35,-0.0112671699015739
terms_abstract_tfidf__36,-0.0195164297271439
terms_abstract_tfidf__37,-0.0070510264769855
terms_abstract_tfidf__38,0.0068257474432017
terms_abstract_tfidf__39,-0.0068457183322839
terms_abstract_tfidf__3d,-0.0160441307182731
terms_abstract_tfidf__3t,-0.0075105830411075
terms_abstract_tfidf__40,-0.0222454134774323
terms_abstract_tfidf__41,-0.0136099279700254
terms_abstract_tfidf__42,-0.0103892369669758
terms_abstract_tfidf__43,-0.0001246614536013
terms_abstract_tfidf__44,0.0041170645690465
terms_abstract_tfidf__45,0.0249913564692325
terms_abstract_tfidf__46,0.0018163684314142
terms_abstract_tfidf__47,0.0574484398069808
terms_abstract_tfidf__48,-0.0119871184225358
terms_abstract_tfidf__49,-0.0087493491085104
terms_abstract_tfidf__50,6.666292521537814e-05
terms_abstract_tfidf__60,-0.0076519428690489
terms_abstract_tfidf__70,0.0046723502972537
terms_abstract_tfidf__75,0.0007993906343507
terms_abstract_tfidf__80,-0.009488955862505
terms_abstract_tfidf__90,-0.0044215100802141
terms_abstract_tfidf__aberrant,0.0034276235129706
terms_abstract_tfidf__abilities,-0.0032617151365473
terms_abstract_tfidf__ability,0.0022142204680774
terms_abstract_tfidf__able,-0.0067949897922884
terms_abstract_tfidf__abnormal,-0.0248333513231028
terms_abstract_tfidf__abnormalities,-0.029461601597503
terms_abstract_tfidf__abnormality,-0.0034699081062182
terms_abstract_tfidf__absence,-0.0188454864460563
terms_abstract_tfidf__absent,-0.0024329799566056
terms_abstract_tfidf__abstract,0.0072872588145798
terms_abstract_tfidf__abuse,-0.001154143975785
terms_abstract_tfidf__acc,0.011462430332746
terms_abstract_tfidf__access,0.0221757217712034
terms_abstract_tfidf__accompanied,0.0047914823688327
terms_abstract_tfidf__accordance,-0.0214109890854457
terms_abstract_tfidf__according,0.0073283214912092
