feature,r
terms_abstract_tfidf__001,0.0037422062133991
terms_abstract_tfidf__01,-0.0049808054420126
terms_abstract_tfidf__05,-0.0055530592769996
terms_abstract_tfidf__10,-0.0055456581927757
terms_abstract_tfidf__100,-0.0051475157738811
terms_abstract_tfidf__11,0.0113331407246238
terms_abstract_tfidf__12,0.0065251382736481
terms_abstract_tfidf__12 healthy,0.0076718674470905
terms_abstract_tfidf__13,0.008982056458792
terms_abstract_tfidf__14,-0.007285028608959
terms_abstract_tfidf__14 healthy,-0.0034620423810552
terms_abstract_tfidf__15,-0.006259277729347
terms_abstract_tfidf__15 healthy,0.0098483739527129
terms_abstract_tfidf__16,0.0110356345452326
terms_abstract_tfidf__16 healthy,0.0018421388380197
terms_abstract_tfidf__17,0.0151502719660059
terms_abstract_tfidf__18,0.0013627048359105
terms_abstract_tfidf__18 healthy,-0.0002533158763727
terms_abstract_tfidf__19,0.0045775328231641
terms_abstract_tfidf__20,-0.0027343934529517
terms_abstract_tfidf__20 healthy,-0.0038568702784162
terms_abstract_tfidf__200,0.0069054528766104
terms_abstract_tfidf__2014,-0.0127930657497393
terms_abstract_tfidf__21,-0.0038057301879942
terms_abstract_tfidf__22,-0.007330436681395
terms_abstract_tfidf__23,-0.001992322299969
terms_abstract_tfidf__24,0.0114497440348476
terms_abstract_tfidf__25,-0.0031605771551861
terms_abstract_tfidf__26,0.0118291845554647
terms_abstract_tfidf__27,-0.0073352004584254
terms_abstract_tfidf__28,-0.0049171838871536
terms_abstract_tfidf__29,0.0119188973704142
terms_abstract_tfidf__30,-0.0046371530278765
terms_abstract_tfidf__31,0.0169625641486534
terms_abstract_tfidf__32,0.002866767837488
terms_abstract_tfidf__33,7.24415802538366e-05
terms_abstract_tfidf__34,-0.0002732486747048
terms_abstract_tfidf__35,-0.0016136983496947
terms_abstract_tfidf__36,-0.0048092807607419
terms_abstract_tfidf__37,-0.0037565724502665
terms_abstract_tfidf__38,-0.0137817136640248
terms_abstract_tfidf__39,0.0068185259329111
terms_abstract_tfidf__3d,-0.0041374682531288
terms_abstract_tfidf__3t,-0.0079317903836866
terms_abstract_tfidf__40,-0.0158234890439386
terms_abstract_tfidf__41,0.0001623550724744
terms_abstract_tfidf__42,-0.0121447672171491
terms_abstract_tfidf__43,-0.0022055576037059
terms_abstract_tfidf__44,-0.0008669969786761
terms_abstract_tfidf__45,-0.0137220877023057
terms_abstract_tfidf__46,0.0076634737612528
terms_abstract_tfidf__47,-0.0023584440079514
terms_abstract_tfidf__48,-0.0073443658828031
terms_abstract_tfidf__49,-0.0081883802660422
terms_abstract_tfidf__50,0.0004072777738718
terms_abstract_tfidf__60,-0.0028938323197696
terms_abstract_tfidf__70,0.0061655071549403
terms_abstract_tfidf__75,-0.0015966734343344
terms_abstract_tfidf__80,-0.0074750743772488
terms_abstract_tfidf__90,-0.0055366411859235
terms_abstract_tfidf__aberrant,0.0017205630394946
terms_abstract_tfidf__abilities,-0.0037644469939891
