feature,r
terms_abstract_tfidf__action,0.10799798436578142
terms_abstract_tfidf__adaptation,0.10007456824606563
terms_abstract_tfidf__addiction,0.23365997781088987
terms_abstract_tfidf__anticipation,0.216475309237475
terms_abstract_tfidf__anxiety,0.2681108070291985
terms_abstract_tfidf__aphasia,0.11927804168931294
terms_abstract_tfidf__arousal,0.2963127273779071
terms_abstract_tfidf__association,0.26403629264298584
terms_abstract_tfidf__attention,0.16130020611287071
terms_abstract_tfidf__autobiographical memory,0.3798009076540762
terms_abstract_tfidf__balance,0.23025961140441675
terms_abstract_tfidf__belief,0.342763310219109
terms_abstract_tfidf__bipolar disorder,0.27436288072265747
terms_abstract_tfidf__categorization,0.11308223570135327
terms_abstract_tfidf__cognitive control,0.217784227096698
terms_abstract_tfidf__communication,0.2815790376993883
terms_abstract_tfidf__competition,0.179872298673556
terms_abstract_tfidf__concept,0.3096159308039015
terms_abstract_tfidf__consciousness,0.18407126621321848
terms_abstract_tfidf__consolidation,0.2162149333452061
terms_abstract_tfidf__context,0.2871756883222846
terms_abstract_tfidf__coordination,0.015783903525291413
terms_abstract_tfidf__decision,0.29470380098995713
terms_abstract_tfidf__decision making,0.3239013641553399
terms_abstract_tfidf__dementia,0.2589735216940096
terms_abstract_tfidf__detection,0.12296110023660313
terms_abstract_tfidf__discrimination,0.11097582486970574
terms_abstract_tfidf__distraction,0.1597965300887638
terms_abstract_tfidf__dyslexia,0.09501914403108153
terms_abstract_tfidf__eating,0.21772082078702396
terms_abstract_tfidf__efficiency,0.18690156675326203
terms_abstract_tfidf__effort,0.15847342801064712
terms_abstract_tfidf__emotion,0.33204009514667354
terms_abstract_tfidf__emotion regulation,0.3248901454549383
terms_abstract_tfidf__empathy,0.2650457003633302
terms_abstract_tfidf__encoding,0.18379138378481186
terms_abstract_tfidf__episodic memory,0.26535199017135974
terms_abstract_tfidf__expectancy,0.16233960076115475
terms_abstract_tfidf__expertise,0.13863673402208393
terms_abstract_tfidf__extinction,0.17190192447015182
terms_abstract_tfidf__face recognition,0.11285191665795392
terms_abstract_tfidf__facial expression,0.11941482779372066
terms_abstract_tfidf__familiarity,0.235228680243773
terms_abstract_tfidf__fear,0.22804968245726376
terms_abstract_tfidf__fixation,0.06597013884199916
terms_abstract_tfidf__focus,0.25426655801058373
terms_abstract_tfidf__gaze,0.050828281775247015
terms_abstract_tfidf__goal,0.2341810145557776
terms_abstract_tfidf__hyperactivity,0.23941525357385518
terms_abstract_tfidf__imagery,0.03658823683105827
terms_abstract_tfidf__impulsivity,0.2911912467278692
terms_abstract_tfidf__induction,0.2030637927165621
terms_abstract_tfidf__inference,0.28433524548980543
terms_abstract_tfidf__inhibition,0.19387300348926317
terms_abstract_tfidf__insight,0.26669272998120414
terms_abstract_tfidf__integration,0.18114539868196167
terms_abstract_tfidf__intelligence,0.1607286364393606
terms_abstract_tfidf__intention,0.29538302461072874
terms_abstract_tfidf__interference,0.11616173972696865
terms_abstract_tfidf__judgment,0.2869383811008637
terms_abstract_tfidf__knowledge,0.27768383382667666
terms_abstract_tfidf__language,0.18040954250177527
terms_abstract_tfidf__language comprehension,0.19483084653510377
terms_abstract_tfidf__learning,0.18333813240473146
terms_abstract_tfidf__listening,0.1123364464988116
terms_abstract_tfidf__localization,0.07976593707102228
terms_abstract_tfidf__loss,0.26905727447455063
terms_abstract_tfidf__maintenance,0.15379802638495574
terms_abstract_tfidf__manipulation,0.13013482247600405
terms_abstract_tfidf__meaning,0.22313573674952616
terms_abstract_tfidf__memory,0.22070016314489785
terms_abstract_tfidf__memory retrieval,0.3219018004138755
terms_abstract_tfidf__mental imagery,0.06660276480239859
terms_abstract_tfidf__monitoring,0.22899318306541763
terms_abstract_tfidf__mood,0.3407370533913648
terms_abstract_tfidf__morphology,0.13649860731304095
terms_abstract_tfidf__motor control,0.017400971151233766
terms_abstract_tfidf__movement,-0.025115805174144176
terms_abstract_tfidf__multisensory,0.016570303885387404
terms_abstract_tfidf__naming,0.123036634255085
terms_abstract_tfidf__navigation,0.04546984021220875
terms_abstract_tfidf__object recognition,0.05522830246784051
terms_abstract_tfidf__pain,0.13029585653719417
terms_abstract_tfidf__passive viewing,0.1474251356334083
terms_abstract_tfidf__perception,0.12023851642134835
terms_abstract_tfidf__planning,0.05126424339539157
terms_abstract_tfidf__priming,0.15218553454605654
terms_abstract_tfidf__psychosis,0.31605679848960966
terms_abstract_tfidf__reading,0.13933844271606058
terms_abstract_tfidf__reasoning,0.31058032091388305
terms_abstract_tfidf__recall,0.25922983209163736
terms_abstract_tfidf__recognition,0.20322134609201337
terms_abstract_tfidf__rehearsal,0.08431522259641101
terms_abstract_tfidf__reinforcement learning,0.24165818424002733
terms_abstract_tfidf__response inhibition,0.16552668526145983
terms_abstract_tfidf__response selection,0.08881285192692892
terms_abstract_tfidf__retention,0.18015979876782923
terms_abstract_tfidf__retrieval,0.2766393419130241
terms_abstract_tfidf__reward anticipation,0.1941127218048197
terms_abstract_tfidf__rhythm,0.01713843646213807
terms_abstract_tfidf__risk,0.32661348191486494
terms_abstract_tfidf__rule,0.1784536838733016
terms_abstract_tfidf__salience,0.3367910973177092
terms_abstract_tfidf__schizophrenia,0.3410601365639074
terms_abstract_tfidf__search,0.15438924144862454
terms_abstract_tfidf__selective attention,0.08835241584326105
terms_abstract_tfidf__semantic memory,0.2687057124657191
terms_abstract_tfidf__sentence comprehension,0.21197224148012384
terms_abstract_tfidf__skill,0.09183477070167899
terms_abstract_tfidf__sleep,0.21338177382926868
terms_abstract_tfidf__social cognition,0.42505742318063217
terms_abstract_tfidf__spatial attention,0.020691168902044154
terms_abstract_tfidf__speech perception,0.0830212916537701
terms_abstract_tfidf__speech production,0.053860205041133036
terms_abstract_tfidf__strategy,0.2401547389754081
terms_abstract_tfidf__strength,0.26518222272925596
terms_abstract_tfidf__stress,0.269856100703452
terms_abstract_tfidf__sustained attention,0.14831862927461667
terms_abstract_tfidf__task difficulty,0.16605326634376857
terms_abstract_tfidf__thought,0.2753456574739686
terms_abstract_tfidf__timing,0.08490445170041742
terms_abstract_tfidf__transition,0.2076957056897982
terms_abstract_tfidf__uncertainty,0.2682856233534383
terms_abstract_tfidf__updating,0.1006927116188278
terms_abstract_tfidf__utility,0.23330576268321837
terms_abstract_tfidf__valence,0.35527968384774355
terms_abstract_tfidf__verbal fluency,0.1597139825863975
terms_abstract_tfidf__visual attention,0.08356184988152235
terms_abstract_tfidf__visual perception,0.053249511614697445
terms_abstract_tfidf__word recognition,0.14358602025379208
terms_abstract_tfidf__working memory,0.11624373191153194
