feature,r
terms_abstract_tfidf__action,0.024158318782570114
terms_abstract_tfidf__adaptation,0.036073082868566746
terms_abstract_tfidf__addiction,0.08764103531173459
terms_abstract_tfidf__anticipation,0.007208296104686368
terms_abstract_tfidf__anxiety,0.09266350726154264
terms_abstract_tfidf__aphasia,-0.02787843663871342
terms_abstract_tfidf__arousal,0.10988913120841644
terms_abstract_tfidf__association,0.10935319522583567
terms_abstract_tfidf__attention,0.09729711040305779
terms_abstract_tfidf__autobiographical memory,0.24502384757882395
terms_abstract_tfidf__balance,0.058508184323261964
terms_abstract_tfidf__belief,0.17062825053534944
terms_abstract_tfidf__bipolar disorder,0.11163558970564971
terms_abstract_tfidf__categorization,0.04555167830621287
terms_abstract_tfidf__cognitive control,0.14552126825289108
terms_abstract_tfidf__communication,0.053200522946319
terms_abstract_tfidf__competition,0.05997588837648864
terms_abstract_tfidf__concept,0.17995580177940113
terms_abstract_tfidf__consciousness,0.12811586292756044
terms_abstract_tfidf__consolidation,0.04957919548375457
terms_abstract_tfidf__context,0.10300985015670124
terms_abstract_tfidf__coordination,-0.05586149725011772
terms_abstract_tfidf__decision,0.14614859974511338
terms_abstract_tfidf__decision making,0.16592240166559863
terms_abstract_tfidf__dementia,0.10197817705241755
terms_abstract_tfidf__detection,0.043092357836820215
terms_abstract_tfidf__discrimination,0.02456730065225632
terms_abstract_tfidf__distraction,0.09034034885198307
terms_abstract_tfidf__dyslexia,0.004126475628077416
terms_abstract_tfidf__eating,0.0698640443292585
terms_abstract_tfidf__efficiency,0.11436362887070271
terms_abstract_tfidf__effort,0.07362886345272529
terms_abstract_tfidf__emotion,0.11438687120027927
terms_abstract_tfidf__emotion regulation,0.1451273991667784
terms_abstract_tfidf__empathy,0.06355813067007283
terms_abstract_tfidf__encoding,0.0660302802788345
terms_abstract_tfidf__episodic memory,0.17819967506407472
terms_abstract_tfidf__expectancy,0.06249722179076512
terms_abstract_tfidf__expertise,0.11009700525270721
terms_abstract_tfidf__extinction,0.037115771689568436
terms_abstract_tfidf__face recognition,0.05871668243583133
terms_abstract_tfidf__facial expression,-0.023549027284432134
terms_abstract_tfidf__familiarity,0.1694560972456478
terms_abstract_tfidf__fear,0.03537540531980865
terms_abstract_tfidf__fixation,0.0427434564325497
terms_abstract_tfidf__focus,0.09734235785959008
terms_abstract_tfidf__gaze,-1.2141973489170663e-06
terms_abstract_tfidf__goal,0.14206200384461265
terms_abstract_tfidf__hyperactivity,0.10744788177975716
terms_abstract_tfidf__imagery,-0.003001391710605688
terms_abstract_tfidf__impulsivity,0.1387140112596883
terms_abstract_tfidf__induction,0.06417268708406396
terms_abstract_tfidf__inference,0.1971057957128809
terms_abstract_tfidf__inhibition,0.046478683175642806
terms_abstract_tfidf__insight,0.12079209683061545
terms_abstract_tfidf__integration,0.042480116172199094
terms_abstract_tfidf__intelligence,0.15019986563859886
terms_abstract_tfidf__intention,0.2030609452165529
terms_abstract_tfidf__interference,0.08813741704107528
terms_abstract_tfidf__judgment,0.1952749476893579
terms_abstract_tfidf__knowledge,0.11881056096829326
terms_abstract_tfidf__language,0.023580278609563278
terms_abstract_tfidf__language comprehension,0.03607871816451073
terms_abstract_tfidf__learning,0.05299098410936644
terms_abstract_tfidf__listening,-0.0593191897114163
terms_abstract_tfidf__localization,-0.017982818310646045
terms_abstract_tfidf__loss,0.0319611847842829
terms_abstract_tfidf__maintenance,0.09233605007658781
terms_abstract_tfidf__manipulation,0.09145388193833144
terms_abstract_tfidf__meaning,0.06897888042892543
terms_abstract_tfidf__memory,0.1445981618035161
terms_abstract_tfidf__memory retrieval,0.23931253534187902
terms_abstract_tfidf__mental imagery,0.05662932483527874
terms_abstract_tfidf__monitoring,0.13228850057983935
terms_abstract_tfidf__mood,0.13541692666938313
terms_abstract_tfidf__morphology,0.01284900911437265
terms_abstract_tfidf__motor control,-0.04229779843509388
terms_abstract_tfidf__movement,-0.06786125367773861
terms_abstract_tfidf__multisensory,-0.015131840880136567
terms_abstract_tfidf__naming,-0.014296835381609703
terms_abstract_tfidf__navigation,0.024910160867792734
terms_abstract_tfidf__object recognition,0.04180952947249421
terms_abstract_tfidf__pain,-0.012979750290375933
terms_abstract_tfidf__passive viewing,0.01941505781468114
terms_abstract_tfidf__perception,-0.014086835020735756
terms_abstract_tfidf__planning,0.008337348976892178
terms_abstract_tfidf__priming,0.07722829566596424
terms_abstract_tfidf__psychosis,0.17146013746885888
terms_abstract_tfidf__reading,0.04472026627412614
terms_abstract_tfidf__reasoning,0.23433840129798364
terms_abstract_tfidf__recall,0.14291071334145375
terms_abstract_tfidf__recognition,0.10401073940192403
terms_abstract_tfidf__rehearsal,0.007877223645710437
terms_abstract_tfidf__reinforcement learning,0.09284919514727498
terms_abstract_tfidf__response inhibition,0.05287716534405351
