cognitive_feature,r
action,-0.0004483124795703
action observation,-0.0146169372246862
actions,-0.0117863924172121
adaptation,-0.0269266209156404
anticipation,0.0058906889010829
applying,-0.0174883267968452
arousal,0.0230295832527483
association,-0.0010128054934622
associations,0.0127226185229941
attention,-0.0213775454995168
attention deficit,0.004511198546662
attention network,-0.0070430335928116
attention task,-0.0073867753639075
attentional,-0.0115227385021267
attentional control,-0.0080281570949984
auditory,-0.0321051557222256
auditory cortex,-0.0335322107797781
auditory stimuli,-0.0115539481441921
auditory visual,-0.0124180326154523
autobiographical memory,0.0274203648547257
awareness,0.0035406327648035
belief,0.0138528956357864
beliefs,0.0059735128158728
biological,-0.0228198810865278
categorization,-0.007066505688729
choice,0.0105115139046923
choices,0.0204490840773423
chronic pain,-0.0175146390512184
cognition,0.0091403817716871
cognitive control,-0.0017470466555166
cognitive emotional,0.0042770917775432
communication,0.0132086756215175
competition,0.0128710875154329
comprehension,0.0474440348683245
concept,0.008329168996387
concepts,0.0114682789554666
conceptual,0.0234112154856655
consciousness,-0.0002943714293176
consolidation,-0.003806259467354
context,0.0251430935698201
contexts,0.0081942400630425
contextual,0.0208613893023241
coordination,-0.0146290258491066
decision,0.0311938315788944
decision making,0.0183917925725342
decision task,0.0131435165796218
decisions,0.0211993345133845
distraction,0.0153757296733407
distress,0.0043852742408495
dorsal attention,0.0058681743238505
efficiency,-0.0125366071660811
effort,0.0072157427402695
effortful,0.0105527850329645
electrophysiological,-0.0111834842202679
emotion,0.0540386591864777
emotion regulation,0.0335995678532451
emotional,0.0592703079985244
emotional faces,-0.0045526025780794
emotional information,0.0212192002247573
emotional responses,0.0001236902914278
emotional stimuli,0.0029389514402611
emotional valence,-0.001761036619414
emotionally,0.0149133951219137
emotions,0.0211580145921099
empathy,0.0346365520243774
encoding,0.0446518669695476
encoding retrieval,0.0364179889189733
episodic memory,0.028019337580874
executive control,0.0025726586279883
expectancy,0.0121429438045048
expertise,-0.0053009788867342
eye movement,-0.012888982383521
eye movements,-0.0215911852267563
face recognition,-0.0166793607218874
facial expression,-0.0116823212519029
facial expressions,0.0104220998467457
familiarity,0.0231404964753666
fear,0.0341273060833652
fearful,0.0067153944500009
fearful faces,-0.00584819633393
feedback,0.0142157563323787
finger movements,-0.01717628542521
fixation,-0.0118198826220536
