feature,r
terms_abstract_tfidf__action,0.15764399989604058
terms_abstract_tfidf__adaptation,0.1463521451580263
terms_abstract_tfidf__addiction,0.19915647859338106
terms_abstract_tfidf__anticipation,0.1793898969293216
terms_abstract_tfidf__anxiety,0.2472293929214501
terms_abstract_tfidf__aphasia,0.1446031103834308
terms_abstract_tfidf__arousal,0.24209553540940432
terms_abstract_tfidf__association,0.2948984605232529
terms_abstract_tfidf__attention,0.23111687503922046
terms_abstract_tfidf__autobiographical memory,0.2960295041672963
terms_abstract_tfidf__balance,0.19558319996022758
terms_abstract_tfidf__belief,0.2970463047065425
terms_abstract_tfidf__bipolar disorder,0.2811639667108608
terms_abstract_tfidf__categorization,0.2012399854601298
terms_abstract_tfidf__cognitive control,0.28761819239632697
terms_abstract_tfidf__communication,0.2407473741338679
terms_abstract_tfidf__competition,0.23011974948594058
terms_abstract_tfidf__concept,0.2928355414954381
terms_abstract_tfidf__consciousness,0.1912966106986251
terms_abstract_tfidf__consolidation,0.1798116219812293
terms_abstract_tfidf__context,0.28990912892120624
terms_abstract_tfidf__coordination,0.06019630085052113
terms_abstract_tfidf__decision,0.33076314496100157
terms_abstract_tfidf__decision making,0.32650641484776105
terms_abstract_tfidf__dementia,0.22194356315821812
terms_abstract_tfidf__detection,0.1850806247687353
terms_abstract_tfidf__discrimination,0.18487585075670507
terms_abstract_tfidf__distraction,0.22481908162683298
terms_abstract_tfidf__dyslexia,0.12915745780705934
terms_abstract_tfidf__eating,0.18018086309477155
terms_abstract_tfidf__efficiency,0.22063950239422653
terms_abstract_tfidf__effort,0.21269947716865575
terms_abstract_tfidf__emotion,0.28442107993025895
terms_abstract_tfidf__emotion regulation,0.2929273309182044
terms_abstract_tfidf__empathy,0.2998900546195023
terms_abstract_tfidf__encoding,0.22005801488536395
terms_abstract_tfidf__episodic memory,0.30089202850805585
terms_abstract_tfidf__expectancy,0.23245424653546062
terms_abstract_tfidf__expertise,0.15718064195542497
terms_abstract_tfidf__extinction,0.1231413460372975
terms_abstract_tfidf__face recognition,0.0801771729879399
terms_abstract_tfidf__facial expression,0.11733425963931121
terms_abstract_tfidf__familiarity,0.24553900305610507
terms_abstract_tfidf__fear,0.18234589283641056
terms_abstract_tfidf__fixation,0.12434324827175032
terms_abstract_tfidf__focus,0.25831584943280805
terms_abstract_tfidf__gaze,0.07481060797458071
terms_abstract_tfidf__goal,0.25638619060729123
terms_abstract_tfidf__hyperactivity,0.2547865853666192
terms_abstract_tfidf__imagery,0.09495086788227967
terms_abstract_tfidf__impulsivity,0.24493888107856698
terms_abstract_tfidf__induction,0.1744017659203831
terms_abstract_tfidf__inference,0.28043727424158693
terms_abstract_tfidf__inhibition,0.24500575019054283
terms_abstract_tfidf__insight,0.236501982966665
terms_abstract_tfidf__integration,0.21675743303321607
terms_abstract_tfidf__intelligence,0.2154771413728868
terms_abstract_tfidf__intention,0.27707737220557055
terms_abstract_tfidf__interference,0.21572078299551817
terms_abstract_tfidf__judgment,0.3182261431005397
terms_abstract_tfidf__knowledge,0.30204051034489254
terms_abstract_tfidf__language,0.24324725002171751
terms_abstract_tfidf__language comprehension,0.22454566965857703
terms_abstract_tfidf__learning,0.21210020076891925
terms_abstract_tfidf__listening,0.10429477556708197
terms_abstract_tfidf__localization,0.08924503679129038
terms_abstract_tfidf__loss,0.22475551164242488
terms_abstract_tfidf__maintenance,0.25352807673837763
terms_abstract_tfidf__manipulation,0.23586665506318596
terms_abstract_tfidf__meaning,0.2619211059447146
terms_abstract_tfidf__memory,0.29172712255178135
terms_abstract_tfidf__memory retrieval,0.34553085177018267
terms_abstract_tfidf__mental imagery,0.14642148648826242
terms_abstract_tfidf__monitoring,0.2785176157719819
terms_abstract_tfidf__mood,0.31841552228217573
terms_abstract_tfidf__morphology,0.16948915965532688
terms_abstract_tfidf__motor control,0.06144536607484254
terms_abstract_tfidf__movement,0.016658619054357136
terms_abstract_tfidf__multisensory,0.039562746507856295
terms_abstract_tfidf__naming,0.19255268593178457
terms_abstract_tfidf__navigation,0.07452724767207367
terms_abstract_tfidf__object recognition,0.07058945446912229
terms_abstract_tfidf__pain,0.15387498205657638
terms_abstract_tfidf__passive viewing,0.17311867340299575
terms_abstract_tfidf__perception,0.142577743094243
terms_abstract_tfidf__planning,0.11687804128552862
terms_abstract_tfidf__priming,0.21728568281909333
terms_abstract_tfidf__psychosis,0.3268331691544581
terms_abstract_tfidf__reading,0.20697424502551573
terms_abstract_tfidf__reasoning,0.330900785232489
terms_abstract_tfidf__recall,0.2860263150644462
terms_abstract_tfidf__recognition,0.24391051482897028
terms_abstract_tfidf__rehearsal,0.1304876876620474
terms_abstract_tfidf__reinforcement learning,0.18492185433269023
terms_abstract_tfidf__response inhibition,0.2312256131250655
terms_abstract_tfidf__response selection,0.1701467131874311
terms_abstract_tfidf__retention,0.21528514488174674
terms_abstract_tfidf__retrieval,0.3216019227571852
terms_abstract_tfidf__reward anticipation,0.12471437330874398
terms_abstract_tfidf__rhythm,0.06281916732532616
terms_abstract_tfidf__risk,0.3334610499251546
terms_abstract_tfidf__rule,0.22604928631225224
terms_abstract_tfidf__salience,0.31191755037626157
terms_abstract_tfidf__schizophrenia,0.3403511123159844
terms_abstract_tfidf__search,0.23568630413815478
terms_abstract_tfidf__selective attention,0.14337388699686127
terms_abstract_tfidf__semantic memory,0.28585987021216636
terms_abstract_tfidf__sentence comprehension,0.26249754872528547
terms_abstract_tfidf__skill,0.1520972939132721
terms_abstract_tfidf__sleep,0.17307370642054437
terms_abstract_tfidf__social cognition,0.3384560630406167
terms_abstract_tfidf__spatial attention,0.11717308351044711
terms_abstract_tfidf__speech perception,0.09497420385859948
terms_abstract_tfidf__speech production,0.0762577121937978
terms_abstract_tfidf__strategy,0.290987815974709
terms_abstract_tfidf__strength,0.2708174867586116
terms_abstract_tfidf__stress,0.225508124943885
terms_abstract_tfidf__sustained attention,0.20055492439043623
terms_abstract_tfidf__task difficulty,0.26994568179452905
terms_abstract_tfidf__thought,0.31195619685675535
terms_abstract_tfidf__timing,0.11520450540447391
terms_abstract_tfidf__transition,0.19073663080281963
terms_abstract_tfidf__uncertainty,0.2791133125451928
terms_abstract_tfidf__updating,0.15513747997191546
terms_abstract_tfidf__utility,0.23642284810759187
terms_abstract_tfidf__valence,0.28253166047603195
terms_abstract_tfidf__verbal fluency,0.24419166762945083
terms_abstract_tfidf__visual attention,0.12796984489474295
terms_abstract_tfidf__visual perception,0.12208655608457988
terms_abstract_tfidf__word recognition,0.1837124252444781
terms_abstract_tfidf__working memory,0.2371243737715149
