feature,r
terms_abstract_tfidf__action,0.11092561133022162
terms_abstract_tfidf__adaptation,0.1260884273783718
terms_abstract_tfidf__addiction,0.2135515982723154
terms_abstract_tfidf__anticipation,0.20077067933075957
terms_abstract_tfidf__anxiety,0.214485177668213
terms_abstract_tfidf__aphasia,0.10940288177617366
terms_abstract_tfidf__arousal,0.16089030044746802
terms_abstract_tfidf__association,0.20762394209656093
terms_abstract_tfidf__attention,0.1508123469131466
terms_abstract_tfidf__autobiographical memory,0.1107311913496477
terms_abstract_tfidf__balance,0.15146586909752208
terms_abstract_tfidf__belief,0.16421242135235872
terms_abstract_tfidf__bipolar disorder,0.20758718261745326
terms_abstract_tfidf__categorization,0.13823234475570745
terms_abstract_tfidf__cognitive control,0.22038393782134783
terms_abstract_tfidf__communication,0.15523357436305
terms_abstract_tfidf__competition,0.14409812058838775
terms_abstract_tfidf__concept,0.10940898388400562
terms_abstract_tfidf__consciousness,0.12887089979603367
terms_abstract_tfidf__consolidation,0.15347144635666207
terms_abstract_tfidf__context,0.1987782734998895
terms_abstract_tfidf__coordination,0.08436485674140193
terms_abstract_tfidf__decision,0.19690686727781911
terms_abstract_tfidf__decision making,0.22233090585225251
terms_abstract_tfidf__dementia,0.12157291200389879
terms_abstract_tfidf__detection,0.15179326741566626
terms_abstract_tfidf__discrimination,0.12424723524880872
terms_abstract_tfidf__distraction,0.18272636495475764
terms_abstract_tfidf__dyslexia,0.09756032558184909
terms_abstract_tfidf__eating,0.138389222701322
terms_abstract_tfidf__efficiency,0.1420976218764047
terms_abstract_tfidf__effort,0.15430428092212853
terms_abstract_tfidf__emotion,0.20007676015932357
terms_abstract_tfidf__emotion regulation,0.1968788470686894
terms_abstract_tfidf__empathy,0.18044494303054948
terms_abstract_tfidf__encoding,0.12454278295804566
terms_abstract_tfidf__episodic memory,0.12750096602904937
terms_abstract_tfidf__expectancy,0.17913193239783692
terms_abstract_tfidf__expertise,0.04848000252391205
terms_abstract_tfidf__extinction,0.15988561270385512
terms_abstract_tfidf__face recognition,0.013381395471372909
terms_abstract_tfidf__facial expression,0.10423572797215129
terms_abstract_tfidf__familiarity,0.11509116658910892
terms_abstract_tfidf__fear,0.15070571232425928
terms_abstract_tfidf__fixation,0.09108719540754671
terms_abstract_tfidf__focus,0.15394268191147925
terms_abstract_tfidf__gaze,0.04089013373442337
terms_abstract_tfidf__goal,0.14770134898977538
terms_abstract_tfidf__hyperactivity,0.2237265033743491
terms_abstract_tfidf__imagery,0.07850039580499027
terms_abstract_tfidf__impulsivity,0.23146257627811614
terms_abstract_tfidf__induction,0.16536812063040598
terms_abstract_tfidf__inference,0.14062806102873723
terms_abstract_tfidf__inhibition,0.22258434701468077
terms_abstract_tfidf__insight,0.1951314592934649
terms_abstract_tfidf__integration,0.14361063520627204
terms_abstract_tfidf__intelligence,0.16618677427311337
terms_abstract_tfidf__intention,0.13588188421691627
terms_abstract_tfidf__interference,0.15777148852923958
terms_abstract_tfidf__judgment,0.1320204224467519
terms_abstract_tfidf__knowledge,0.1446322885387949
terms_abstract_tfidf__language,0.14987538000035125
terms_abstract_tfidf__language comprehension,0.11719113331090826
terms_abstract_tfidf__learning,0.17922328810246274
terms_abstract_tfidf__listening,0.17190065801372675
terms_abstract_tfidf__localization,0.10006930862648591
terms_abstract_tfidf__loss,0.23835765695124797
terms_abstract_tfidf__maintenance,0.1547280284720851
terms_abstract_tfidf__manipulation,0.13194975227441869
terms_abstract_tfidf__meaning,0.15286365502519633
terms_abstract_tfidf__memory,0.15620402456121874
terms_abstract_tfidf__memory retrieval,0.15844472086773434
terms_abstract_tfidf__mental imagery,0.0742319344244488
terms_abstract_tfidf__monitoring,0.22221758446232054
terms_abstract_tfidf__mood,0.1868865828486736
terms_abstract_tfidf__morphology,0.18299283813420364
terms_abstract_tfidf__motor control,0.099744840381908
terms_abstract_tfidf__movement,0.08874002181771133
terms_abstract_tfidf__multisensory,0.07492489203074325
terms_abstract_tfidf__naming,0.10383167128543198
terms_abstract_tfidf__navigation,0.05357536833896035
terms_abstract_tfidf__object recognition,-0.0033655154073092986
terms_abstract_tfidf__pain,0.1578615170967639
terms_abstract_tfidf__passive viewing,0.05893181798713831
terms_abstract_tfidf__perception,0.1253384738276974
terms_abstract_tfidf__planning,0.12253518957162278
terms_abstract_tfidf__priming,0.14042597984923744
terms_abstract_tfidf__psychosis,0.1962396693082127
terms_abstract_tfidf__reading,0.09657918108512815
terms_abstract_tfidf__reasoning,0.15432644125496928
terms_abstract_tfidf__recall,0.19596769540047845
terms_abstract_tfidf__recognition,0.11518151037701867
terms_abstract_tfidf__rehearsal,0.09774066134576562
terms_abstract_tfidf__reinforcement learning,0.18166399776630626
terms_abstract_tfidf__response inhibition,0.21385617393431966
terms_abstract_tfidf__response selection,0.1603134221446319
terms_abstract_tfidf__retention,0.14853206085592452
terms_abstract_tfidf__retrieval,0.14289805907506845
