feature,r
terms_abstract_tfidf__action,0.14549576407231124
terms_abstract_tfidf__adaptation,0.11800789213962022
terms_abstract_tfidf__addiction,0.18962397520166888
terms_abstract_tfidf__anticipation,0.164894669502248
terms_abstract_tfidf__anxiety,0.203769111560301
terms_abstract_tfidf__aphasia,0.13633776340549386
terms_abstract_tfidf__arousal,0.20228312903729503
terms_abstract_tfidf__association,0.26374430179805325
terms_abstract_tfidf__attention,0.21072361596366643
terms_abstract_tfidf__autobiographical memory,0.29701539213636663
terms_abstract_tfidf__balance,0.18836413390033704
terms_abstract_tfidf__belief,0.2888628003526341
terms_abstract_tfidf__bipolar disorder,0.26658969159452783
terms_abstract_tfidf__categorization,0.17833322732545245
terms_abstract_tfidf__cognitive control,0.2850368993383092
terms_abstract_tfidf__communication,0.22449776490796672
terms_abstract_tfidf__competition,0.1996950682280833
terms_abstract_tfidf__concept,0.27549619540745235
terms_abstract_tfidf__consciousness,0.1781319135678548
terms_abstract_tfidf__consolidation,0.17133431803470947
terms_abstract_tfidf__context,0.2691220750908052
terms_abstract_tfidf__coordination,0.06540779021156369
terms_abstract_tfidf__decision,0.30831594496791
terms_abstract_tfidf__decision making,0.31273530655016857
terms_abstract_tfidf__dementia,0.21249521067318958
terms_abstract_tfidf__detection,0.15772319663237835
terms_abstract_tfidf__discrimination,0.16123181251529062
terms_abstract_tfidf__distraction,0.2093132724245077
terms_abstract_tfidf__dyslexia,0.09553634879651986
terms_abstract_tfidf__eating,0.12167879659863501
terms_abstract_tfidf__efficiency,0.20417911230005176
terms_abstract_tfidf__effort,0.2102607084778923
terms_abstract_tfidf__emotion,0.24985295754170778
terms_abstract_tfidf__emotion regulation,0.26994574082828293
terms_abstract_tfidf__empathy,0.26735452716276537
terms_abstract_tfidf__encoding,0.19093905742321335
terms_abstract_tfidf__episodic memory,0.2919272197289079
terms_abstract_tfidf__expectancy,0.21908937337047216
terms_abstract_tfidf__expertise,0.12902675303836206
terms_abstract_tfidf__extinction,0.10008270969250227
terms_abstract_tfidf__face recognition,0.029058037212411972
terms_abstract_tfidf__facial expression,0.0805039237937282
terms_abstract_tfidf__familiarity,0.22388631118375468
terms_abstract_tfidf__fear,0.1442763411534009
terms_abstract_tfidf__fixation,0.10080797911259878
terms_abstract_tfidf__focus,0.2380847233949666
terms_abstract_tfidf__gaze,0.045518401052437596
terms_abstract_tfidf__goal,0.2367747427314424
terms_abstract_tfidf__hyperactivity,0.2384558686992998
terms_abstract_tfidf__imagery,0.08600535835921987
terms_abstract_tfidf__impulsivity,0.2406849755286843
terms_abstract_tfidf__induction,0.1504049674159261
terms_abstract_tfidf__inference,0.277086391054941
terms_abstract_tfidf__inhibition,0.2326931893800184
terms_abstract_tfidf__insight,0.21893557635445066
terms_abstract_tfidf__integration,0.19183268363854755
terms_abstract_tfidf__intelligence,0.21720222351266066
terms_abstract_tfidf__intention,0.2829768412548002
terms_abstract_tfidf__interference,0.1993366772075482
terms_abstract_tfidf__judgment,0.298677360083772
terms_abstract_tfidf__knowledge,0.2834539448390608
terms_abstract_tfidf__language,0.22616641409315483
terms_abstract_tfidf__language comprehension,0.2217190714275593
terms_abstract_tfidf__learning,0.19370371793347962
terms_abstract_tfidf__listening,0.10188527878705021
terms_abstract_tfidf__localization,0.07642981286587755
terms_abstract_tfidf__loss,0.19869521858432607
terms_abstract_tfidf__maintenance,0.2538940646495862
terms_abstract_tfidf__manipulation,0.21417343202908917
terms_abstract_tfidf__meaning,0.23980902998215486
terms_abstract_tfidf__memory,0.28252732770027417
terms_abstract_tfidf__memory retrieval,0.350945649010168
terms_abstract_tfidf__mental imagery,0.12474129501223616
terms_abstract_tfidf__monitoring,0.2666153651399824
terms_abstract_tfidf__mood,0.29978029513324717
terms_abstract_tfidf__morphology,0.1569291457947457
terms_abstract_tfidf__motor control,0.06104841498441024
