feature,r
terms_abstract_tfidf__001,-0.014669750420892856
terms_abstract_tfidf__01,-0.0019386846435746202
terms_abstract_tfidf__05,-0.02764406643521572
terms_abstract_tfidf__10,-0.0129527789121848
terms_abstract_tfidf__100,-0.0007201308282987984
terms_abstract_tfidf__11,-0.013418471018138589
terms_abstract_tfidf__12,-0.008916506506134495
terms_abstract_tfidf__12 healthy,0.010541474905337229
terms_abstract_tfidf__13,-0.004069733483136829
terms_abstract_tfidf__14,-0.004531941623302031
terms_abstract_tfidf__14 healthy,0.0018266110801860491
terms_abstract_tfidf__15,-0.007250649954668588
terms_abstract_tfidf__15 healthy,0.001689472838750979
terms_abstract_tfidf__16,-0.01939426456646389
terms_abstract_tfidf__16 healthy,-0.01463995622495827
terms_abstract_tfidf__17,-0.0012293886141239356
terms_abstract_tfidf__18,-0.01464996225240247
terms_abstract_tfidf__18 healthy,-0.00927963620041445
terms_abstract_tfidf__19,-0.010411488064589339
terms_abstract_tfidf__20,-0.018662400869648023
terms_abstract_tfidf__20 healthy,0.006134720707283201
terms_abstract_tfidf__200,0.007890769620033378
terms_abstract_tfidf__2014,0.0017108469958276632
terms_abstract_tfidf__21,-0.01942343700545236
terms_abstract_tfidf__22,-0.005302894703333475
terms_abstract_tfidf__23,-0.014956964498923043
terms_abstract_tfidf__24,-0.012554350423941572
terms_abstract_tfidf__25,-0.010563323067514821
terms_abstract_tfidf__26,-0.001948963165937286
terms_abstract_tfidf__27,-0.016930569594166365
terms_abstract_tfidf__28,-0.0027940003073995325
terms_abstract_tfidf__29,-0.003197984234568592
terms_abstract_tfidf__30,-0.009571902205596288
terms_abstract_tfidf__31,0.006605777062235843
terms_abstract_tfidf__32,-0.010337336602974444
terms_abstract_tfidf__33,-0.012092956956918513
terms_abstract_tfidf__34,-0.007311469128073699
terms_abstract_tfidf__35,-0.004201160690164438
terms_abstract_tfidf__36,-0.004553605173475625
terms_abstract_tfidf__37,-0.0064437605337160295
terms_abstract_tfidf__38,-0.008792537323982066
terms_abstract_tfidf__39,0.014980311576107084
terms_abstract_tfidf__3d,-0.004631064791063729
terms_abstract_tfidf__3t,-0.01794176143211051
terms_abstract_tfidf__40,-0.009572955915173036
terms_abstract_tfidf__41,-0.007395404211103658
terms_abstract_tfidf__42,-0.006346068436696788
terms_abstract_tfidf__43,-0.013004050769578763
terms_abstract_tfidf__44,0.007620296325401456
terms_abstract_tfidf__45,0.010653600090658242
terms_abstract_tfidf__46,-0.006170096122378998
terms_abstract_tfidf__47,0.007337325111132225
terms_abstract_tfidf__48,-0.019441545850492497
terms_abstract_tfidf__49,-0.001009355156345453
terms_abstract_tfidf__50,-0.010792601519804807
terms_abstract_tfidf__60,-0.00886608620587394
terms_abstract_tfidf__70,0.004280432091340818
terms_abstract_tfidf__75,-0.0061405401842312395
terms_abstract_tfidf__80,0.0060442873440366566
terms_abstract_tfidf__90,0.0015905716730886521
terms_abstract_tfidf__aberrant,0.005427334949032893
terms_abstract_tfidf__abilities,-0.003505846634889245
terms_abstract_tfidf__ability,0.009945706690817235
terms_abstract_tfidf__able,0.0067014699255208005
terms_abstract_tfidf__abnormal,-0.0218221371680463
terms_abstract_tfidf__abnormalities,-0.022607733952982215
terms_abstract_tfidf__abnormality,-0.013870974705724957
terms_abstract_tfidf__absence,7.372862971261255e-05
