feature,r
terms_abstract_tfidf__001,-0.00746911529822209
terms_abstract_tfidf__01,0.006857903962281169
terms_abstract_tfidf__05,-0.016031589965232004
terms_abstract_tfidf__10,0.00047860645764798284
terms_abstract_tfidf__100,-0.00027314517265408897
terms_abstract_tfidf__11,-0.002386476411247376
terms_abstract_tfidf__12,-0.010620240331285145
terms_abstract_tfidf__12 healthy,0.0017569462400188727
terms_abstract_tfidf__13,-0.002419800073265082
terms_abstract_tfidf__14,-0.00493066942163282
terms_abstract_tfidf__14 healthy,-0.007658983950652002
terms_abstract_tfidf__15,-0.007452550431879327
terms_abstract_tfidf__15 healthy,0.019773296651378308
terms_abstract_tfidf__16,-0.0023714348231158814
terms_abstract_tfidf__16 healthy,-0.0042140287516149256
terms_abstract_tfidf__17,0.016180109023731723
terms_abstract_tfidf__18,-0.008645788939264593
terms_abstract_tfidf__18 healthy,0.00028717574773342913
terms_abstract_tfidf__19,0.00388289709055365
terms_abstract_tfidf__20,-0.003250439006852112
terms_abstract_tfidf__20 healthy,-0.0004975441898803758
terms_abstract_tfidf__200,0.002287686448729795
terms_abstract_tfidf__2014,0.007127782088111107
terms_abstract_tfidf__21,-0.0007050447854494672
terms_abstract_tfidf__22,0.0024227720892380862
terms_abstract_tfidf__23,-0.004597159801746779
terms_abstract_tfidf__24,0.004169374687118505
terms_abstract_tfidf__25,0.00014938821670744292
terms_abstract_tfidf__26,-0.0008403582898961585
terms_abstract_tfidf__27,0.00971597039694524
terms_abstract_tfidf__28,0.0026723457238918245
terms_abstract_tfidf__29,0.012458147654307776
terms_abstract_tfidf__30,-0.01385526428023264
terms_abstract_tfidf__31,0.01572338822515602
terms_abstract_tfidf__32,0.012807238062536157
terms_abstract_tfidf__33,-0.006493673727332205
terms_abstract_tfidf__34,-0.005123307139131094
terms_abstract_tfidf__35,0.0016770798460877694
terms_abstract_tfidf__36,-0.009183806009600278
terms_abstract_tfidf__37,-0.016964635714958976
terms_abstract_tfidf__38,-0.0005928974288417866
terms_abstract_tfidf__39,-0.0014706389688725577
terms_abstract_tfidf__3d,-0.013293076810905132
terms_abstract_tfidf__3t,-0.010547977205772408
terms_abstract_tfidf__40,-0.023128044324061774
terms_abstract_tfidf__41,0.006729584537203076
terms_abstract_tfidf__42,-0.0025676041856955907
terms_abstract_tfidf__43,-0.007986218539461395
terms_abstract_tfidf__44,-0.012973299669229159
terms_abstract_tfidf__45,-0.011784679459242067
terms_abstract_tfidf__46,-0.012050228537698604
terms_abstract_tfidf__47,0.008675727639492993
terms_abstract_tfidf__48,-0.004611047641740638
terms_abstract_tfidf__49,-0.0013194187655117785
terms_abstract_tfidf__50,-0.0007753631054186988
terms_abstract_tfidf__60,-0.0037813281894018705
terms_abstract_tfidf__70,0.010320104868052736
terms_abstract_tfidf__75,0.0032197458579830834
terms_abstract_tfidf__80,0.002772105986177828
terms_abstract_tfidf__90,0.007539293425310294
terms_abstract_tfidf__aberrant,0.032654851687747406
terms_abstract_tfidf__abilities,0.011850567932797774
terms_abstract_tfidf__ability,0.020549227941704738
terms_abstract_tfidf__able,-0.014604146262254368
