feature,r
terms_abstract_tfidf__001,-0.01137306196840731
terms_abstract_tfidf__01,0.00021615410336466744
terms_abstract_tfidf__05,-0.01252353766023293
terms_abstract_tfidf__10,-0.0035220986936144376
terms_abstract_tfidf__100,-0.01643439685583302
terms_abstract_tfidf__11,-0.011362524316493282
terms_abstract_tfidf__12,-0.007634345045033826
terms_abstract_tfidf__12 healthy,-0.0023274223870412415
terms_abstract_tfidf__13,-0.004493916835879849
terms_abstract_tfidf__14,-0.006229068807072703
terms_abstract_tfidf__14 healthy,0.0002909261312307568
terms_abstract_tfidf__15,-0.0036523926761013554
terms_abstract_tfidf__15 healthy,0.011226987720636128
terms_abstract_tfidf__16,-0.00692545200513469
terms_abstract_tfidf__16 healthy,-0.0039482200759839116
terms_abstract_tfidf__17,-0.0019583157632655835
terms_abstract_tfidf__18,-0.0095668854069034
terms_abstract_tfidf__18 healthy,0.0007827908633578112
terms_abstract_tfidf__19,-0.002285436438211788
terms_abstract_tfidf__20,-0.004422580663598901
terms_abstract_tfidf__20 healthy,0.004168122232726293
terms_abstract_tfidf__200,-0.006304664020302593
terms_abstract_tfidf__2014,0.0026827210657990996
terms_abstract_tfidf__21,-0.007518811044931448
terms_abstract_tfidf__22,-0.009582349800394603
terms_abstract_tfidf__23,-0.005805647729934457
terms_abstract_tfidf__24,0.0003679111018733256
terms_abstract_tfidf__25,-0.005325316014196122
terms_abstract_tfidf__26,-0.005951429434662223
terms_abstract_tfidf__27,-0.014599061548715951
terms_abstract_tfidf__28,0.0070672230037802245
terms_abstract_tfidf__29,0.00946550720974555
terms_abstract_tfidf__30,-0.016462507179972587
terms_abstract_tfidf__31,0.0057116011672742805
terms_abstract_tfidf__32,0.015460325696668107
terms_abstract_tfidf__33,-0.015413762365848092
terms_abstract_tfidf__34,-0.010321178468368457
terms_abstract_tfidf__35,0.005721121948640601
terms_abstract_tfidf__36,-0.013689242940375698
terms_abstract_tfidf__37,-0.0002824590118908063
terms_abstract_tfidf__38,-0.0034729304659501187
terms_abstract_tfidf__39,-0.0036761377289574993
terms_abstract_tfidf__3d,-0.019691325244382885
terms_abstract_tfidf__3t,-0.006612128675354575
terms_abstract_tfidf__40,-0.02027846771451912
terms_abstract_tfidf__41,-0.010208673042780484
terms_abstract_tfidf__42,-0.008263416574958878
terms_abstract_tfidf__43,-0.00044913931868995977
terms_abstract_tfidf__44,-0.015729602770995426
terms_abstract_tfidf__45,-0.007164054501321689
terms_abstract_tfidf__46,-0.00893225650790159
terms_abstract_tfidf__47,0.004273395741407484
terms_abstract_tfidf__48,-0.009152743115450857
terms_abstract_tfidf__49,-0.010496464054780066
terms_abstract_tfidf__50,-0.017421541113334747
terms_abstract_tfidf__60,-0.020818545813909958
terms_abstract_tfidf__70,-0.002652486844568025
terms_abstract_tfidf__75,-0.011148203708681087
terms_abstract_tfidf__80,-0.0006285870436633321
terms_abstract_tfidf__90,-0.003114044351631941
terms_abstract_tfidf__aberrant,0.005203629916073224
terms_abstract_tfidf__abilities,0.0017021135918534683
terms_abstract_tfidf__ability,-0.008101845426221287
terms_abstract_tfidf__able,-0.011715143765711507
terms_abstract_tfidf__abnormal,3.93381722660751e-05
terms_abstract_tfidf__abnormalities,-0.02044779392673641
terms_abstract_tfidf__abnormality,-0.001973779399454493
terms_abstract_tfidf__absence,-0.00626682813878007
terms_abstract_tfidf__absent,-0.0036475619021970438
terms_abstract_tfidf__abstract,0.005222974726414804
terms_abstract_tfidf__abuse,0.0002311774610433204
terms_abstract_tfidf__acc,0.015681578823181667
terms_abstract_tfidf__access,-0.01371809233289087
terms_abstract_tfidf__accompanied,0.018792775992743805
terms_abstract_tfidf__accordance,-0.009410630249633616
terms_abstract_tfidf__according,-0.015744604280203932
terms_abstract_tfidf__accordingly,0.0029035080030124847
