feature,r
terms_abstract_tfidf__001,-0.010515784163257798
terms_abstract_tfidf__01,-0.01132497091099033
terms_abstract_tfidf__05,-0.013796109534465
terms_abstract_tfidf__10,-0.006792833399730996
terms_abstract_tfidf__100,-0.018791793682115122
terms_abstract_tfidf__11,-1.2036774037623083e-05
terms_abstract_tfidf__12,0.004120557507341937
terms_abstract_tfidf__12 healthy,-0.014321354833261074
terms_abstract_tfidf__13,0.004539249819870447
terms_abstract_tfidf__14,-0.0035611810363067133
terms_abstract_tfidf__14 healthy,-0.0076183969733996555
terms_abstract_tfidf__15,-0.009436489895245015
terms_abstract_tfidf__15 healthy,0.008768162257656476
terms_abstract_tfidf__16,-0.003958647170407987
terms_abstract_tfidf__16 healthy,-0.00861421185974398
terms_abstract_tfidf__17,-0.01427356517244226
terms_abstract_tfidf__18,-0.008318076890317263
terms_abstract_tfidf__18 healthy,0.006711206495387918
terms_abstract_tfidf__19,-0.009508333423065148
terms_abstract_tfidf__20,-0.014050723338211113
terms_abstract_tfidf__20 healthy,-0.015830458456768344
terms_abstract_tfidf__200,-0.008580939423805512
terms_abstract_tfidf__2014,-0.0070352392573508
terms_abstract_tfidf__21,0.008848714091463915
terms_abstract_tfidf__22,-0.006700729129362181
terms_abstract_tfidf__23,-0.009997596526134052
terms_abstract_tfidf__24,-0.01309200594194332
terms_abstract_tfidf__25,-0.002010616508404131
terms_abstract_tfidf__26,-0.012980808828953631
terms_abstract_tfidf__27,-0.01645776219808904
terms_abstract_tfidf__28,0.003127611871677769
terms_abstract_tfidf__29,-0.005156912493182245
terms_abstract_tfidf__30,-0.00951362573632477
terms_abstract_tfidf__31,-0.02192539004294185
terms_abstract_tfidf__32,-0.003974080313113299
terms_abstract_tfidf__33,-0.00795643717573879
terms_abstract_tfidf__34,-0.007131067661094939
terms_abstract_tfidf__35,-0.011267169901575386
terms_abstract_tfidf__36,-0.019516429727143455
terms_abstract_tfidf__37,-0.007051026476985802
terms_abstract_tfidf__38,0.006825747443201735
terms_abstract_tfidf__39,-0.006845718332283714
terms_abstract_tfidf__3d,-0.01604413071827186
terms_abstract_tfidf__3t,-0.007510583041107393
terms_abstract_tfidf__40,-0.022245413477431242
terms_abstract_tfidf__41,-0.013609927970026348
terms_abstract_tfidf__42,-0.010389236966976384
terms_abstract_tfidf__43,-0.0001246614536017706
terms_abstract_tfidf__44,0.004117064569046582
terms_abstract_tfidf__45,0.024991356469229245
terms_abstract_tfidf__46,0.0018163684314140937
terms_abstract_tfidf__47,0.05744843980698446
terms_abstract_tfidf__48,-0.011987118422535397
terms_abstract_tfidf__49,-0.008749349108510478
