feature,r
terms_abstract_tfidf__001,-0.009685812672059521
terms_abstract_tfidf__01,0.006893519360937022
terms_abstract_tfidf__05,-0.005007377475789781
terms_abstract_tfidf__10,0.006609873023390826
terms_abstract_tfidf__100,-0.005211451776406952
terms_abstract_tfidf__11,-0.003096526386041888
terms_abstract_tfidf__12,-0.0024160591826461832
terms_abstract_tfidf__12 healthy,-0.004289912241954185
terms_abstract_tfidf__13,0.006666634370995372
terms_abstract_tfidf__14,0.0018277688106269371
terms_abstract_tfidf__14 healthy,0.006635416447873896
terms_abstract_tfidf__15,-0.004564180024419513
terms_abstract_tfidf__15 healthy,0.006251037515582796
terms_abstract_tfidf__16,0.004615050034022216
terms_abstract_tfidf__16 healthy,-0.0016315662263036506
terms_abstract_tfidf__17,0.0017442247035115346
terms_abstract_tfidf__18,0.0001178641437006775
terms_abstract_tfidf__18 healthy,-0.008786438095696646
terms_abstract_tfidf__19,-0.005085599377483127
terms_abstract_tfidf__20,-0.0002559693967177905
terms_abstract_tfidf__20 healthy,0.011030239262394251
terms_abstract_tfidf__200,0.00036483694769920427
terms_abstract_tfidf__2014,-0.0014686905700668112
terms_abstract_tfidf__21,0.010676563580891477
terms_abstract_tfidf__22,-0.00781773261122987
terms_abstract_tfidf__23,0.0005307380036167926
terms_abstract_tfidf__24,-3.38536941492742e-05
terms_abstract_tfidf__25,0.010475432293860717
terms_abstract_tfidf__26,0.00847046172235411
terms_abstract_tfidf__27,0.013732731213589922
terms_abstract_tfidf__28,0.0017072027516288808
terms_abstract_tfidf__29,0.026941349621662256
terms_abstract_tfidf__30,-0.005334476027394995
terms_abstract_tfidf__31,0.012105269256373523
terms_abstract_tfidf__32,0.02015351214837928
terms_abstract_tfidf__33,-0.010069826149764571
terms_abstract_tfidf__34,0.004262269581594987
terms_abstract_tfidf__35,0.0069209601768593365
terms_abstract_tfidf__36,-0.009274714093991101
terms_abstract_tfidf__37,0.007616108276004396
terms_abstract_tfidf__38,-0.00014543379616375722
terms_abstract_tfidf__39,0.009737358457115817
terms_abstract_tfidf__3d,-0.018366613470311155
terms_abstract_tfidf__3t,-0.00621783894444708
terms_abstract_tfidf__40,-0.008776919693030282
terms_abstract_tfidf__41,0.0032951429664239253
terms_abstract_tfidf__42,-0.007898506066561306
terms_abstract_tfidf__43,0.010499483040146048
terms_abstract_tfidf__44,-0.02357503456323028
terms_abstract_tfidf__45,-0.010929304554050199
terms_abstract_tfidf__46,-0.005630525879564785
terms_abstract_tfidf__47,0.010572599553049448
terms_abstract_tfidf__48,-0.009740379802969346
terms_abstract_tfidf__49,0.0024561096539705914
terms_abstract_tfidf__50,-0.011865293709510958
terms_abstract_tfidf__60,-0.0012166317683564524
terms_abstract_tfidf__70,0.0022592441967537024
terms_abstract_tfidf__75,-0.008221557854661166
terms_abstract_tfidf__80,-0.0027629263772782353
terms_abstract_tfidf__90,-0.012188733083492605
terms_abstract_tfidf__aberrant,0.034462103161811024
terms_abstract_tfidf__abilities,-0.006744774588825763
terms_abstract_tfidf__ability,-0.005831096816898743
terms_abstract_tfidf__able,-0.019732297389385478
terms_abstract_tfidf__abnormal,0.0030225268201017215
terms_abstract_tfidf__abnormalities,-0.0009128368528504637
terms_abstract_tfidf__abnormality,-0.003375867689678462
terms_abstract_tfidf__absence,-0.01737828224761127
terms_abstract_tfidf__absent,0.00025995644979552205
terms_abstract_tfidf__abstract,-0.01311770551853469
terms_abstract_tfidf__abuse,0.002042301166606836
terms_abstract_tfidf__acc,0.07764628214024327
terms_abstract_tfidf__access,0.0027496346709680324
terms_abstract_tfidf__accompanied,0.0021527963137370383
terms_abstract_tfidf__accordance,-0.006525063254642706
terms_abstract_tfidf__according,-0.017646030067741656
terms_abstract_tfidf__accordingly,-0.0029079008726046757
terms_abstract_tfidf__account,0.009754426392331315
terms_abstract_tfidf__accounted,0.0005246327172520188
terms_abstract_tfidf__accounts,0.0025372731239470627
terms_abstract_tfidf__accumbens,0.013617022383724727
terms_abstract_tfidf__accuracy,0.0042499213867515755
terms_abstract_tfidf__accurate,0.006906044979881079
terms_abstract_tfidf__accurately,0.0024720300186419127
terms_abstract_tfidf__achieve,-0.010208694885222741
terms_abstract_tfidf__achieved,-0.011728693636487316
terms_abstract_tfidf__acoustic,-0.015481257216819653
terms_abstract_tfidf__acquired,-0.0012473359126722724
terms_abstract_tfidf__acquisition,-0.028298233039609082
terms_abstract_tfidf__act,0.019181939141031053
terms_abstract_tfidf__action,-0.024628177567904263
terms_abstract_tfidf__action observation,-0.006735981936100753
terms_abstract_tfidf__actions,-0.016366908610644576
terms_abstract_tfidf__activate,-0.008614445656766632
terms_abstract_tfidf__activates,-0.007835695681597976
terms_abstract_tfidf__activations,-0.0066524179023501676
terms_abstract_tfidf__active,-0.002168718792377153
terms_abstract_tfidf__actively,-0.010523448963888102
terms_abstract_tfidf__activities,-0.002306684307089384
