feature,r
terms_abstract_tfidf__001,-0.0009827227558813535
terms_abstract_tfidf__01,-0.02006938455084158
terms_abstract_tfidf__05,-0.01434130250444669
terms_abstract_tfidf__10,0.001377544826520573
terms_abstract_tfidf__100,-0.010012295844747087
terms_abstract_tfidf__11,-0.003735939743876532
terms_abstract_tfidf__12,0.006205107782989345
terms_abstract_tfidf__12 healthy,-0.009706583728984168
terms_abstract_tfidf__13,0.006837950011182553
terms_abstract_tfidf__14,-0.006736664805225563
terms_abstract_tfidf__14 healthy,-0.003520865556015588
terms_abstract_tfidf__15,-0.009377672082203222
terms_abstract_tfidf__15 healthy,0.0014275906122756747
terms_abstract_tfidf__16,0.0008454642166201558
terms_abstract_tfidf__16 healthy,0.0014792993749564048
terms_abstract_tfidf__17,0.001941808308692955
terms_abstract_tfidf__18,-0.0072901974190461155
terms_abstract_tfidf__18 healthy,0.011548097641654442
terms_abstract_tfidf__19,-0.003991357707689125
terms_abstract_tfidf__20,-0.0016418652074963668
terms_abstract_tfidf__20 healthy,-0.007950929814321281
terms_abstract_tfidf__200,0.007954583023100105
terms_abstract_tfidf__2014,0.0003380313864533067
terms_abstract_tfidf__21,-0.0009555651099553747
terms_abstract_tfidf__22,0.000267568152029671
terms_abstract_tfidf__23,0.000864266756870704
terms_abstract_tfidf__24,-0.00020994251808426637
terms_abstract_tfidf__25,0.004010421923484405
terms_abstract_tfidf__26,-0.0010893798640415969
terms_abstract_tfidf__27,-0.005351176025639496
terms_abstract_tfidf__28,0.007115548256215694
terms_abstract_tfidf__29,-0.006084764821940028
terms_abstract_tfidf__30,-0.009192716692414619
terms_abstract_tfidf__31,0.008275297686386374
terms_abstract_tfidf__32,-0.0014755094057413588
terms_abstract_tfidf__33,-0.010702359234073009
terms_abstract_tfidf__34,0.0016053659932945938
terms_abstract_tfidf__35,-0.008471492862313036
terms_abstract_tfidf__36,-0.017905060181880227
terms_abstract_tfidf__37,-0.008572573327578737
terms_abstract_tfidf__38,0.006779314857833178
terms_abstract_tfidf__39,0.000379776383254097
terms_abstract_tfidf__3d,-0.013102538988379459
terms_abstract_tfidf__3t,-8.704055910942991e-06
terms_abstract_tfidf__40,-0.011583161071604432
terms_abstract_tfidf__41,0.0005046215644908659
terms_abstract_tfidf__42,-0.007687109970828462
terms_abstract_tfidf__43,0.004223021345336824
terms_abstract_tfidf__44,-0.015640671149123573
terms_abstract_tfidf__45,-0.00870399121546769
