feature,r
terms_abstract_tfidf__001,-0.0146697504208928
terms_abstract_tfidf__01,-0.0019386846435746
terms_abstract_tfidf__05,-0.0276440664352157
terms_abstract_tfidf__10,-0.0129527789121848
terms_abstract_tfidf__100,-0.0007201308282987
terms_abstract_tfidf__11,-0.0134184710181385
terms_abstract_tfidf__12,-0.0089165065061344
terms_abstract_tfidf__12 healthy,0.0105414749053372
terms_abstract_tfidf__13,-0.0040697334831368
terms_abstract_tfidf__14,-0.004531941623302
terms_abstract_tfidf__14 healthy,0.001826611080186
terms_abstract_tfidf__15,-0.0072506499546685
terms_abstract_tfidf__15 healthy,0.0016894728387509
terms_abstract_tfidf__16,-0.0193942645664638
terms_abstract_tfidf__16 healthy,-0.0146399562249582
terms_abstract_tfidf__17,-0.0012293886141239
terms_abstract_tfidf__18,-0.0146499622524024
terms_abstract_tfidf__18 healthy,-0.0092796362004144
terms_abstract_tfidf__19,-0.0104114880645893
terms_abstract_tfidf__20,-0.018662400869648
terms_abstract_tfidf__20 healthy,0.0061347207072832
terms_abstract_tfidf__200,0.0078907696200333
terms_abstract_tfidf__2014,0.0017108469958276
terms_abstract_tfidf__21,-0.0194234370054523
terms_abstract_tfidf__22,-0.0053028947033334
terms_abstract_tfidf__23,-0.014956964498923
terms_abstract_tfidf__24,-0.0125543504239415
terms_abstract_tfidf__25,-0.0105633230675148
terms_abstract_tfidf__26,-0.0019489631659372
terms_abstract_tfidf__27,-0.0169305695941663
terms_abstract_tfidf__28,-0.0027940003073995
terms_abstract_tfidf__29,-0.0031979842345685
terms_abstract_tfidf__30,-0.0095719022055962
terms_abstract_tfidf__31,0.0066057770622358
terms_abstract_tfidf__32,-0.0103373366029744
terms_abstract_tfidf__33,-0.0120929569569185
terms_abstract_tfidf__34,-0.0073114691280736
terms_abstract_tfidf__35,-0.0042011606901644
terms_abstract_tfidf__36,-0.0045536051734756
terms_abstract_tfidf__37,-0.006443760533716
terms_abstract_tfidf__38,-0.008792537323982
terms_abstract_tfidf__39,0.014980311576107
terms_abstract_tfidf__3d,-0.0046310647910637
terms_abstract_tfidf__3t,-0.0179417614321105
terms_abstract_tfidf__40,-0.009572955915173
terms_abstract_tfidf__41,-0.0073954042111036
terms_abstract_tfidf__42,-0.0063460684366967
terms_abstract_tfidf__43,-0.0130040507695787
terms_abstract_tfidf__44,0.0076202963254014
terms_abstract_tfidf__45,0.0106536000906582
terms_abstract_tfidf__46,-0.0061700961223789
terms_abstract_tfidf__47,0.0073373251111322
terms_abstract_tfidf__48,-0.0194415458504924
terms_abstract_tfidf__49,-0.0010093551563454
terms_abstract_tfidf__50,-0.0107926015198048
terms_abstract_tfidf__60,-0.0088660862058739
terms_abstract_tfidf__70,0.0042804320913408
terms_abstract_tfidf__75,-0.0061405401842312
terms_abstract_tfidf__80,0.0060442873440366
terms_abstract_tfidf__90,0.0015905716730886
terms_abstract_tfidf__aberrant,0.0054273349490328
terms_abstract_tfidf__abilities,-0.0035058466348892
terms_abstract_tfidf__ability,0.0099457066908172
terms_abstract_tfidf__able,0.0067014699255208
terms_abstract_tfidf__abnormal,-0.0218221371680463
terms_abstract_tfidf__abnormalities,-0.0226077339529822
terms_abstract_tfidf__abnormality,-0.0138709747057249
terms_abstract_tfidf__absence,7.372862971261255e-05
terms_abstract_tfidf__absent,0.0063373711796441
terms_abstract_tfidf__abstract,0.022899447708195
terms_abstract_tfidf__abuse,-0.0062631902956005
terms_abstract_tfidf__acc,-0.0177824106679398
terms_abstract_tfidf__access,0.0296654207612315
terms_abstract_tfidf__accompanied,0.0182130594228771
terms_abstract_tfidf__accordance,-0.013494730794241
