feature,r
terms_abstract_tfidf__001,-0.007469115298222
terms_abstract_tfidf__01,0.0068579039622811
terms_abstract_tfidf__05,-0.016031589965232
terms_abstract_tfidf__10,0.0004786064576479
terms_abstract_tfidf__100,-0.000273145172654
terms_abstract_tfidf__11,-0.0023864764112473
terms_abstract_tfidf__12,-0.0106202403312851
terms_abstract_tfidf__12 healthy,0.0017569462400188
terms_abstract_tfidf__13,-0.002419800073265
terms_abstract_tfidf__14,-0.0049306694216328
terms_abstract_tfidf__14 healthy,-0.007658983950652
terms_abstract_tfidf__15,-0.0074525504318793
terms_abstract_tfidf__15 healthy,0.0197732966513783
terms_abstract_tfidf__16,-0.0023714348231158
terms_abstract_tfidf__16 healthy,-0.0042140287516149
terms_abstract_tfidf__17,0.0161801090237317
terms_abstract_tfidf__18,-0.0086457889392645
terms_abstract_tfidf__18 healthy,0.0002871757477334
terms_abstract_tfidf__19,0.0038828970905536
terms_abstract_tfidf__20,-0.0032504390068521
terms_abstract_tfidf__20 healthy,-0.0004975441898803
terms_abstract_tfidf__200,0.0022876864487297
terms_abstract_tfidf__2014,0.0071277820881111
terms_abstract_tfidf__21,-0.0007050447854494
terms_abstract_tfidf__22,0.002422772089238
terms_abstract_tfidf__23,-0.0045971598017467
terms_abstract_tfidf__24,0.0041693746871185
terms_abstract_tfidf__25,0.0001493882167074
terms_abstract_tfidf__26,-0.0008403582898961
terms_abstract_tfidf__27,0.0097159703969452
terms_abstract_tfidf__28,0.0026723457238918
terms_abstract_tfidf__29,0.0124581476543077
terms_abstract_tfidf__30,-0.0138552642802326
terms_abstract_tfidf__31,0.015723388225156
terms_abstract_tfidf__32,0.0128072380625361
terms_abstract_tfidf__33,-0.0064936737273322
terms_abstract_tfidf__34,-0.005123307139131
terms_abstract_tfidf__35,0.0016770798460877
terms_abstract_tfidf__36,-0.0091838060096002
terms_abstract_tfidf__37,-0.0169646357149589
terms_abstract_tfidf__38,-0.0005928974288417
terms_abstract_tfidf__39,-0.0014706389688725
terms_abstract_tfidf__3d,-0.0132930768109051
terms_abstract_tfidf__3t,-0.0105479772057724
terms_abstract_tfidf__40,-0.0231280443240617
terms_abstract_tfidf__41,0.006729584537203
terms_abstract_tfidf__42,-0.0025676041856955
terms_abstract_tfidf__43,-0.0079862185394613
terms_abstract_tfidf__44,-0.0129732996692291
terms_abstract_tfidf__45,-0.011784679459242
terms_abstract_tfidf__46,-0.0120502285376986
terms_abstract_tfidf__47,0.0086757276394929
terms_abstract_tfidf__48,-0.0046110476417406
terms_abstract_tfidf__49,-0.0013194187655117
terms_abstract_tfidf__50,-0.0007753631054186
terms_abstract_tfidf__60,-0.0037813281894018
terms_abstract_tfidf__70,0.0103201048680527
terms_abstract_tfidf__75,0.003219745857983
terms_abstract_tfidf__80,0.0027721059861778
terms_abstract_tfidf__90,0.0075392934253102
terms_abstract_tfidf__aberrant,0.0326548516877474
terms_abstract_tfidf__abilities,0.0118505679327977
terms_abstract_tfidf__ability,0.0205492279417047
terms_abstract_tfidf__able,-0.0146041462622543
terms_abstract_tfidf__abnormal,-0.0024074519842112
terms_abstract_tfidf__abnormalities,-0.0178153188487595
terms_abstract_tfidf__abnormality,-0.0149018649413852
terms_abstract_tfidf__absence,0.0001023412663399
terms_abstract_tfidf__absent,-0.0048235079511848
terms_abstract_tfidf__abstract,0.0298266683573598
terms_abstract_tfidf__abuse,-0.0115110429160069
terms_abstract_tfidf__acc,-0.0161262009830923
terms_abstract_tfidf__access,-0.0062502628472848
terms_abstract_tfidf__accompanied,0.0125240916544759
terms_abstract_tfidf__accordance,-0.0144912834675718
terms_abstract_tfidf__according,-0.0068895859925137
terms_abstract_tfidf__accordingly,0.0113484958132327
terms_abstract_tfidf__account,-0.0066891595092905
terms_abstract_tfidf__accounted,-0.0249392420168154
terms_abstract_tfidf__accounts,0.0016252554746387
terms_abstract_tfidf__accumbens,-0.0088500794677047
terms_abstract_tfidf__accuracy,0.014631928248945
terms_abstract_tfidf__accurate,0.0129310516447673
terms_abstract_tfidf__accurately,0.0064538132995339
terms_abstract_tfidf__achieve,0.0029853377069159
terms_abstract_tfidf__achieved,-0.0044523706738091
terms_abstract_tfidf__acoustic,-0.0168935130873695
terms_abstract_tfidf__acquired,0.0039849759333252
terms_abstract_tfidf__acquisition,-0.0239297710169627
terms_abstract_tfidf__act,-0.0149462312884233
terms_abstract_tfidf__action,-0.0198714935906817
terms_abstract_tfidf__action observation,-0.01528316014263
terms_abstract_tfidf__actions,-0.0208256400412958
terms_abstract_tfidf__activate,-0.0142679365647634
terms_abstract_tfidf__activates,-0.007926986792806
terms_abstract_tfidf__activations,0.0009410603952805
terms_abstract_tfidf__active,0.0096267358192707
terms_abstract_tfidf__actively,-0.0022890863380627
terms_abstract_tfidf__activities,-0.0018071322515501
terms_abstract_tfidf__acts,-0.0100549025487156
terms_abstract_tfidf__actual,-0.0041475028751655
terms_abstract_tfidf__actually,-0.0020419454336479
terms_abstract_tfidf__acute,-0.0073099286407808
terms_abstract_tfidf__ad,0.031778431224209
terms_abstract_tfidf__adaptation,-0.0279533816242743
terms_abstract_tfidf__adapted,0.0045552766871253
terms_abstract_tfidf__adaptive,0.0058934028148658
terms_abstract_tfidf__add,-0.0092311314403927
terms_abstract_tfidf__addiction,0.0035840803870182
terms_abstract_tfidf__addition,-0.0048442205571296
terms_abstract_tfidf__additional,-0.0087651295878122
terms_abstract_tfidf__additionally,0.0107193690421881
terms_abstract_tfidf__addressed,0.0078090430450047
terms_abstract_tfidf__adhd,-0.0136590783833324
terms_abstract_tfidf__adjacent,-0.0073341799881269
terms_abstract_tfidf__administered,-0.0157759130439042
terms_abstract_tfidf__administration,-0.0048496011709727
terms_abstract_tfidf__adolescence,0.0033466802528248
terms_abstract_tfidf__adolescent,-0.0004712638317955
terms_abstract_tfidf__adolescents,0.014883108468841
terms_abstract_tfidf__adopted,-0.003778398181981
terms_abstract_tfidf__adult,-0.0039511523835269
terms_abstract_tfidf__adulthood,0.0186075277662251
terms_abstract_tfidf__adults,0.0239238302219767
terms_abstract_tfidf__advance,-0.0127052986779956
terms_abstract_tfidf__advanced,0.0003844254801342
terms_abstract_tfidf__advances,-0.0033011533577874
terms_abstract_tfidf__advantage,-0.0092100501828085
terms_abstract_tfidf__affect,0.0121369623434374
terms_abstract_tfidf__affected,-0.0053926160615362
terms_abstract_tfidf__affecting,-0.0096058918354529
terms_abstract_tfidf__affective,0.0210840259446185
