feature,r
terms_abstract_tfidf__001,-0.0113730619684073
terms_abstract_tfidf__01,0.0002161541033646
terms_abstract_tfidf__05,-0.0125235376602329
terms_abstract_tfidf__10,-0.0035220986936144
terms_abstract_tfidf__100,-0.016434396855833
terms_abstract_tfidf__11,-0.0113625243164932
terms_abstract_tfidf__12,-0.0076343450450338
terms_abstract_tfidf__12 healthy,-0.0023274223870412
terms_abstract_tfidf__13,-0.0044939168358798
terms_abstract_tfidf__14,-0.0062290688070727
terms_abstract_tfidf__14 healthy,0.0002909261312307
terms_abstract_tfidf__15,-0.0036523926761013
terms_abstract_tfidf__15 healthy,0.0112269877206361
terms_abstract_tfidf__16,-0.0069254520051346
terms_abstract_tfidf__16 healthy,-0.0039482200759839
terms_abstract_tfidf__17,-0.0019583157632655
terms_abstract_tfidf__18,-0.0095668854069034
terms_abstract_tfidf__18 healthy,0.0007827908633578
terms_abstract_tfidf__19,-0.0022854364382117
terms_abstract_tfidf__20,-0.0044225806635989
terms_abstract_tfidf__20 healthy,0.0041681222327262
terms_abstract_tfidf__200,-0.0063046640203025
terms_abstract_tfidf__2014,0.002682721065799
terms_abstract_tfidf__21,-0.0075188110449314
terms_abstract_tfidf__22,-0.0095823498003946
terms_abstract_tfidf__23,-0.0058056477299344
terms_abstract_tfidf__24,0.0003679111018733
terms_abstract_tfidf__25,-0.0053253160141961
terms_abstract_tfidf__26,-0.0059514294346622
terms_abstract_tfidf__27,-0.0145990615487159
terms_abstract_tfidf__28,0.0070672230037802
terms_abstract_tfidf__29,0.0094655072097455
terms_abstract_tfidf__30,-0.0164625071799725
terms_abstract_tfidf__31,0.0057116011672742
terms_abstract_tfidf__32,0.0154603256966681
terms_abstract_tfidf__33,-0.015413762365848
terms_abstract_tfidf__34,-0.0103211784683684
terms_abstract_tfidf__35,0.0057211219486406
terms_abstract_tfidf__36,-0.0136892429403756
terms_abstract_tfidf__37,-0.0002824590118908
terms_abstract_tfidf__38,-0.0034729304659501
terms_abstract_tfidf__39,-0.0036761377289574
terms_abstract_tfidf__3d,-0.0196913252443828
