feature,r
terms_abstract_tfidf__001,-0.0105157841632577
terms_abstract_tfidf__01,-0.0113249709109903
terms_abstract_tfidf__05,-0.013796109534465
terms_abstract_tfidf__10,-0.0067928333997309
terms_abstract_tfidf__100,-0.0187917936821151
terms_abstract_tfidf__11,-1.2036774037623084e-05
terms_abstract_tfidf__12,0.0041205575073419
terms_abstract_tfidf__12 healthy,-0.014321354833261
terms_abstract_tfidf__13,0.0045392498198704
terms_abstract_tfidf__14,-0.0035611810363067
terms_abstract_tfidf__14 healthy,-0.0076183969733996
terms_abstract_tfidf__15,-0.009436489895245
terms_abstract_tfidf__15 healthy,0.0087681622576564
terms_abstract_tfidf__16,-0.0039586471704079
terms_abstract_tfidf__16 healthy,-0.0086142118597439
terms_abstract_tfidf__17,-0.0142735651724422
terms_abstract_tfidf__18,-0.0083180768903172
terms_abstract_tfidf__18 healthy,0.0067112064953879
terms_abstract_tfidf__19,-0.0095083334230651
terms_abstract_tfidf__20,-0.0140507233382111
terms_abstract_tfidf__20 healthy,-0.0158304584567683
terms_abstract_tfidf__200,-0.0085809394238055
terms_abstract_tfidf__2014,-0.0070352392573508
terms_abstract_tfidf__21,0.0088487140914639
terms_abstract_tfidf__22,-0.0067007291293621
terms_abstract_tfidf__23,-0.009997596526134
terms_abstract_tfidf__24,-0.0130920059419433
terms_abstract_tfidf__25,-0.0020106165084041
terms_abstract_tfidf__26,-0.0129808088289536
terms_abstract_tfidf__27,-0.016457762198089
terms_abstract_tfidf__28,0.0031276118716777
terms_abstract_tfidf__29,-0.0051569124931822
terms_abstract_tfidf__30,-0.0095136257363247
terms_abstract_tfidf__31,-0.0219253900429418
terms_abstract_tfidf__32,-0.0039740803131132
terms_abstract_tfidf__33,-0.0079564371757387
terms_abstract_tfidf__34,-0.0071310676610949
terms_abstract_tfidf__35,-0.0112671699015753
terms_abstract_tfidf__36,-0.0195164297271434
terms_abstract_tfidf__37,-0.0070510264769858
terms_abstract_tfidf__38,0.0068257474432017
terms_abstract_tfidf__39,-0.0068457183322837
terms_abstract_tfidf__3d,-0.0160441307182718
terms_abstract_tfidf__3t,-0.0075105830411073
terms_abstract_tfidf__40,-0.0222454134774312
terms_abstract_tfidf__41,-0.0136099279700263
terms_abstract_tfidf__42,-0.0103892369669763
terms_abstract_tfidf__43,-0.0001246614536017
terms_abstract_tfidf__44,0.0041170645690465
terms_abstract_tfidf__45,0.0249913564692292
terms_abstract_tfidf__46,0.001816368431414
terms_abstract_tfidf__47,0.0574484398069844
terms_abstract_tfidf__48,-0.0119871184225353
terms_abstract_tfidf__49,-0.0087493491085104
terms_abstract_tfidf__50,6.666292521522146e-05
terms_abstract_tfidf__60,-0.0076519428690497
terms_abstract_tfidf__70,0.0046723502972536
terms_abstract_tfidf__75,0.0007993906343508
terms_abstract_tfidf__80,-0.0094889558625056
terms_abstract_tfidf__90,-0.0044215100802139
terms_abstract_tfidf__aberrant,0.0034276235129706
terms_abstract_tfidf__abilities,-0.0032617151365472
terms_abstract_tfidf__ability,0.0022142204680775
terms_abstract_tfidf__able,-0.0067949897922881
terms_abstract_tfidf__abnormal,-0.0248333513231033
terms_abstract_tfidf__abnormalities,-0.0294616015974998
terms_abstract_tfidf__abnormality,-0.0034699081062182
terms_abstract_tfidf__absence,-0.0188454864460569
terms_abstract_tfidf__absent,-0.0024329799566039
terms_abstract_tfidf__abstract,0.0072872588145807
terms_abstract_tfidf__abuse,-0.001154143975786
terms_abstract_tfidf__acc,0.0114624303327459
terms_abstract_tfidf__access,0.0221757217712047
terms_abstract_tfidf__accompanied,0.0047914823688325
terms_abstract_tfidf__accordance,-0.0214109890854482
terms_abstract_tfidf__according,0.0073283214912097
terms_abstract_tfidf__accordingly,-0.001757166852088
terms_abstract_tfidf__account,0.0125169386588671
terms_abstract_tfidf__accounted,-0.0032905922398518
terms_abstract_tfidf__accounts,0.0113847775724107
terms_abstract_tfidf__accumbens,0.0013121035023189
terms_abstract_tfidf__accuracy,0.0078322687550113
terms_abstract_tfidf__accurate,0.0081747170696762
terms_abstract_tfidf__accurately,0.005096921212429
terms_abstract_tfidf__achieve,0.0028476427258768
terms_abstract_tfidf__achieved,-0.0120540218218628
terms_abstract_tfidf__acoustic,-0.0030960551229175
terms_abstract_tfidf__acquired,-0.0157973739904354
terms_abstract_tfidf__acquisition,-0.0042064822870312
terms_abstract_tfidf__act,0.0052687132763375
terms_abstract_tfidf__action,-0.0004483124795703
terms_abstract_tfidf__action observation,-0.0146169372246862
terms_abstract_tfidf__actions,-0.0117863924172121
terms_abstract_tfidf__activate,0.0133167041431734
terms_abstract_tfidf__activates,0.0023642786724661
terms_abstract_tfidf__activations,0.0239814352733405
terms_abstract_tfidf__active,0.0158827242749646
terms_abstract_tfidf__actively,0.0033912906457557
terms_abstract_tfidf__activities,-0.0081915730381875
terms_abstract_tfidf__acts,0.0124770266472879
terms_abstract_tfidf__actual,-0.0056543097661947
terms_abstract_tfidf__actually,0.0034230336131192
terms_abstract_tfidf__acute,-0.0170012582363788
terms_abstract_tfidf__ad,-0.0200082706170359
terms_abstract_tfidf__adaptation,-0.0269266209156404
terms_abstract_tfidf__adapted,0.0083036426940751
terms_abstract_tfidf__adaptive,0.0323275718296066
terms_abstract_tfidf__add,0.0002062179840117
terms_abstract_tfidf__addiction,-0.0035983551297719
terms_abstract_tfidf__addition,0.0091410761958756
terms_abstract_tfidf__additional,-0.0006487594530278
terms_abstract_tfidf__additionally,0.0087786557503102
terms_abstract_tfidf__addressed,0.0065410155990283
terms_abstract_tfidf__adhd,-0.0033172089995335
terms_abstract_tfidf__adjacent,-0.0053066966189081
terms_abstract_tfidf__administered,-0.0038581856846904
terms_abstract_tfidf__administration,-0.0040506009463914
terms_abstract_tfidf__adolescence,0.0019275083539672
terms_abstract_tfidf__adolescent,-0.0033651758997396
terms_abstract_tfidf__adolescents,0.0036399930488551
terms_abstract_tfidf__adopted,0.0004424317900346
terms_abstract_tfidf__adult,0.0105202707549366
terms_abstract_tfidf__adulthood,-0.0045184120721111
terms_abstract_tfidf__adults,0.0191608518535422
terms_abstract_tfidf__advance,-0.0030164072986709
terms_abstract_tfidf__advanced,-0.0051425033229938
terms_abstract_tfidf__advances,-0.0060623306102859
terms_abstract_tfidf__advantage,-0.005486880509584
terms_abstract_tfidf__affect,0.047705670436715
terms_abstract_tfidf__affected,-0.0079958619866936
terms_abstract_tfidf__affecting,0.0028946895647482
terms_abstract_tfidf__affective,0.0396740429509215
terms_abstract_tfidf__affects,-0.0032360819703633
terms_abstract_tfidf__age,0.0049464696684892
terms_abstract_tfidf__age controls,-0.0200171600194267
terms_abstract_tfidf__age gender,0.0026557052912659
terms_abstract_tfidf__age groups,0.0111056686338983
terms_abstract_tfidf__age healthy,-0.0068604045720294
terms_abstract_tfidf__age sex,-0.0190658158393954
terms_abstract_tfidf__aged,0.0023267241767875
terms_abstract_tfidf__agent,0.0043177182065304
terms_abstract_tfidf__ages,0.0136572821310668
terms_abstract_tfidf__aging,0.0095670368786481
terms_abstract_tfidf__agreement,-0.0011940839238325
terms_abstract_tfidf__aim,0.0039343916528579
terms_abstract_tfidf__aimed,0.001392143490489
terms_abstract_tfidf__aims,-0.0025291680497853
terms_abstract_tfidf__al,0.0034362016256265
terms_abstract_tfidf__alcohol,0.0029880337027238
terms_abstract_tfidf__alff,-0.0220925275634311
terms_abstract_tfidf__algorithm,-0.0194014042176463
terms_abstract_tfidf__allele,-0.0148572655928536
terms_abstract_tfidf__allocation,-0.0032858433758503
terms_abstract_tfidf__allow,-0.0080939425658445
