feature,r
terms_abstract_tfidf__001,-0.0096858126720595
terms_abstract_tfidf__01,0.006893519360937
terms_abstract_tfidf__05,-0.0050073774757897
terms_abstract_tfidf__10,0.0066098730233908
terms_abstract_tfidf__100,-0.0052114517764069
terms_abstract_tfidf__11,-0.0030965263860418
terms_abstract_tfidf__12,-0.0024160591826461
terms_abstract_tfidf__12 healthy,-0.0042899122419541
terms_abstract_tfidf__13,0.0066666343709953
terms_abstract_tfidf__14,0.0018277688106269
terms_abstract_tfidf__14 healthy,0.0066354164478738
terms_abstract_tfidf__15,-0.0045641800244195
terms_abstract_tfidf__15 healthy,0.0062510375155827
terms_abstract_tfidf__16,0.0046150500340222
terms_abstract_tfidf__16 healthy,-0.0016315662263036
terms_abstract_tfidf__17,0.0017442247035115
terms_abstract_tfidf__18,0.0001178641437006
terms_abstract_tfidf__18 healthy,-0.0087864380956966
terms_abstract_tfidf__19,-0.0050855993774831
terms_abstract_tfidf__20,-0.0002559693967177
terms_abstract_tfidf__20 healthy,0.0110302392623942
terms_abstract_tfidf__200,0.0003648369476992
terms_abstract_tfidf__2014,-0.0014686905700668
terms_abstract_tfidf__21,0.0106765635808914
terms_abstract_tfidf__22,-0.0078177326112298
terms_abstract_tfidf__23,0.0005307380036167
terms_abstract_tfidf__24,-3.38536941492742e-05
terms_abstract_tfidf__25,0.0104754322938607
terms_abstract_tfidf__26,0.0084704617223541
terms_abstract_tfidf__27,0.0137327312135899
terms_abstract_tfidf__28,0.0017072027516288
terms_abstract_tfidf__29,0.0269413496216622
terms_abstract_tfidf__30,-0.0053344760273949
terms_abstract_tfidf__31,0.0121052692563735
terms_abstract_tfidf__32,0.0201535121483792
terms_abstract_tfidf__33,-0.0100698261497645
terms_abstract_tfidf__34,0.0042622695815949
terms_abstract_tfidf__35,0.0069209601768593
terms_abstract_tfidf__36,-0.0092747140939911
terms_abstract_tfidf__37,0.0076161082760043
terms_abstract_tfidf__38,-0.0001454337961637
terms_abstract_tfidf__39,0.0097373584571158
terms_abstract_tfidf__3d,-0.0183666134703111
terms_abstract_tfidf__3t,-0.006217838944447
terms_abstract_tfidf__40,-0.0087769196930302
terms_abstract_tfidf__41,0.0032951429664239
terms_abstract_tfidf__42,-0.0078985060665613
terms_abstract_tfidf__43,0.010499483040146
terms_abstract_tfidf__44,-0.0235750345632302
terms_abstract_tfidf__45,-0.0109293045540501
terms_abstract_tfidf__46,-0.0056305258795647
terms_abstract_tfidf__47,0.0105725995530494
terms_abstract_tfidf__48,-0.0097403798029693
terms_abstract_tfidf__49,0.0024561096539705
terms_abstract_tfidf__50,-0.0118652937095109
terms_abstract_tfidf__60,-0.0012166317683564
terms_abstract_tfidf__70,0.0022592441967537
terms_abstract_tfidf__75,-0.0082215578546611
terms_abstract_tfidf__80,-0.0027629263772782
terms_abstract_tfidf__90,-0.0121887330834926
terms_abstract_tfidf__aberrant,0.034462103161811
terms_abstract_tfidf__abilities,-0.0067447745888257
terms_abstract_tfidf__ability,-0.0058310968168987
terms_abstract_tfidf__able,-0.0197322973893854
terms_abstract_tfidf__abnormal,0.0030225268201017
terms_abstract_tfidf__abnormalities,-0.0009128368528504
terms_abstract_tfidf__abnormality,-0.0033758676896784
terms_abstract_tfidf__absence,-0.0173782822476112
terms_abstract_tfidf__absent,0.0002599564497955
terms_abstract_tfidf__abstract,-0.0131177055185346
terms_abstract_tfidf__abuse,0.0020423011666068
terms_abstract_tfidf__acc,0.0776462821402432
terms_abstract_tfidf__access,0.002749634670968
terms_abstract_tfidf__accompanied,0.002152796313737
terms_abstract_tfidf__accordance,-0.0065250632546427
terms_abstract_tfidf__according,-0.0176460300677416
terms_abstract_tfidf__accordingly,-0.0029079008726046
terms_abstract_tfidf__account,0.0097544263923313
terms_abstract_tfidf__accounted,0.000524632717252
terms_abstract_tfidf__accounts,0.002537273123947
terms_abstract_tfidf__accumbens,0.0136170223837247
terms_abstract_tfidf__accuracy,0.0042499213867515
terms_abstract_tfidf__accurate,0.006906044979881
terms_abstract_tfidf__accurately,0.0024720300186419
terms_abstract_tfidf__achieve,-0.0102086948852227
terms_abstract_tfidf__achieved,-0.0117286936364873
terms_abstract_tfidf__acoustic,-0.0154812572168196
terms_abstract_tfidf__acquired,-0.0012473359126722
terms_abstract_tfidf__acquisition,-0.028298233039609
terms_abstract_tfidf__act,0.019181939141031
terms_abstract_tfidf__action,-0.0246281775679042
terms_abstract_tfidf__action observation,-0.0067359819361007
terms_abstract_tfidf__actions,-0.0163669086106445
terms_abstract_tfidf__activate,-0.0086144456567666
terms_abstract_tfidf__activates,-0.0078356956815979
terms_abstract_tfidf__activations,-0.0066524179023501
terms_abstract_tfidf__active,-0.0021687187923771
