feature,r
terms_abstract_tfidf__001,-0.0009827227558813
terms_abstract_tfidf__01,-0.0200693845508415
terms_abstract_tfidf__05,-0.0143413025044466
terms_abstract_tfidf__10,0.0013775448265205
terms_abstract_tfidf__100,-0.010012295844747
terms_abstract_tfidf__11,-0.0037359397438765
terms_abstract_tfidf__12,0.0062051077829893
terms_abstract_tfidf__12 healthy,-0.0097065837289841
terms_abstract_tfidf__13,0.0068379500111825
terms_abstract_tfidf__14,-0.0067366648052255
terms_abstract_tfidf__14 healthy,-0.0035208655560155
terms_abstract_tfidf__15,-0.0093776720822032
terms_abstract_tfidf__15 healthy,0.0014275906122756
terms_abstract_tfidf__16,0.0008454642166201
terms_abstract_tfidf__16 healthy,0.0014792993749564
terms_abstract_tfidf__17,0.0019418083086929
terms_abstract_tfidf__18,-0.0072901974190461
terms_abstract_tfidf__18 healthy,0.0115480976416544
terms_abstract_tfidf__19,-0.0039913577076891
terms_abstract_tfidf__20,-0.0016418652074963
terms_abstract_tfidf__20 healthy,-0.0079509298143212
terms_abstract_tfidf__200,0.0079545830231001
terms_abstract_tfidf__2014,0.0003380313864533
terms_abstract_tfidf__21,-0.0009555651099553
terms_abstract_tfidf__22,0.0002675681520296
terms_abstract_tfidf__23,0.0008642667568707
terms_abstract_tfidf__24,-0.0002099425180842
terms_abstract_tfidf__25,0.0040104219234844
terms_abstract_tfidf__26,-0.0010893798640415
terms_abstract_tfidf__27,-0.0053511760256394
terms_abstract_tfidf__28,0.0071155482562156
terms_abstract_tfidf__29,-0.00608476482194
terms_abstract_tfidf__30,-0.0091927166924146
terms_abstract_tfidf__31,0.0082752976863863
terms_abstract_tfidf__32,-0.0014755094057413
terms_abstract_tfidf__33,-0.010702359234073
terms_abstract_tfidf__34,0.0016053659932945
terms_abstract_tfidf__35,-0.008471492862313
terms_abstract_tfidf__36,-0.0179050601818802
terms_abstract_tfidf__37,-0.0085725733275787
terms_abstract_tfidf__38,0.0067793148578331
terms_abstract_tfidf__39,0.000379776383254
terms_abstract_tfidf__3d,-0.0131025389883794
terms_abstract_tfidf__3t,-8.704055910942991e-06
terms_abstract_tfidf__40,-0.0115831610716044
terms_abstract_tfidf__41,0.0005046215644908
terms_abstract_tfidf__42,-0.0076871099708284
terms_abstract_tfidf__43,0.0042230213453368
terms_abstract_tfidf__44,-0.0156406711491235
terms_abstract_tfidf__45,-0.0087039912154676
terms_abstract_tfidf__46,0.0046482107908674
terms_abstract_tfidf__47,0.0295506651053098
terms_abstract_tfidf__48,0.0076360021715652
terms_abstract_tfidf__49,-0.0056861286528772
terms_abstract_tfidf__50,0.0016895363548105
terms_abstract_tfidf__60,-0.0087756566323927
terms_abstract_tfidf__70,0.0016155983257603
terms_abstract_tfidf__75,-0.0060239814148393
