cognitive_feature,r
action,0.0090356909623127
action observation,0.007246106435462
actions,0.00345220855385
adaptation,-0.0138196370729073
anticipation,-0.0113266633645007
applying,-0.0129299072109749
arousal,0.0016031402052296
association,0.0048965202382652
associations,-0.0093761158924814
attention,-0.0038874071360589
attention deficit,-0.0059843124588008
attention network,0.0278713205476782
attention task,0.0027956598256776
attentional,-0.0050231729431907
attentional control,1.924380456750232e-05
auditory,-0.0127837794983314
auditory cortex,-0.0216119961821469
auditory stimuli,-0.0102313049290753
auditory visual,0.0113213154503078
autobiographical memory,0.0503488275865051
awareness,-0.0075687164597468
belief,0.0325380343833457
beliefs,0.0539953406111827
biological,0.0132365088746622
categorization,-0.0059032961792729
choice,0.0009647502459179
choices,0.0043567618123467
chronic pain,-0.0038570028895637
cognition,0.0277331065039142
cognitive control,-0.0032823716870998
cognitive emotional,-0.0007095038936387
communication,0.0181941678507924
competition,-0.0004371082424392
comprehension,0.0595014139359106
concept,0.0042319689800212
concepts,0.0191692737316541
conceptual,0.0235910805427124
consciousness,0.0041879362219356
consolidation,0.0010834116074537
context,0.0054309779643724
contexts,0.006089700777145
contextual,0.0045222913873638
coordination,-0.0160516015263837
decision,0.0084563518523221
decision making,-0.0010524533957515
decision task,0.0417871207544225
decisions,0.0140520930458848
distraction,-0.0008442014243298
distress,0.0206021839337485
dorsal attention,0.0333451585574374
efficiency,0.0055691222366632
effort,0.0067060771376257
effortful,0.0065411990951672
electrophysiological,-0.0161360006581556
emotion,0.021092132774808
emotion regulation,0.0380523108311954
emotional,0.0073937263986598
emotional faces,-0.008114311132908
emotional information,0.010444896233853
emotional responses,0.0005524944355372
emotional stimuli,-0.0055077477529862
emotional valence,0.0084678572598074
emotionally,0.0094661040032753
emotions,0.0099289034351788
empathy,0.0390537449447052
encoding,0.0164788653735192
encoding retrieval,0.007623087069499
episodic memory,0.0369135013374836
executive control,0.0026003316680552
expectancy,-0.0126839030285757
expertise,-0.0003900143643584
eye movement,-0.0189549080145339
eye movements,-0.0153040238915614
face recognition,-0.014094621860627
facial expression,-0.0115482285505387
facial expressions,-0.0048626134515143
familiarity,0.0240454122861535
fear,-0.0007388717114547
fearful,-0.0193666585563539
fearful faces,-0.0202874913251534
feedback,-0.0040582783426809
finger movements,-0.0154267577549216
fixation,0.0195070798234079
focus,0.0025308081288256
focused,0.0037703887886138
focusing,0.0042265765484043
fractional,-0.0175293596686569
fractional anisotropy,-0.0114281072418373
gaze,0.0009986040111698
genetic risk,-0.0139149639153788
goal,0.0111665947469915
goal directed,0.0039694922632859
goals,0.0117112442667571
hand movements,-0.0115035167068847
hearing,0.0160964674459422
high risk,-0.0077979149939101
imagery,0.003331784650358
induction,0.0004284471493521
inference,0.0237800542590611
inferences,0.0188973300595503
inhibition,-0.0077087622373303
insight,0.0078562415379593
insights,0.0074274736158638
integration,0.0124293860767802
intelligence,-0.003404487236484
intention,0.0383224799580924
intentional,0.0068259424842626
intentions,0.0389071209279364
interaction,0.0126749838245754
interactions,0.0270907588641157
interference,-0.0095778779244638
judgment,0.0249481727647342
judgment task,0.0197738763275569
judgments,0.0424707009169543
knowledge,0.0073188345297506
language,0.0518116867002128
language comprehension,0.0188062511218525
language network,0.0317665788099484
languages,0.0190710383225517
learning,-0.0181645054735484
learning task,-0.008742387130722
lexical decision,0.026186124926982
listening,0.00070468111722
maintenance,0.0157632874228003
manipulation,0.0089516782576291
manipulations,-0.014295048712068
meaning,0.0290158219476042
meaningful,0.0302217477252459
mechanisms underlying,-0.0022005888593416
memory,0.0444500248318134
memory encoding,0.003222418296033
memory load,0.0140659506626889
memory performance,0.0115113657236504
memory processes,-0.008220007432348
memory retrieval,0.0568373234628938
memory task,-0.009722212949403
memory tasks,0.0043454438450169
memory test,0.027040252014621
memory wm,0.0040525109481916
mental imagery,0.0044601988791777
methodological,-0.012772380089059
monetary reward,-0.0198033242560246
monitoring,-0.0078064637211918
mood,-0.0065811381033015
morphological,-0.010463841311164
morphology,-0.0169085572310104
motor control,-0.0181295658739346
motor imagery,-0.0155712573605384
movement,-0.0196232776268811
movements,-0.0344687055210388
multisensory,0.0066814432055148
naming,0.0018550501590798
navigation,0.0027836772675018
negative emotional,-0.0056219323456245
negative emotions,0.0032504727730475
negative feedback,-0.0049646305587247
neurobiological,-0.0158858599591022
neurological,-0.0144078236642848
neurophysiological,-0.0004694400922899
neuropsychological,-0.0093693089638102
new insights,-0.000961623317509
object recognition,0.0026358413654841
pain,-0.0142222148320114
painful,-0.0198678255755376
pathological,-0.0109575583822899
pathophysiological,-0.014846117697707
perception,-0.0021449923793691
pharmacological,-0.0138690505125868
phonological,0.022009538248376
physiological,-0.0096589121611645
