cognitive_feature,r
action,-0.0198714935906817
action observation,-0.01528316014263
actions,-0.0208256400412958
adaptation,-0.0279533816242743
anticipation,-0.0072386623669504
applying,-0.0017680646847933
arousal,0.0049491913838539
association,0.0063130930477758
associations,0.0071286133762063
attention,-0.0040320554257914
attention deficit,-0.0101161068363765
attention network,0.0339435866290333
attention task,0.0024644168980164
attentional,-0.0185537521725167
attentional control,-0.0116020179172027
auditory,-0.0313577647838676
auditory cortex,-0.0299674575803363
auditory stimuli,-0.0198913286328337
auditory visual,-0.0091216519444653
autobiographical memory,0.0741678623378499
awareness,-0.0099127367813612
belief,0.0170993522536855
beliefs,0.0335311433223584
biological,-0.0090167729296974
categorization,-0.0086894837820971
choice,0.013017291656105
choices,0.0076579419411718
chronic pain,-0.002607200942235
cognition,0.0425708101814814
cognitive control,-0.00870680237495
cognitive emotional,-0.0022825722930583
communication,0.0122109203948662
competition,-0.0048018096919836
comprehension,0.0027645435399373
concept,0.0041136348422068
concepts,0.0135102335502001
conceptual,0.011045061910978
consciousness,0.0152024411956423
consolidation,-0.0048250109645977
context,0.005248522698472
contexts,0.0036375782747746
contextual,0.0180872981130695
coordination,-0.0125692440000067
decision,0.0111826740773959
decision making,0.0085362109111081
decision task,0.0103843033153553
decisions,0.0061554936806077
distraction,0.0020198644964775
distress,0.0108341065675639
dorsal attention,0.0577159969130474
efficiency,-0.0021185431441276
effort,-0.0042035345365592
effortful,0.0133851972561967
electrophysiological,-0.0221241863296036
emotion,0.0161133432837134
emotion regulation,0.0136716650108707
emotional,0.0313601570361132
emotional faces,-0.0105687450777081
emotional information,0.0074487228765351
emotional responses,0.0046416954602836
emotional stimuli,0.0148900458587388
emotional valence,-0.0029663728487026
emotionally,0.0025064705309071
emotions,0.0139462888342633
empathy,0.0353095289113287
encoding,0.0124628847454178
encoding retrieval,0.02005940702588
episodic memory,0.0578417230571627
executive control,0.0070448836017965
expectancy,-0.0042068439696093
expertise,0.0045449260817025
eye movement,-0.0090793301812167
eye movements,-0.0284836998170877
face recognition,-0.0004292793427562
facial expression,-0.0174243810997878
facial expressions,-0.010721937022073
familiarity,0.0303906812751843
fear,0.0059726153426234
fearful,-0.0146169304574197
fearful faces,-0.0134298706813491
feedback,0.0117851544364908
finger movements,-0.0235423423983
fixation,-0.0029442960902429
focus,0.0110123044104174
focused,0.0128084114997872
focusing,0.0052287706643024
fractional,-0.0171269431917518
fractional anisotropy,-0.0165801333695836
gaze,-0.01252629470722
genetic risk,0.0033460550911804
goal,0.0045909534396816
goal directed,0.0152110312184246
goals,0.0085339423030084
hand movements,-0.0262267196848885
hearing,-0.0086967508141287
high risk,-5.487137229825329e-06
imagery,0.0051393638149178
induction,0.0051555677200771
inference,0.0089808589082569
inferences,0.0292436345121029
inhibition,-0.0193206815586316
insight,0.0005917413819305
insights,0.0138564536283817
integration,0.0018458684093666
intelligence,-0.0163797320059774
intention,0.008072359921621
intentional,-0.0052951316356328
intentions,0.0035241405005
interaction,0.0063740957104885
interactions,0.0283845049585075
interference,-0.020481406160811
judgment,0.0116945763151524
judgment task,0.0015379655051077
judgments,0.0390101504999438
knowledge,0.0139575909123784
language,-0.0254178295859542
language comprehension,-0.0092018442363396
language network,0.001990467912319
languages,-0.0129402355408
learning,-0.0117658038632197
learning task,0.0060030491210198
lexical decision,0.0072534869126718
listening,-0.0033254388201983
maintenance,0.0035694837756819
manipulation,-0.0025822246172841
manipulations,-0.0057329817338368
meaning,-0.0005538547731601
meaningful,-0.0040395008085906
mechanisms underlying,-0.0029124266554139
memory,0.0585915557342043
memory encoding,0.0168949423230592
memory load,0.0112684974375196
memory performance,0.0131201829674437
memory processes,-0.0013038335240443
memory retrieval,0.068936276216682
memory task,0.0160795341650517
memory tasks,-0.0043053869757863
memory test,0.0366804054004886
memory wm,0.010390300074672
mental imagery,-0.000725123954008
methodological,-0.0164550278805208
monetary reward,-0.0063667192834502
monitoring,0.0091405204010306
mood,0.0168123040085441
morphological,-0.0135009065548729
morphology,-0.024190987374456
motor control,-0.018156782708636
motor imagery,-0.0123451623326165
movement,-0.0359381888057364
movements,-0.050087080853177
multisensory,-0.0208087987943793
naming,-0.0047082312595265
navigation,0.0129634512424688
negative emotional,0.0014252281773486
negative emotions,0.0005811861605055
negative feedback,0.0071010929424438
neurobiological,-0.0139131629386982
neurological,-0.0105290281355381
neurophysiological,-0.0041479961589372
neuropsychological,-0.001681553694378
new insights,-0.0058192918084319
object recognition,-0.0135898907798917
pain,-0.0106519283726924
painful,-0.0155386063676368
pathological,0.0033870161214445
pathophysiological,0.0027846613831664
perception,-0.0307987224585879
pharmacological,0.0018548167607957
phonological,-0.0205604646815025
physiological,-0.0086047962489439
planning,-0.0069627090563299
previous research,0.015903308039809
primary auditory,-0.0216607929265466
priming,-0.0063200344820876
processes underlying,0.0029857752146475
psychological,0.0189227740968213
psychophysiological,-5.668435709151165e-05
psychophysiological interaction,-0.0102416535776346
reaction,0.0040931747795753
reaction time,0.0117489132324544
reaction times,-0.0065761437497654
reactions,-0.0105568032939726
reading,-0.0158260917951382
reasoning,0.0161916553038754
recall,0.0184842140170288
recognition,0.014067123024319
recognition memory,0.0257244046279837
recognition task,0.0139742212449662
rehearsal,0.0033210676352549
reinforcement learning,-0.0022146758786354
research,0.0210654113796876
research suggests,0.0064701746363951
researchers,-0.0045352325187932
response inhibition,-0.0101746758938369
response selection,-0.0056326630326292
retention,0.0032789059652564
retrieval,0.0748396606300331
reward,-0.0042494395759337
reward anticipation,-0.0022777422376254
rewarding,0.003472506451591
rewards,-0.0014895808285275
rhythm,-0.0136237758473676
risk,-0.0022217407674528
risk taking,-0.0090050376831192
risky,0.0004801335882467
rule,0.0045057891627497
rules,-0.0081807397368349
salience,0.0214079767580298
salience network,0.0482010790654586
search,-0.0023561560323038
selective attention,-0.0065540241260319
semantic memory,0.0496160218470424
sentence comprehension,-0.0011600364914251
skill,-0.0103044749343892
skills,-0.0052334466071506
social cognition,0.04409632260687
social interaction,0.0122328072567015
social interactions,0.0203719749167889
spatial attention,-0.0142057199393593
speech perception,-0.0165011527868524
speech production,-0.0064604862609556
strategy,0.0111612915767416
stress,-0.0065410113228273
stress disorder,-0.005621328159193
subsequent memory,0.0030461361876014
subtraction,-0.0151234263281538
sustained attention,-0.0029399694747204
term memory,-0.009650482049583
uncertainty,0.0108657402462545
underlying,0.0030107104933282
underlying mechanisms,-0.0103877508803764
updating,-0.0045590545998598
utility,0.0058891995657337
valence,0.0110176123747148
verbal fluency,0.003617433130212
visual attention,0.0044275717471587
visual auditory,6.904793467858464e-05
visual perception,0.0005184668739137
word recognition,-0.0080881373363395
working memory,0.0007104466767615
